Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,154600,152300,143600,142100,137600,130800,128700,127900,134100,140300,141800,142700,143400,143400,141000,141100,143600,145600,143700,140800,135200,135900,133600,132300,129200,129900
Feb,154700,151200,143000,141600,137200,130700,129400,128900,134400,140000,142200,142700,143100,142800,140700,141600,143500,145200,144000,140200,134900,136000,133600,131600,128700,129800
Mar,154500,150700,142800,141700,136500,130800,129500,129000,135200,139700,142400,142700,142800,142300,140500,141200,143600,144700,144500,139900,135000,135800,133700,131900,128500,129400
Apr,154200,150000,143900,140600,137000,131900,128800,129400,134300,140800,142300,142800,142300,143500,140300,142300,143800,145100,144200,138500,134700,135700,133900,131600,128400,129500
May,154300,149400,143800,140200,136900,132000,128600,130000,134800,140900,142500,142900,142500,143700,140500,142000,143900,144900,144000,138100,134900,135500,133600,130900,128700,129500
Jun,153900,149000,143100,139800,136300,132200,128100,128600,135400,140900,143300,143200,142000,143300,140200,142300,144000,145300,144000,137200,135100,134700,133700,130900,128300,130200
Jul,154200,148200,143400,139800,135000,133700,127800,129200,138400,141000,143700,143300,142400,142800,140300,142800,144200,144800,143400,136700,135300,135000,133200,130700,128700,131100
Aug,153900,148200,142500,139800,134700,133900,127800,129700,139000,140900,143900,143400,142400,142600,140700,142600,144500,144400,143600,136200,135600,134900,133100,130300,128600,130600
Sep,153300,147800,142400,139800,134900,134300,127300,130800,139200,141100,143600,143100,142500,142500,140600,142600,144500,144300,143100,136200,135400,134600,133000,129900,128800,130700
Oct,152300,147700,141900,139800,134100,132600,129200,132400,139200,141400,143600,142900,142400,142000,140800,142900,145000,144000,142300,136200,135300,134200,132900,129500,128300,130700
Nov,150900,147700,141600,139400,133900,132900,129400,132600,139700,141400,143500,142900,142900,141700,141000,142900,145300,143600,142300,136000,135700,134100,132500,129400,128400,130700
Dec,150900,147500,141700,139100,133600,132700,128600,133500,139800,141500,143600,142800,142700,141600,140900,143300,145200,143700,141600,135700,135600,133900,132000,129200,128300,
