Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,210000,211200,207000,208200,211400,220800,220000,226100,224800,230900,239600,243200,249600,250600,242500,241900,245700,247200,252300,251300,245200,240700,238600,240400,237000,238600
Feb,209200,209500,207100,209800,212200,220600,221400,226300,225300,232000,239900,242000,249900,247800,242800,242400,244800,247600,252800,251300,245200,241100,240200,237700,237100,238400
Mar,208900,208700,206500,209500,213000,220900,220000,225300,226200,232900,241500,241700,249900,247600,243500,241800,244900,247700,252600,250900,243700,243600,240300,238500,237700,238600
Apr,208700,209000,208200,209700,215900,220200,223400,224800,225300,234600,242000,242200,249700,246500,242900,243500,245300,247700,253000,250700,243500,240800,239000,238900,238200,240100
May,211400,207800,208600,210200,216700,219700,223100,224700,225600,234500,246800,242900,249700,246500,242600,243400,245500,248000,253000,250600,249600,239200,237400,238400,238400,239900
Jun,213200,209300,208600,209900,218400,219500,223000,224700,226300,235200,243300,243000,249800,245800,242000,245100,245600,249000,253500,250300,244500,241200,237400,241300,238800,237900
Jul,208800,205600,206300,210200,219100,220800,222200,226600,226900,235900,244000,243100,247800,245900,242100,243500,246500,249400,251400,246200,244500,241100,239000,239000,238200,239000
Aug,209900,207500,207400,210100,219600,221400,222000,226200,226700,236500,241600,242600,249900,245700,243600,243800,248600,250100,252200,245100,244600,238600,238700,238500,238200,240300
Sep,211600,207200,206500,211000,220100,221900,220900,228100,230200,237700,241500,246700,249400,244900,241800,245400,245900,250400,251900,245800,242000,239900,238500,237500,238400,239400
Oct,210700,207200,207200,212100,220400,220900,226400,225800,230800,236400,241500,248200,248500,244200,243000,244900,245700,251100,252900,245100,242600,239600,238900,236300,237300,237600
Nov,211300,206800,206500,213200,220400,221700,225800,225400,232500,236700,240900,249400,248900,243400,243000,244600,246200,251400,252300,245600,241600,239100,238900,236400,237400,237500
Dec,211300,206500,207100,212800,219300,222400,226000,225200,232600,237400,241200,249500,248700,242600,242600,245500,246900,251500,251700,245100,241300,239600,239500,236000,237700,
