Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,43400,41800,39100,39700,40100,41200,41500,41500,44200,44500,45500,46600,42500,40100,39200,38700,38100,37700,38000,36600,32200,31700,31500,31700,32200,31400
Feb,43100,41400,39200,40000,39800,41200,42100,42100,44300,44500,45600,46600,42000,40000,38900,38700,37900,37900,38000,36500,31900,31700,31300,32100,31900,31600
Mar,43100,41100,39200,39700,39700,41300,42400,42400,44500,44400,45800,46100,41900,39900,39000,38400,38000,37800,38000,35700,31800,31700,31100,32100,32100,31700
Apr,42900,40200,39200,39300,40100,41500,42800,42800,44500,44400,45800,45600,41800,39800,39000,38300,37800,38100,38800,35200,31600,31500,31100,31800,32100,31700
May,42800,40200,39200,39300,40400,41600,43200,43200,44800,44400,46000,45300,41500,39600,39100,38300,37800,39000,38700,34600,31700,31300,31200,32200,32000,31900
Jun,43000,39900,39300,39400,40500,41600,43700,43700,44900,44200,46300,44900,41300,39600,39200,38200,37600,38400,38400,34400,31500,31100,30800,32200,31900,32000
Jul,42000,39900,39500,39300,40800,41500,43200,43200,44800,44700,46900,44100,40900,39500,39000,38100,37900,38700,37700,34200,31500,31300,31000,32200,31900,31700
Aug,41800,39500,39700,39400,40700,41500,43600,43600,44900,44700,46900,44100,40600,39400,39200,37900,37900,38800,37500,33700,31700,31200,31100,31900,32000,31700
Sep,41300,39500,39700,39600,40600,41500,43900,43900,39400,44800,47200,43700,40300,39200,39000,37800,37900,39300,37400,33400,31700,31100,31400,32000,31800,31500
Oct,41200,39400,39600,39900,40600,42200,44100,44100,45000,45000,47100,43300,40200,39400,38800,37700,38000,39200,37100,32900,31700,31100,31500,32000,31500,32200
Nov,40800,39200,39600,40100,40700,41500,44500,44500,44900,45200,47100,43100,39700,39300,38800,37700,38000,38000,36900,32800,31700,31300,31700,31900,31200,31800
Dec,40700,39400,39500,40200,40900,41700,44400,44400,44900,45400,47100,42800,39600,39200,38700,37700,38100,38000,36700,32100,31900,31300,31500,32300,31400,
