Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,110300,100700,101500,103300,104200,109300,111600,113600,116200,117600,120400,119400,121400,123600,126900,127900,131200,135000,137600,134900,130400,134800,141700,145600,151500,156800
Feb,109700,100600,101900,102500,103500,109200,112300,113600,116500,118500,120500,119700,121900,123400,126500,128600,131300,134900,138200,134300,130400,135400,142200,144000,149900,155100
Mar,109800,100700,101500,100900,104900,109800,112400,113900,117100,118800,121200,119700,122200,123700,126600,129000,132500,134400,138500,134000,131100,135100,142400,145600,150700,155500
Apr,108800,101900,100500,101900,105900,111000,112000,113800,115400,119600,120300,118000,123100,123700,126700,130200,132100,134400,138000,132400,133100,135800,141700,147500,150500,154700
May,108400,101700,100200,102900,105500,110500,112500,114100,117000,119500,119800,119700,123100,124400,127200,129600,131800,134800,138400,134200,133400,135800,141700,147400,150100,156100
Jun,108200,102200,100000,102800,106200,109900,113100,114700,116500,120000,121400,119600,123200,124500,127500,129700,132600,135400,138400,134000,132800,136100,142700,147800,150000,156100
Jul,107500,101600,100300,103000,107400,110400,111700,113600,116900,120300,121200,119800,123400,125900,127500,129300,132600,136200,137100,133400,133900,138000,142300,147800,149600,155800
Aug,106700,101300,100700,103400,107600,110300,112300,113600,117500,120400,121000,120200,123000,125900,128000,129700,132600,137000,136900,133400,134600,138200,142600,148000,149500,155100
Sep,107200,101200,100800,103400,107600,109900,112400,114500,117400,120100,121500,118900,122800,126200,129000,129700,132400,136000,136900,134100,135400,138900,142700,147600,150000,157500
Oct,106000,101600,101400,104000,106700,111800,113400,114200,116300,120300,121700,119600,123600,126900,128100,129200,133500,136200,136400,133400,135600,139800,143600,148200,152700,157900
Nov,106000,101900,101000,104300,107100,112500,113200,114800,117200,120400,121900,119900,123200,127100,127900,130000,133400,137600,135600,133200,135900,139400,143600,149200,153100,159400
Dec,105700,101800,100000,104800,106900,112200,113200,115100,117900,120600,122300,120200,123400,126500,128500,130200,134600,136800,135100,132800,135900,140200,144800,148400,155000,
