Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,307200,292000,279700,266400,254900,252100,245000,244000,248200,244100,235400,234100,217300,204100,196900,196400,193900,191800,188800,179700,164500,165300,165100,163600,160900,159000
Feb,306400,290100,279500,266100,253900,251800,246000,244600,248700,243300,235800,233200,216200,203000,196900,196100,194100,192000,188200,177300,164100,165700,165400,163500,160800,159300
Mar,306000,289300,278500,264500,253500,251400,245200,244300,249200,242900,235200,232400,215000,202100,197000,195800,190800,191800,188000,175100,164100,165800,164900,163300,160300,159700
Apr,305600,289500,275800,264400,253600,250000,245100,246100,248800,242300,235400,230600,213800,201800,197000,195500,194300,190700,188100,173300,164400,165800,164600,163300,160200,160900
May,303900,286500,275300,262300,253900,249400,245400,246000,249000,241200,235200,229300,212500,200300,196800,195600,193900,190300,188000,171600,164700,165700,164500,163000,159600,159800
Jun,302000,286200,274100,261200,253400,248900,245000,246700,248600,240200,235300,227800,211200,199400,196500,195200,193800,190300,187500,170200,164900,165500,164400,163000,159400,160600
Jul,301900,282000,273400,260700,253900,246700,243300,244100,249200,239500,237500,226300,210100,198600,197600,194900,193800,190200,186900,168200,165200,165600,163800,162900,159200,161200
Aug,298400,280200,272100,259500,253600,247500,244900,245300,247200,239100,236800,224100,209000,197700,197400,194400,193500,189800,186400,167500,165000,166200,163700,162200,159200,162000
Sep,296500,282000,270900,259600,253300,246900,244200,244600,247900,238200,236900,222500,208300,197600,197200,193900,192700,189100,185900,167100,165500,165400,163000,161800,158900,161800
Oct,295200,284300,268800,259200,253000,246400,246000,246200,247000,237500,235800,221000,207200,197700,196900,193800,192000,188900,185000,166100,165400,165300,163400,161800,158800,161000
Nov,293800,283300,268000,257800,252700,246000,246700,246700,245800,237300,235300,219500,205900,197400,196900,193600,192100,188800,183900,165500,165500,165300,163300,161500,158500,161800
Dec,292800,281800,267300,256600,252200,246100,246800,245700,244700,237100,235000,218500,205000,197100,196200,192900,192100,188500,182000,165100,165600,165500,163300,161200,159700,
