Month,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00
Jan,1436.30,1420.90,1487.10,1549.80,1575.60,1618.80,1660.00,1674.80,1643.90,1585.90,1533.20,1534.80,1528.40,1559.10,1560.10,1593.40,1628.60,1659.70,1682.20,1692.20,1674.80,1656.80,1641.90,1655.80,1673.50,1691.50,1711.60,1664.00,1596.40,1619.00,1637.20,1649.20,1659.90,1685.60
Feb,1435.80,1420.60,1497.00,1552.00,1579.00,1616.70,1667.00,1678.90,1638.90,1573.70,1528.50,1535.40,1523.40,1561.30,1568.70,1594.40,1633.30,1660.40,1683.90,1685.50,1673.30,1649.00,1641.60,1658.60,1674.30,1692.10,1711.90,1656.60,1594.00,1621.00,1641.40,1645.70,1656.10,1682.70
Mar,1432.60,1425.30,1501.60,1554.20,1580.60,1623.50,1670.60,1675.00,1637.70,1571.40,1527.20,1530.50,1527.60,1564.30,1570.00,1599.50,1637.40,1664.30,1690.20,1682.30,1672.80,1646.80,1644.30,1657.30,1674.00,1690.70,1713.00,1646.60,1595.30,1620.80,1644.00,1650.40,1659.60,1686.00
Apr,1428.40,1431.80,1505.50,1554.60,1591.60,1636.00,1662.60,1669.00,1628.60,1568.40,1524.60,1525.30,1540.30,1558.30,1575.70,1602.70,1632.60,1665.20,1690.10,1679.90,1673.00,1643.70,1646.90,1664.30,1680.60,1693.00,1710.30,1628.00,1601.20,1628.10,1637.60,1654.30,1664.00,1685.40
May,1429.60,1436.30,1511.40,1556.00,1594.10,1638.00,1661.90,1668.10,1629.10,1562.00,1525.30,1528.60,1542.60,1557.70,1581.20,1604.40,1638.90,1663.70,1695.10,1683.20,1670.40,1643.30,1649.00,1661.00,1678.60,1696.80,1707.90,1629.60,1611.70,1624.00,1636.80,1653.30,1665.70,1691.30
Jun,1428.10,1440.90,1520.10,1558.10,1593.80,1643.70,1663.70,1668.80,1628.60,1561.00,1523.70,1525.80,1545.30,1557.00,1584.30,1605.90,1641.70,1665.80,1696.10,1682.30,1668.40,1640.90,1648.40,1663.20,1679.90,1701.60,1706.50,1624.80,1607.90,1621.50,1637.50,1658.60,1664.90,1691.90
Jul,1429.60,1452.80,1527.10,1554.50,1603.40,1641.50,1667.70,1664.60,1620.30,1550.00,1527.50,1525.90,1548.90,1559.90,1580.60,1605.10,1646.40,1671.40,1702.60,1683.30,1662.60,1641.80,1649.90,1663.30,1681.90,1700.80,1697.60,1614.60,1612.50,1628.10,1638.40,1656.10,1665.40,1695.70
Aug,1425.60,1445.20,1529.00,1559.50,1604.80,1639.80,1670.10,1665.60,1615.20,1546.20,1526.50,1526.60,1550.00,1563.00,1587.70,1606.00,1647.10,1674.90,1697.10,1679.50,1661.90,1640.50,1653.50,1662.60,1685.90,1701.10,1696.10,1612.60,1614.00,1626.40,1638.70,1657.40,1665.70,1701.10
Sep,1430.70,1465.20,1536.40,1562.00,1610.10,1636.50,1666.50,1661.40,1612.40,1544.90,1523.90,1530.10,1552.60,1564.20,1586.60,1615.40,1646.80,1673.90,1699.00,1679.20,1659.90,1639.60,1653.80,1665.60,1682.40,1699.70,1693.00,1613.50,1612.10,1627.70,1640.40,1654.70,1666.50,1696.30
Oct,1429.50,1466.70,1538.80,1565.50,1606.30,1651.70,1672.40,1655.30,1601.30,1543.90,1523.80,1535.10,1556.80,1563.50,1596.60,1617.70,1650.60,1673.60,1695.30,1678.80,1656.00,1644.60,1655.10,1663.90,1684.50,1703.20,1686.60,1609.10,1616.10,1626.40,1644.60,1654.10,1670.00,1694.60
Nov,1427.00,1470.60,1542.00,1566.90,1620.10,1652.40,1673.00,1653.70,1595.10,1541.20,1523.40,1535.40,1556.20,1567.90,1600.80,1620.60,1655.80,1675.30,1694.90,1676.80,1655.20,1644.70,1656.40,1665.20,1685.90,1704.50,1680.80,1608.50,1616.10,1628.40,1645.30,1657.30,1672.90,1699.70
Dec,1424.50,1478.60,1547.80,1564.80,1620.30,1657.40,1672.30,1652.30,1589.60,1539.00,1522.70,1536.80,1555.00,1568.50,1600.20,1625.00,1657.90,1679.00,1696.80,1675.10,1652.80,1640.60,1656.30,1667.70,1690.90,1705.50,1672.90,1606.60,1617.60,1632.60,1647.30,1653.00,1678.10,
