Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,58600,52700,49400,55700,57700,58200,59900,60400,59600,60400,60400,61600,63100,62200,62200,62600,63100,64400,63800,62300,60300,60400,61300,62300,62500,63300
Feb,58700,51800,49300,56400,57800,59000,57400,57200,59800,60700,60400,61600,62900,62300,62400,62700,62900,64300,63800,62000,60200,60500,61400,62400,62600,63400
Mar,58900,51200,49500,56800,57700,58800,60300,61100,60100,61300,60500,61700,62900,62500,62400,62800,63100,64300,63800,61900,60400,60300,61100,62300,62800,64000
Apr,58600,50500,50800,57100,57700,59200,59500,59900,60100,60900,61000,61600,63300,62000,62400,62800,63500,64300,63700,61400,60400,60600,61300,62300,62900,63700
May,58300,50500,51500,57000,57400,59400,60800,59700,60400,60800,60900,61700,63500,61900,62500,62800,63800,64200,63700,61300,60500,60600,61400,62200,63000,63800
Jun,58000,50800,51700,56500,57400,59400,61100,59600,60300,60500,61100,61900,63400,62200,62200,63100,63500,64200,63500,61100,60500,60600,61500,62300,62800,63700
Jul,57700,51800,52500,57200,58700,59300,60800,59600,59800,60600,61500,62800,62900,62400,62300,62900,64000,64200,62600,60600,60700,60400,61700,62200,63000,63700
Aug,57800,51000,52800,57400,58900,59400,60800,59600,60200,60700,61300,62700,62600,62300,62800,62700,64000,63900,62700,60700,61000,60600,61900,62200,63000,63600
Sep,57300,51000,52800,57700,58600,59400,61200,60200,60200,60800,61600,62200,62400,62100,62700,62800,64100,64000,62500,61200,60800,60300,61900,62100,63000,63000
Oct,55500,50200,53700,57900,58600,59400,59000,61200,59700,60700,61600,62600,62300,62000,62600,62800,64500,63900,62500,60700,60700,60000,62600,62000,63200,61900
Nov,54800,49900,54200,58000,58600,59700,59400,61700,60100,60500,61600,62700,62500,62100,62400,62800,64400,63900,62400,60800,60600,60000,62700,62200,62900,62200
Dec,54100,50400,54700,58000,58500,60000,58900,62000,60400,60400,61500,62600,62700,62200,62200,63000,64500,63900,62200,60900,60400,60100,62300,62200,63000,
