Town,Poverty
Andover,3.7
Ansonia,19.2
Ashford,7.4
Avon,4.4
Barkhamsted,1.5
Beacon Falls,1.8
Berlin,4.1
Bethany,3.9
Bethel,3.8
Bethlehem,7.7
Bloomfield,7.9
Bolton,3.4
Bozrah,5.4
Branford,7.7
Bridgeport,23.6
Bridgewater,2.5
Bristol,9.6
Brookfield,2.7
Brooklyn,12.6
Burlington,4.5
Canaan,6.2
Canterbury,4
Canton,3.1
Chaplin,4.6
Cheshire,2.1
Chester,4.9
Clinton,9
Colchester,3.8
Colebrook,4.1
Columbia,4.8
Cornwall,8.6
Coventry,2.7
Cromwell,4.5
Danbury,11.1
Darien,6.9
Deep River,5.5
Derby,12.8
Durham,2.5
East Granby,2.7
East Haddam,4.9
East Hampton,3.5
East Hartford,14.3
East Haven,9.9
East Lyme,3.4
East Windsor,5.9
Eastford,3
Easton,3.3
Ellington,2.6
Enfield,8
Essex,5.4
Fairfield,4.7
Farmington,5.8
Franklin,4.7
Glastonbury,3.7
Goshen,14.2
Granby,2.5
Greenwich,5
Griswold,12.2
Groton,8.6
Guilford,5.1
Haddam,3.6
Hamden,8.4
Hampton,5.9
Hartford,34.4
Hartland,5.2
Harwinton,6.4
Hebron,1.4
Kent,9.1
Killingly,9.6
Killingworth,1.3
Lebanon,4.4
Ledyard,5.6
Lisbon,2.1
Litchfield,5.2
Lyme,4.3
Madison,3.1
Manchester,11.6
Mansfield,16.5
Marlborough,0.8
Meriden,14.9
Middlebury,4.2
Middlefield,3.6
Middletown,12.5
Milford,5.6
Monroe,4.7
Montville,5.4
Morris,4.3
Naugatuck,9.7
New Britain,23.5
New Canaan,2.8
New Fairfield,2.9
New Hartford,1.6
New Haven,26.4
New London,25.3
New Milford,7.3
Newington,4.9
Newtown,5.2
Norfolk,9.2
North Branford,3.6
North Canaan,8.7
North Haven,4
North Stonington,5.7
Norwalk,8.1
Norwich,15.1
Old Lyme,1.2
Old Saybrook,4.1
Orange,3.8
Oxford,3.7
Plainfield,10.8
Plainville,8.8
Plymouth,6.9
Pomfret,3.1
Portland,6.2
Preston,8
Prospect,4.3
Putnam,9.6
Redding,3.7
Ridgefield,3.1
Rocky Hill,7.8
Roxbury,3.4
Salem,3.9
Salisbury,3.3
Scotland,2.5
Seymour,5.6
Sharon,6.2
Shelton,5
Sherman,1.7
Simsbury,3.1
Somers,4.6
South Windsor,4
Southbury,8.4
Southington,4.4
Sprague,7.1
Stafford,10.8
Stamford,9.9
Sterling,11.7
Stonington,5.9
Stratford,7.4
Suffield,5.8
Thomaston,3.4
Thompson,7.3
Tolland,1.9
Torrington,11.1
Trumbull,2.5
Union,0.7
Vernon,9.3
Voluntown,2.8
Wallingford,4.8
Warren,10.2
Washington,5.9
Waterbury,24.2
Waterford,6.3
Watertown,3.6
West Hartford,7.9
West Haven,13.2
Westbrook,6
Weston,2.2
Westport,4.3
Wethersfield,5.3
Willington,10.8
Wilton,3.6
Winchester,8.2
Windham,25.2
Windsor,5.7
Windsor Locks,6.4
Wolcott,3.1
Woodbridge,2.7
Woodbury,6
Woodstock,2.3
