Month,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00
Jan,1433.90,1374.70,1326.20,1326.60,1317.00,1338.30,1340.10,1367.30,1403.80,1428.80,1442.60,1449.00,1425.20,1406.20,1399.40,1413.90,1427.80,1444.30,1459.30,1412.70,1351.20,1378.30,1398.60,1408.80,1422.90,1447.00
Feb,1429.70,1364.20,1321.40,1325.60,1311.20,1340.70,1347.30,1368.10,1408.00,1428.40,1444.00,1443.50,1423.40,1401.20,1398.80,1416.20,1429.50,1444.50,1459.10,1405.30,1348.80,1379.90,1401.20,1408.00,1419.00,1444.30
Mar,1428.80,1362.70,1320.70,1321.00,1314.60,1343.40,1350.00,1374.20,1411.20,1431.40,1448.70,1440.60,1422.90,1399.20,1400.80,1415.50,1429.10,1443.00,1460.40,1395.70,1351.60,1377.20,1403.70,1411.90,1421.90,1447.40
Apr,1419.90,1359.40,1316.40,1315.60,1324.40,1338.10,1352.30,1377.90,1407.30,1430.60,1448.10,1437.70,1423.30,1397.20,1404.00,1420.80,1435.30,1445.30,1457.30,1377.30,1357.70,1387.30,1398.60,1415.40,1425.80,1445.30
May,1417.70,1354.20,1316.70,1318.40,1325.90,1338.00,1358.10,1379.70,1413.30,1429.20,1448.30,1440.30,1420.70,1396.80,1406.40,1417.60,1433.10,1448.80,1454.90,1379.00,1362.10,1384.80,1399.40,1414.90,1427.30,1451.40
Jun,1415.40,1351.70,1315.10,1315.90,1326.90,1337.50,1361.30,1381.20,1415.40,1430.60,1452.80,1439.30,1418.60,1395.10,1406.40,1418.10,1434.30,1452.60,1453.00,1374.50,1363.40,1380.30,1400.10,1417.30,1426.10,1454.00
Jul,1411.50,1344.40,1321.20,1315.70,1329.80,1339.10,1358.40,1378.50,1419.50,1435.50,1458.60,1440.20,1414.80,1395.90,1407.80,1419.80,1435.40,1451.40,1446.20,1368.40,1368.00,1387.00,1399.40,1417.10,1427.20,1456.70
Aug,1405.30,1338.70,1319.10,1316.50,1330.40,1341.60,1365.70,1379.80,1420.40,1438.40,1455.50,1436.90,1412.00,1394.80,1409.90,1418.80,1437.30,1451.00,1443.90,1367.50,1369.40,1387.80,1400.00,1418.90,1427.50,1460.80
Sep,1400.80,1337.70,1317.40,1319.10,1332.50,1342.30,1365.70,1387.30,1416.60,1436.20,1457.50,1432.50,1410.50,1394.70,1412.00,1420.20,1436.50,1449.30,1441.10,1367.70,1370.10,1387.80,1401.90,1417.20,1428.10,1456.90
Oct,1390.60,1336.70,1316.60,1323.00,1336.40,1342.60,1370.20,1391.90,1419.80,1437.20,1453.80,1430.60,1407.50,1400.40,1412.10,1419.00,1438.80,1452.10,1433.70,1364.00,1373.50,1386.80,1405.70,1417.80,1432.70,1457.00
Nov,1383.80,1334.40,1316.90,1322.20,1335.80,1346.20,1375.00,1395.20,1423.30,1438.60,1454.00,1427.40,1406.30,1401.30,1413.40,1420.60,1439.70,1453.10,1428.50,1362.90,1374.50,1389.30,1406.40,1420.90,1435.50,1462.20
Dec,1378.30,1332.50,1315.60,1324.00,1335.70,1346.10,1374.20,1399.80,1425.30,1441.60,1455.60,1425.60,1404.10,1398.00,1413.70,1422.20,1444.00,1454.00,1421.20,1361.50,1376.30,1393.00,1407.80,1417.00,1440.40,
