Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,171000,168200,163200,165900,168600,174900,181300,189400,200900,208600,214400,214100,204600,199300,196900,198400,202100,205400,210100,196900,187000,194500,201200,203400,209800,216900
Feb,170800,167100,163200,165700,167500,175700,183600,190700,201400,208400,214300,210700,203600,198900,196700,198500,204000,206000,209200,194900,187400,195800,201400,205000,209800,216100
Mar,171000,166900,163300,165500,168400,175700,184200,191400,202500,209400,215200,210300,204400,198000,197000,198900,204300,205400,209200,192800,187500,194600,204000,205300,209900,217300
Apr,167400,165900,163900,163500,169200,176000,185500,192900,202800,209800,215100,210400,204000,197500,197000,199200,204900,206500,208200,189900,190400,196100,203400,205000,211100,214600
May,168700,165600,164000,165500,169900,176500,186800,193100,202900,210000,215800,214100,203400,196800,197400,199100,204700,207500,207500,189600,190800,196100,203000,205700,212500,214500
Jun,169800,165500,163800,165800,170700,176500,187700,193800,203300,211200,216500,210900,202800,195300,197700,199500,205200,207700,207400,188200,191300,196100,202800,206300,212000,214400
Jul,168700,165700,163700,166000,171400,176800,187000,194800,203500,212700,218000,210700,201800,195300,197900,201600,204500,207000,206200,187100,192200,197000,203300,206800,211800,217100
Aug,169100,164900,164000,166000,172000,178100,189300,194500,204100,213300,217100,209500,201500,195300,197800,200900,205100,207200,205200,187600,192000,197000,203400,208400,211800,217500
Sep,168800,164600,163900,166400,172700,178700,190000,195700,204700,213200,217100,209400,201200,195800,197500,201700,205400,207100,204300,187500,192100,197800,204300,208000,211500,216600
Oct,168500,163700,163900,167200,174600,177400,192100,196100,205600,213300,216300,208100,200600,197000,196700,201900,205600,208000,201600,187700,193000,198500,203700,208400,212300,216000
Nov,168500,163600,163700,167500,174800,179000,193300,197100,206400,213600,216000,206900,200400,197600,197500,202200,205900,208500,200000,188200,192400,200000,204300,208800,213800,217000
Dec,167900,163700,163000,167800,175000,179800,193500,198700,207400,214300,215800,205500,199200,196700,198100,202500,206600,209100,198600,188700,192800,200700,203700,208000,214700,
