Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,326000,306400,293000,290100,286900,294200,296800,299400,306400,311600,315000,314700,309900,307400,305800,310400,311800,311200,314500,301000,288000,290900,295300,296500,300000,301800
Feb,324400,302200,292200,289900,285700,295100,298900,298600,307700,311400,316800,312700,310200,306300,306200,311300,311000,311000,314000,298900,287000,291900,295800,296100,299600,303300
Mar,323800,302300,292800,288900,286900,296600,298000,299500,308600,312000,317100,311200,309700,306800,306500,310700,311500,311000,313700,297100,287900,292000,296300,297200,300300,304900
Apr,321400,302200,290500,287400,291000,293000,298400,300200,306900,311800,318000,312200,311100,304800,307600,312700,313000,311000,312700,291700,286600,294500,294700,298500,301300,303600
May,320300,301300,290100,287600,291400,293200,298600,301300,308600,310100,317800,312800,310600,304600,307100,310600,311000,312000,311700,293600,289500,293000,295800,298100,301100,306900
Jun,319700,299700,289000,287700,292100,293400,298600,301800,308700,310700,317600,312500,311200,305100,307400,310200,310800,312700,310600,293100,290300,292800,295400,298700,300800,306900
Jul,318200,298100,289500,287000,291800,295000,299700,302300,309100,311400,317600,313700,309900,304500,308200,310200,310200,312300,310000,291400,291600,293500,295200,298600,300700,306600
Aug,317000,297200,288800,287000,291300,295100,299800,301600,309000,313000,317300,312800,309400,304600,308100,310300,310300,311600,309400,291100,291200,293600,295200,299400,300500,307500
Sep,315300,295900,287800,287700,292700,295200,299400,305200,309200,312200,318200,310700,309400,304600,308700,310700,309800,310800,308600,291200,290500,293500,295700,299000,300900,305900
Oct,312300,294200,288300,288400,294200,295600,299800,305900,308100,313800,317600,311800,306600,306500,309500,309500,310500,312200,306400,290500,291300,292700,296800,299400,302000,306900
Nov,309600,293500,289000,288200,293000,296700,300800,306100,309600,313800,318400,310800,306500,305900,310400,309700,310900,312300,305000,290200,291600,292800,297200,299700,303700,308000
Dec,307500,294000,289000,288900,291900,295900,300900,307200,310200,314700,318700,310700,306700,304600,310400,310800,311300,313200,303300,289300,291900,293600,296400,299900,304100,
