Town,Donations
AMSTON,4
ANDOVER,11
ANSONIA,20
ASHFORD,12
AVON,70
BALTIC,2
BANTAM,8
BARKHAMSTED,5
BEACON FALLS,1
BERLIN,31
BETHANY,27
BETHEL,40
BETHLEHEM,5
BLOOMFIELD,48
BOLTON,9
BOZRAH,7
BRANFORD,70
BRIDGEPORT,130
BRIDGEWATER,26
BRISTOL,107
BROAD BROOK,29
BROOKFIELD,55
BROOKLYN,2
BURLINGTON,21
CANAAN,2
CANTERBURY,19
CANTON,23
CENTERBROOK,4
CHAPLIN,19
CHESHIRE,95
CHESTER,8
CLINTON,35
COLCHESTER,144
COLEBROOK,9
COLLINSVILLE,8
COLUMBIA,1
CORNWALL,2
CORNWALL BRIDGE,3
COS COB,45
COVENTRY,13
CROMWELL,17
DANBURY,125
DANIELSON,5
DARIEN,211
DAYVILLE,8
DEEP RIVER,29
DERBY,1
DURHAM,20
EAST BERLIN,11
EAST CANAAN,4
EAST GRANBY,22
EAST HADDAM,5
EAST HAMPTON,18
EAST HARTFORD,25
EAST HAVEN,51
EAST LYME,33
EAST WINDSOR,5
EASTFORD,8
EASTON,29
ELLINGTON,11
ENFIELD,36
ESSEX,40
FAIRFIELD,301
FALLS VILLAGE,18
FARMINGTON,78
GALES FERRY,13
GAYLORDSVILLE,4
GEORGETOWN,2
GLASTONBURY,127
GOSHEN,5
GRANBY,20
GREENS FARMS,1
GREENWICH,768
GRISONWICH,2
GRISWOLD,2
GROTON,23
GUILFORD,115
HADDAM,1
HADDAM NECK,5
HAMDEN,184
HAMPTON,14
HARTFORD,113
HARWINTON,6
HEBRON,11
HIGGANUM,11
HONG KONG,3
HUNTINGTON,4
IVORYTON,5
JEWETT CITY,10
KENSINGTON,6
KENT,39
KILLINGWORTH,49
LADYARD,4
LAKEVILLE,10
LEBANON,25
LEDYARD,25
LISBON,9
LITCHFIELD,62
LYME,20
MADISON,89
MALIBU,3
MANCHESTER,89
MANSFIELD CENTER,29
MARION,2
MARLBOROUGH,5
MERIDEN,51
MIDDLE HADDAM,2
MIDDLEBURY,86
MIDDLEFIELD,33
MIDDLETOWN,116
MILFORD,208
MONROE,51
MOODUS,10
MORRIS,4
MOUNT LAWLEY. WESTERN AUSTRALI,3
MYSTIC,107
N BRANFORD,1
NAUGATUCK,17
NEW BRITAIN,51
NEW CANAAN,388
NEW FAIRFIELD,18
NEW HARTFORD,17
NEW HAVEN,399
NEW LONDON,55
NEW MILFORD,94
NEW PRESTON,4
NEW PRESTON MARBLE,2
NEW PRESTON MARBLE DALE,4
NEWINGTON,36
NEWTOWN,81
NIANTIC,38
NORFOLK,8
NORTH BRANFORD,10
NORTH FRANKLIN,5
NORTH GRANBY,18
NORTH HAVEN,102
NORTH STONINGTON,7
NORTH WINDHAM,1
NORTHFORD,10
NORWALK,281
NORWICH,156
NOWALK,1
OAKDALE,28
OAKVILLE,1
OLD GREENWICH,78
OLD LYME,60
OLD SAYBROOK,43
ORANGE,44
OXFORD,22
PAWCATUCK,11
PLAINFIELD,6
PLAINVILLE,26
PLANTSVILLE,12
PLEASANT VALLEY,5
PLYMOUTH,1
POMFRET,2
POMFRET CENTER,2
POMFRET CTR,1
PORTLAND,51
PRESTON,16
PROSPECT,16
PUTNAM,5
REDDING,48
REDDING RIDGE,1
RIDGEFIELD,208
RIVERSIDE,113
ROCKFALL,1
ROCKY HILL,34
ROWAYTON,6
ROXBURY,17
S GLASTONBURY,4
SALEM,10
SALISBURY,22
SANDY HOOK,59
SEYMOUR,27
SHARON,26
SHELTON,77
SHERMAN,23
SIMSBURY,75
SOMERS,7
SOMERSVILLE,16
SOUTH GLASTONBURY,22
SOUTH KENT,1
SOUTH LYME,4
SOUTH WINDHAM,3
SOUTH WINDSOR,27
SOUTHBURY,76
SOUTHINGTON,40
SOUTHPORT,113
STAFFORD SPRINGS,12
STAMFORD,552
STERLING,31
STONINGTON,60
STORRS,19
STORRS MANFLD,3
STORRS MANSFIELD,13
STRATFORD,69
SUFFIELD,23
TACONIC,2
TAFTVILLE,2
TARIFFVILLE,8
TERRYVILLE,24
THOMASTON,1
THOMPSON,5
TOLLAND,34
TORRINGTON,28
TRUMBULL,143
UNCASVILLE,14
UNIONVILLE,12
VERNON,24
VERNON ROCKVILLE,3
VERSAILLES,2
VOLUNTOWN,5
WALLINGFORD,82
WARREN,6
WASHINGTON,24
WASHINGTON DEPOT,24
WASHINGTON DT,5
WATERBURY,117
WATERFORD,40
WATERTOWN,23
WEATOGUE,11
WEST CORNWALL,16
WEST GRANBY,11
WEST HARTFORD,357
WEST HAVEN,61
WEST SIMSBURY,15
WEST SUFFIELD,24
WESTBROOK,18
WESTON,100
WESTPORT,326
WETHERSFIELD,77
WILLIMANTIC,13
WILLINGTON,19
WILTON,78
WINDSOR,59
WINDSOR LOCKS,25
WINDSOR LOKS,1
WINSTED,10
WOLCOTT,6
WOODBRIDGE,56
WOODBURY,49
WOODSTOCK,10
,
Month,Donations
Jan,1
Feb,7
Mar,37
Apr,331
May,488
Jun,1011
Jul,652
Aug,827
Sep,1428
Oct,1823
Nov,1665
Dec,2643
