Town,Avg.per.night,AirBNBs
Andover,50,2
Ashford,117.5,8
Avon,340.25,4
Baltic,45,1
Barkhamsted,141.3076923,13
Berlin,75,1
Bethany,104,4
Bethel,96.66666667,3
Bethlehem,161.4,5
Bloomfield,117.375,8
Bolton,200,1
Bozrah,100,1
Branford,594.4,15
Bridgeport,82.375,8
Bridgewater,275,3
Bristol,64.83333333,6
Brookfield,259.8,5
Brooklyn,295,1
Burlington,199,3
Canaan,147.8571429,7
Canton,145,2
Central Manchester,82,1
Cheshire,97.5,2
Chester,196.5,2
Clinton,145.1666667,6
Colchester,120,1
Colebrook,212.5,4
Cornwall,215.2727273,11
Coventry,300,1
Danbury,83.76923077,13
Darien,239.2857143,7
Deep River,65,2
Durham,87.5,2
East Granby,60,1
East Haddam,231.3333333,3
East Hampton,916.6666667,3
East Hartford,107,1
East Haven,136.5833333,12
East Lyme,200.6666667,9
East Windsor,40,2
Easton,192.7142857,7
Ellington,162,2
Essex,225,1
Fairfield,133.6086957,23
falls village,77.5,2
Farmington,110.5,8
Gales Ferry,50,1
Gaylordsville,135,1
Glastonbury,99.375,8
Goshen,236,4
Greenwich,192.6216216,37
Groton,276.7692308,13
Groton Long Point,375,2
Guilford,176.6428571,14
Haddam,105,1
Hamden,94.73684211,19
Hartford,83.02857143,35
Harwinton,120,1
Higganum,140,2
Kent,158.3333333,15
Killingly,128.3333333,3
Killingworth,200,1
Lakeville,187.5555556,9
Ledyard,124.7142857,14
Litchfield,323.4666667,15
Lyme,358,5
Madison,249.4285714,14
Manchester,123.75,4
Mansfield,120,11
Marlborough,65,2
Meriden,55,2
Middlebury,250,1
Middletown,92.41666667,12
Milford,163.1363636,22
Monroe,115,4
Montville,125,1
Morris,286.3333333,3
Mystic,193.3571429,14
New Britain,67,5
New Canaan,637.25,4
New Fairfield,123.7777778,9
New Hartford,297,2
New Haven,92.13839286,224
New London,183.5,20
New London County,200,1
New Milford,255,11
New Preston,,
New Preston Marble Dale,240,1
Newington,70.4,5
Newtown,183,14
Norfolk,1130,5
North Haven,99.25,4
North Stonington,105,5
Norwalk,153.5853659,41
Norwich,216.75,8
Old Greenwich,70,2
Old Lyme,578,5
Old Saybrook,261.7272727,11
Orange,112.5,4
Pawcatuck,,
Pomfret,185,4
Pomfret center,147.5,2
Preston,181.7142857,7
Redding,252.9,10
Ridgefield,55,1
Rocky Hill,66,1
Rowayton,1000,1
Roxbury,628.75,4
Salisbury,222.375,16
Scotland,75,1
Sharon,255.8,15
Shelton,,
Sherman,407.1111111,9
Simsbury,155.5,6
South Kent,120,1
Southbury,110,2
Southington,,
Stafford,150,1
Stafford Springs,100.5,2
Stamford,164.3055556,72
Stonington,175,26
Stratford,258.1666667,6
Suffield,88.33333333,3
Taconic,180,1
Thompson,175,1
Tolland,69,2
Torrington,195,7
Trumbull,125.1428571,7
Vernon,116.6,5
Voluntown,546,2
Wallingford,162,2
Warren,713.8571429,7
Washington,578,20
Waterbury,54.11111111,9
Waterford,214.1111111,9
Watertown,75,2
West Cornwall,252.5,4
West Granby,87,1
West Hartford,72.45454545,22
West Haven,70.06666667,15
West Simsbury,135,1
Westbrook,313.8888889,18
Weston,253.2,5
Westport,255.6153846,26
Willimantic,99,1
Willington,,
Wilton,151.25,8
Winchester,149,4
Windham,23,1
Windsor,62.25,8
Wolcott,75,1
Woodbridge,80,3
Woodbury,218.3333333,6
Woodstock,331.25,4
