textnormal_link,resetpanel_link,mediaphoto_image_2/_alt,mediaphoto_link_2/_source,mediaphoto_images,address_value,mediaphoto_image_1,resetpanel_link/_text,mediaphoto_image_2,mediaphoto_link_1/_source,textnormalblock_link/_source,textnormalblock_link/_text,mediaphoto_image_1/_alt,textnormal_link/_text,resetpanel_link/_source,wishlist_label,mediaphoto_link_2,mediaphoto_link_1,mediaphoto_images/_alt,panelbody_description,textnormalblock_link,summary_description,textnormal_link/_source,pageUrl,space_value,textmuted_value,labeldotnew_value,superhost_image
https://www.airbnb.com/rooms/8000857?s=tWqg6kal,https://www.airbnb.com/rooms/8000857?s=tWqg6kal,Soledad And Rodrigo from Somerville,/users/show/814202,"https://a2.muscache.com/ac/users/814202/profile_pic/1420203992/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",Somerville,https://a0.muscache.com/im/pictures/107132888/0eb6cf3d_original.jpg?aki_policy=x_medium,$ 48,"https://a2.muscache.com/ac/users/814202/profile_pic/1420203992/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/8000857?s=tWqg6kal,/rooms/8000857?s=tWqg6kal,"Comfortable, well located double","Comfortable, well located double",Private room · · 46 reviews,/rooms/8000857?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/814202,https://www.airbnb.com/rooms/8000857?s=tWqg6kal,Soledad And Rodrigo from Somerville,"The apartment is in a typical American neighborhood that used to be purely workring class but now is diverse. Our neighbors are from different nationalities and different walks of life. There are artists, students, immigrants, proffesionals all co-existing happily in the neighborhood. The house is warm and comfortable and very peaceful as the neighborhood is also a quiet one. The shared space is perfect for cooking and hanging out and you can either have privacy in your room or hang out wi...",https://www.airbnb.com/rooms/8000857?s=tWqg6kal,"Double room in a shared apartment on a first floor in a safe neighborhood that is well located to downtown and to the universities. The room has full sized bed and kitchen, bathroom and living room are shared.",/rooms/8000857?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,,,,
https://www.airbnb.com/rooms/10784835?s=tWqg6kal,https://www.airbnb.com/rooms/10784835?s=tWqg6kal,Chau from Boston,/users/show/4077556,"https://a1.muscache.com/ac/pictures/da2bf1d3-3f82-41aa-acc6-ab0a34ac763b.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70","Fenway/Kenmore, Boston",https://a2.muscache.com/im/pictures/16dc361a-3cac-4486-bc2d-33b72cdee6df.jpg?aki_policy=x_medium,$ 45,"https://a1.muscache.com/ac/pictures/da2bf1d3-3f82-41aa-acc6-ab0a34ac763b.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/10784835?s=tWqg6kal,/rooms/10784835?s=tWqg6kal,5 Mins to T Semi-Private Futon,5 Mins to T Semi-Private Futon,Shared room,/rooms/10784835?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/4077556,https://www.airbnb.com/rooms/10784835?s=tWqg6kal,Chau from Boston,"Large futon in living room. Can sleep two but I prefer to just rent out to one. Large room dividers that will provide you with privacy. If you have more in your party I recommend my other listing that is full size bed with more room. There are privacy drapes as well. If you want to rent out the entire living room space with full size bed and futon it is $79 with $5 each additional person (a discounted rate). Most of the day, me and my brother will be outside, but we will definitely help ...",https://www.airbnb.com/rooms/10784835?s=tWqg6kal,Large futon situated in the living room that is sectioned off by room dividers. Futon spreads out to be around queen size. Shared space with lots of privacy for yourself. 5 mins from metro station and bus stops. Near Berklee College with good food.,/rooms/10784835?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,Instant Book,Look for the lightning bolt for faster booking,NEW,
https://www.airbnb.com/rooms/1695275?s=tWqg6kal,https://www.airbnb.com/rooms/1695275?s=tWqg6kal,Sean from Boston,/users/show/324630,"https://a0.muscache.com/ac/users/324630/profile_pic/1329710028/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70","Fenway/Kenmore, Boston",https://a1.muscache.com/im/pictures/28446181/d4654b75_original.jpg?aki_policy=x_medium,$ 99,"https://a0.muscache.com/ac/users/324630/profile_pic/1329710028/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/1695275?s=tWqg6kal,/rooms/1695275?s=tWqg6kal,Fenway park in view! Boston Studio,Fenway park in view! Boston Studio,Entire home/apt · · 197 reviews,/rooms/1695275?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/324630,https://www.airbnb.com/rooms/1695275?s=tWqg6kal,Sean from Boston,"We're happy to take your last minute/same day (night!) and one-day reservations, no problem! Classic Boston apartment with a great view of Fenway Park accommodates up to 4 (queen bed & queen/full pullout couch, as well as a pack-n'-play stowed in the closet for little people), separate hall, kitchen ready for cooking (full stove, microwave, toaster oven, pots, pans, tea kettle, dishes, silverware, some dry goods, and almost always tea), and small separate dining room with table+ chairs, ba...",https://www.airbnb.com/rooms/1695275?s=tWqg6kal,"Contact if you need to check in or store luggage after or before the posted time, I can often accomodate this in some way!",/rooms/1695275?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,Instant Book,Look for the lightning bolt for faster booking,,
https://www.airbnb.com/rooms/6676364?s=tWqg6kal,https://www.airbnb.com/rooms/6676364?s=tWqg6kal,Bernie from Boston,/users/show/13382900,"https://a0.muscache.com/ac/users/13382900/profile_pic/1433544138/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70; https://a0.muscache.com/airbnb/static/badges/superhost_photo_badge-10b716fc412b6c63907154db48160240.png","Fenway/Kenmore, Boston",https://a2.muscache.com/im/pictures/90861407/75955808_original.jpg?aki_policy=x_medium,$ 84,"https://a0.muscache.com/ac/users/13382900/profile_pic/1433544138/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/6676364?s=tWqg6kal,/rooms/6676364?s=tWqg6kal,"Cozy, high-rise room, stunning view","Cozy, high-rise room, stunning view",Private room · · 86 reviews,/rooms/6676364?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/13382900,https://www.airbnb.com/rooms/6676364?s=tWqg6kal,Bernie from Boston; ,"In addition to your room and bathroom, you can access the kitchen and upstairs lounge, outdoor patio, TV room, and laundry (costs $1.80 washer/$1.80 dryer). I will be available to offer help throughout your stay. The premises is located in the midst of the Longwood Medical and Academic Area (see Wikipedia for description). Closest public parking: Longwood Galleria Garage. The ""Longwood Medical Area"" stop on the Green Lines (""The T""), both D and E, are with a 5 minute walk to the premise...",https://www.airbnb.com/rooms/6676364?s=tWqg6kal,"Private room/queen bed, adjacent bathroom, access to living room and kitchen, in the center of Harvard-Longwood Medical and Academic Area, 15 min. walk to Fenway Park/Red Sox; 5 min to local metro, 24-hour security, on site food court & pharmacy.",/rooms/6676364?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,Instant Book,Look for the lightning bolt for faster booking,,https://a0.muscache.com/airbnb/static/badges/superhost_photo_badge-10b716fc412b6c63907154db48160240.png
https://www.airbnb.com/rooms/10906?s=tWqg6kal,https://www.airbnb.com/rooms/10906?s=tWqg6kal,Jesa & John from Somerville,/users/show/37347,"https://a0.muscache.com/ac/users/37347/profile_pic/1370393729/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70; https://a0.muscache.com/airbnb/static/badges/superhost_photo_badge-10b716fc412b6c63907154db48160240.png",Somerville,https://a0.muscache.com/im/pictures/46583/3ff52c85_original.jpg?aki_policy=x_medium,$ 35,"https://a0.muscache.com/ac/users/37347/profile_pic/1370393729/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/10906?s=tWqg6kal,/rooms/10906?s=tWqg6kal,Sofa-isticated Basic,Sofa-isticated Basic,Private room · · 279 reviews,/rooms/10906?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/37347,https://www.airbnb.com/rooms/10906?s=tWqg6kal,Jesa & John from Somerville; ,"**Please read our entire listing, including 'house rules', so you know what to expect. Also, PLEASE DO NOT MAKE A RESERVATION until after we've responded to your inquiry. Minimum stay of three nights, maximum of four.** Sometimes available: couch or airbed in cozy, quiet living room with curtains to close it off for privacy. Couch does not open and it's not quite full-length, but most people who sleep on it say it's very comfortable. If that doesn't do it for you, please ask for our one-pe...",https://www.airbnb.com/rooms/10906?s=tWqg6kal,"Airbed in private room, shared bath. Safe, clean, well-priced, and full of eclectic charm. Close to Boston, universities; 1.5 blocks from major transportation hub. Wifi, off-street parking. AirBnB Superhosts four years running.",/rooms/10906?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,,,,https://a0.muscache.com/airbnb/static/badges/superhost_photo_badge-10b716fc412b6c63907154db48160240.png
https://www.airbnb.com/rooms/8127009?s=tWqg6kal,https://www.airbnb.com/rooms/8127009?s=tWqg6kal,Aurore from Somerville,/users/show/28389529,"https://a0.muscache.com/ac/users/28389529/profile_pic/1440956472/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70; https://a0.muscache.com/airbnb/static/badges/superhost_photo_badge-10b716fc412b6c63907154db48160240.png",Somerville,https://a1.muscache.com/im/pictures/103539098/44dbcd92_original.jpg?aki_policy=x_medium,$ 55,"https://a0.muscache.com/ac/users/28389529/profile_pic/1440956472/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/8127009?s=tWqg6kal,/rooms/8127009?s=tWqg6kal,Bright appartment-12' from downtown,Bright appartment-12' from downtown,Private room · · 25 reviews,/rooms/8127009?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/28389529,https://www.airbnb.com/rooms/8127009?s=tWqg6kal,Aurore from Somerville; ,"The apartment is brand new, it was renovated in October 2013. We usually get compliments for our hardwood floors and granite counter top in the kitchen, and it is always nice to get compliments! =) We have a parking spot at the back of the building which we do not use because we don't have a car. It's like a garage that doesn't have a door, but our neighbors ensure the security of the parked cars. We will give you a key for the apartment, so you can come and go as you want. In the room, th...",https://www.airbnb.com/rooms/8127009?s=tWqg6kal,"Nice apartment in Somerville, renovated October 2013. 5 min walk from Orange line, 12 min from Downtown Crossing (subway) and 20 min from Harvard square (bus). Comfortable bed and desk + clothes storage. Kitchen available with modern appliances. Parking space available.",/rooms/8127009?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,Instant Book,Look for the lightning bolt for faster booking,,https://a0.muscache.com/airbnb/static/badges/superhost_photo_badge-10b716fc412b6c63907154db48160240.png
https://www.airbnb.com/rooms/4227664?s=tWqg6kal,https://www.airbnb.com/rooms/4227664?s=tWqg6kal,Marcela from Cambridge,/users/show/21895566,"https://a2.muscache.com/ac/users/21895566/profile_pic/1411958989/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",Cambridge,https://a2.muscache.com/airbnb/static/page3/v3/room_default_no_photos-90b75fadaf2d12ac60c0fd29a8537387.png,$ 79,"https://a2.muscache.com/ac/users/21895566/profile_pic/1411958989/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/4227664?s=tWqg6kal,/rooms/4227664?s=tWqg6kal,(5) Amory Guest House Harvard MIT,(5) Amory Guest House Harvard MIT,Private room · · 83 reviews,/rooms/4227664?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/21895566,https://www.airbnb.com/rooms/4227664?s=tWqg6kal,Marcela from Cambridge,"- EASY CHECK IN - CHECK OUT 24 HOURS - LUGGAGE STORAGE ANYTIME - LAUNDRY FACILITIES - FREE PARKING PER REQUEST - FREE BASIC BREAKFAST PROVIDED, SELF SERVICE - FREE COFFEE, CONDIMENTS AND SOME COOKING SUPPLIES - WIRELESS INTERNET - SUPER CLOSE TO PUBLIC TRANSPORTATION - CAN USE COMMON AREAS BEFORE AND AFTER CHECK IN TIMES If it says available, IT IS available, so feel free to book! The Amory House is located right in the middle of Cambridge, a short walk away from Central and Inman Square, ...",https://www.airbnb.com/rooms/4227664?s=tWqg6kal,"The Popular Amory Guest House is right between Harvard University & MIT and only 15 min from Boston. Many pubs, shops, restaurants and museums are nearby. Easy check in , basic breakfast, piano, laundry and wireless internet in a beautiful house.",/rooms/4227664?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,Instant Book,Look for the lightning bolt for faster booking,,
https://www.airbnb.com/rooms/9757412?s=tWqg6kal,https://www.airbnb.com/rooms/9757412?s=tWqg6kal,Cynthia from Boston,/users/show/50318988,"https://a1.muscache.com/ac/pictures/c8f3e783-2e53-4edb-8b39-f18f7c10f480.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70","South End, Boston",https://a2.muscache.com/airbnb/static/page3/v3/room_default_no_photos-90b75fadaf2d12ac60c0fd29a8537387.png,$ 49,"https://a1.muscache.com/ac/pictures/c8f3e783-2e53-4edb-8b39-f18f7c10f480.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/9757412?s=tWqg6kal,/rooms/9757412?s=tWqg6kal,South End Gem,South End Gem,Private room · · 9 reviews,/rooms/9757412?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/50318988,https://www.airbnb.com/rooms/9757412?s=tWqg6kal,Cynthia from Boston,"I live on the 3rd floor walk up of a South End brownstone (4 units). The bedroom is quiet since it is on the opposite side of Massachusetts Ave. -Keurig machine with free coffee -Feel free to grab cereal and milk, Luna bars, Greek yogurt, fruit, oatmeal, toast for breakfast and snacks -40 inch TV with TV antenna (CBS, NBC, ABC, Fox, ION television, PBS, Univision) and Roku streaming device (free Netflix) -Clean towels, linens, toiletries (Pantene, Dove), iron with ironing board, blow dryer ...",https://www.airbnb.com/rooms/9757412?s=tWqg6kal,"Clean, well decorated apartment in Boston's historic South End. Walking distance or a quick ride to all of Boston's landmarks. Great for tourists & health care professionals. Friendly, respectful, and responsive host who has lived in the area since 2011. Experience all the comforts of home!",/rooms/9757412?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,Instant Book,Look for the lightning bolt for faster booking,,
https://www.airbnb.com/rooms/9209929?s=tWqg6kal,https://www.airbnb.com/rooms/9209929?s=tWqg6kal,Andres from Boston,/users/show/47899391,"https://a2.muscache.com/ac/pictures/e2a3888f-0211-4a37-a9dc-6e7a88d987a3.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70","West End, Boston",https://a2.muscache.com/airbnb/static/page3/v3/room_default_no_photos-90b75fadaf2d12ac60c0fd29a8537387.png,$ 85,"https://a2.muscache.com/ac/pictures/e2a3888f-0211-4a37-a9dc-6e7a88d987a3.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/9209929?s=tWqg6kal,/rooms/9209929?s=tWqg6kal,Luxe1BR next to Beacon Hill and MGH,Luxe1BR next to Beacon Hill and MGH,Private room · · 8 reviews,/rooms/9209929?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/47899391,https://www.airbnb.com/rooms/9209929?s=tWqg6kal,Andres from Boston,"Welcome to one of the most luxurious buildings in Boston. As a guest, you will have access to a shared kitchen, a spacious balcony, and your own bathroom. The building has a state of the art gym, multiple washing and drying machines, and a 24-hour doorman. You will be able to access all of the amenities that the building offers. A gym, a lounge & multiple common spaces. I will be available every day throughout your stay if the need for help arises The building is centrally located. Every...",https://www.airbnb.com/rooms/9209929?s=tWqg6kal,"Spectacular bedroom in a huge 3-bedroom penthouse w/ amazing views overlooking Back Bay and the Charles River. The building features multiple common spaces, gym, and a lounge. Located 5 Mins from MGH, Red/Green line, TD Garden & Whole Foods.",/rooms/9209929?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,Instant Book,Look for the lightning bolt for faster booking,,
https://www.airbnb.com/rooms/8200659?s=tWqg6kal,https://www.airbnb.com/rooms/8200659?s=tWqg6kal,Mike from Boston,/users/show/38571449,"https://a1.muscache.com/ac/users/38571449/profile_pic/1436979976/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70","Back Bay, Boston",https://a2.muscache.com/airbnb/static/page3/v3/room_default_no_photos-90b75fadaf2d12ac60c0fd29a8537387.png,$ 125,"https://a1.muscache.com/ac/users/38571449/profile_pic/1436979976/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=68:*&output-format=jpg&output-quality=70",/rooms/8200659?s=tWqg6kal,/rooms/8200659?s=tWqg6kal,Quaint Back Bay Bachelor Apartment,Quaint Back Bay Bachelor Apartment,Entire home/apt · · 5 reviews,/rooms/8200659?s=tWqg6kal,Wishlist,https://www.airbnb.com/users/show/38571449,https://www.airbnb.com/rooms/8200659?s=tWqg6kal,Mike from Boston,"The unit is a studio apartment in an elevator building with modern decor and a full suite of amenities. The apartment features a full couch (sleeps one), coffee table, 60'' desk with monitor, keyboard, mouse and HDMI connection, video game system, and full bookshelf. There is a full kitchen with all necessary cooking appliances as well as two refrigerators. The check-in process is very simple: you will be able to pick up the keys upon arrival and head right up to the unit without needi...",https://www.airbnb.com/rooms/8200659?s=tWqg6kal,"Located in one of the best locations in Boston, this quaint Back Bay studio features a modern decor and full amenities at a reasonable price for the neighborhood.",/rooms/8200659?s=tWqg6kal,https://www.airbnb.com/s/Boston--MA?ss_id=5vxmczln&page=1,Instant Book,Look for the lightning bolt for faster booking,,
