"","avg.per.bed","town"
"Andover",25.94,"Andover"
"Ashford",88.85,"Ashford"
"Avon",179.17,"Avon"
"Barkhamsted",82.68,"Barkhamsted"
"Berlin",75,"Berlin"
"Bethany",83.38,"Bethany"
"Bethel",72.5,"Bethel"
"Bethlehem",88.07,"Bethlehem"
"Bloomfield",95.37,"Bloomfield"
"Bolton",200,"Bolton"
"Bozrah",100,"Bozrah"
"Branford",115.96,"Branford"
"Bridgeport",82.38,"Bridgeport"
"Bridgewater",98.19,"Bridgewater"
"Bristol",48.17,"Bristol"
"Brookfield",87.23,"Brookfield"
"Brooklyn",49.17,"Brooklyn"
"Burlington",66.94,"Burlington"
"Canaan",74.29,"Canaan"
"Canton",73.38,"Canton"
"Cheshire",86.67,"Cheshire"
"Chester",87.17,"Chester"
"Clinton",118,"Clinton"
"Colchester",60,"Colchester"
"Colebrook",131.25,"Colebrook"
"Cornwall",101.26,"Cornwall"
"Coventry",150,"Coventry"
"Danbury",71.13,"Danbury"
"Darien",93.57,"Darien"
"Deep River",65,"Deep River"
"Durham",87.5,"Durham"
"East Granby",30,"East Granby"
"East Haddam",66.89,"East Haddam"
"East Hampton",86.5,"East Hampton"
"East Hartford",107,"East Hartford"
"East Haven",60.22,"East Haven"
"East Lyme",74.26,"East Lyme"
"East Windsor",40,"East Windsor"
"Easton",79.33,"Easton"
"Ellington",66.41,"Ellington"
"Essex",45,"Essex"
"Fairfield",87.63,"Fairfield"
"Farmington",72.48,"Farmington"
"Glastonbury",90,"Glastonbury"
"Goshen",63.7,"Goshen"
"Granby",66.84,"Granby"
"Greenwich",109.44,"Greenwich"
"Groton",149.13,"Groton"
"Guilford",104.65,"Guilford"
"Haddam",84.58,"Haddam"
"Hamden",53.72,"Hamden"
"Hartford",64.81,"Hartford"
"Harwinton",40,"Harwinton"
"Kent",97.35,"Kent"
"Killingly",49.16,"Killingly"
"Killingworth",62.5,"Killingworth"
"Ledyard",102.23,"Ledyard"
"Litchfield",118.68,"Litchfield"
"Lyme",104.45,"Lyme"
"Madison",122.78,"Madison"
"Manchester",102.5,"Manchester"
"Mansfield",90,"Mansfield"
"Marlborough",32.5,"Marlborough"
"Meriden",42.5,"Meriden"
"Middlebury",50,"Middlebury"
"Middletown",53.68,"Middletown"
"Milford",87.58,"Milford"
"Monroe",103.75,"Monroe"
"Montville",125,"Montville"
"Morris",166.7,"Morris"
"New Britain",57.92,"New Britain"
"New Canaan",203.8,"New Canaan"
"New Fairfield",74.94,"New Fairfield"
"New Hartford",86.25,"New Hartford"
"New Haven",70.21,"New Haven"
"New London",98.83,"New London"
"New Milford",111.16,"New Milford"
"Newington",62.4,"Newington"
"Newtown",118.52,"Newtown"
"Norfolk",132.58,"Norfolk"
"North Canaan",57.5,"North Canaan"
"North Haven",69.05,"North Haven"
"North Stonington",105,"North Stonington"
"Norwalk",106.06,"Norwalk"
"Norwich",99.48,"Norwich"
"Old Lyme",482.75,"Old Lyme"
"Old Saybrook",126.9,"Old Saybrook"
"Orange",75,"Orange"
"Pomfret",65.42,"Pomfret"
"Preston",120.43,"Preston"
"Redding",165.48,"Redding"
"Ridgefield",55,"Ridgefield"
"Rocky Hill",33,"Rocky Hill"
"Roxbury",161,"Roxbury"
"Salisbury",111.24,"Salisbury"
"Scotland",75,"Scotland"
"Sharon",92.62,"Sharon"
"Shelton",64,"Shelton"
"Sherman",117.27,"Sherman"
"Simsbury",65.9,"Simsbury"
"Southbury",76.12,"Southbury"
"Southington",22,"Southington"
"Sprague",22.5,"Sprague"
"Stafford",50.25,"Stafford"
"Stamford",117.18,"Stamford"
"Stonington",115.23,"Stonington"
"Stratford",170.75,"Stratford"
"Suffield",26.11,"Suffield"
"Thompson",175,"Thompson"
"Tolland",69,"Tolland"
"Torrington",94.21,"Torrington"
"Trumbull",74.72,"Trumbull"
"Vernon",50.22,"Vernon"
"Voluntown",70.59,"Voluntown"
"Wallingford",162,"Wallingford"
"Warren",151.47,"Warren"
"Washington",160.89,"Washington"
"Waterbury",51.33,"Waterbury"
"Waterford",102.91,"Waterford"
"Watertown",46.88,"Watertown"
"West Hartford",60.08,"West Hartford"
"West Haven",50.12,"West Haven"
"Westbrook",112.55,"Westbrook"
"Weston",144.88,"Weston"
"Westport",115.08,"Westport"
"Willington",60,"Willington"
"Wilton",124.62,"Wilton"
"Winchester",92.25,"Winchester"
"Windham",51.78,"Windham"
"Windsor",59.89,"Windsor"
"Wolcott",75,"Wolcott"
"Woodbridge",74.38,"Woodbridge"
"Woodbury",138.96,"Woodbury"
"Woodstock",112.08,"Woodstock"
