GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With an Internet subscription:,Margin of Error; With an Internet subscription:,Estimate; With an Internet subscription: - Dial-up alone,Margin of Error; With an Internet subscription: - Dial-up alone,Estimate; With an Internet subscription: - DSL:,Margin of Error; With an Internet subscription: - DSL:,Estimate; With an Internet subscription: - DSL: - With mobile broadband,Margin of Error; With an Internet subscription: - DSL: - With mobile broadband,Estimate; With an Internet subscription: - DSL: - Without mobile broadband,Margin of Error; With an Internet subscription: - DSL: - Without mobile broadband,Estimate; With an Internet subscription: - Cable modem:,Margin of Error; With an Internet subscription: - Cable modem:,Estimate; With an Internet subscription: - Cable modem: - With mobile broadband,Margin of Error; With an Internet subscription: - Cable modem: - With mobile broadband,Estimate; With an Internet subscription: - Cable modem: - Without mobile broadband,Margin of Error; With an Internet subscription: - Cable modem: - Without mobile broadband,Estimate; With an Internet subscription: - Fiber-optic:,Margin of Error; With an Internet subscription: - Fiber-optic:,Estimate; With an Internet subscription: - Fiber-optic: - With mobile broadband,Margin of Error; With an Internet subscription: - Fiber-optic: - With mobile broadband,Estimate; With an Internet subscription: - Fiber-optic: - Without mobile broadband,Margin of Error; With an Internet subscription: - Fiber-optic: - Without mobile broadband,Estimate; With an Internet subscription: - Satellite Internet service:,Margin of Error; With an Internet subscription: - Satellite Internet service:,Estimate; With an Internet subscription: - Satellite Internet service: - With mobile broadband,Margin of Error; With an Internet subscription: - Satellite Internet service: - With mobile broadband,Estimate; With an Internet subscription: - Satellite Internet service: - Without mobile broadband,Margin of Error; With an Internet subscription: - Satellite Internet service: - Without mobile broadband,"Estimate; With an Internet subscription: - Two or more fixed broadband types, or other:","Margin of Error; With an Internet subscription: - Two or more fixed broadband types, or other:","Estimate; With an Internet subscription: - Two or more fixed broadband types, or other: - With mobile broadband","Margin of Error; With an Internet subscription: - Two or more fixed broadband types, or other: - With mobile broadband","Estimate; With an Internet subscription: - Two or more fixed broadband types, or other: - Without mobile broadband","Margin of Error; With an Internet subscription: - Two or more fixed broadband types, or other: - Without mobile broadband",Estimate; With an Internet subscription: - Mobile broadband alone or with dialup,Margin of Error; With an Internet subscription: - Mobile broadband alone or with dialup,Estimate; Internet access without a subscription,Margin of Error; Internet access without a subscription,Estimate; No Internet access,Margin of Error; No Internet access
0400000US01,01,Alabama,1841217,10615,1223600,12429,12722,1522,303065,8066,101506,4437,201559,7372,525907,9307,219886,7471,306021,7703,49641,3717,19810,2052,29831,3088,61108,3505,22463,2251,38645,3049,137177,5793,64828,3845,72349,4234,133980,6672,85247,4451,532370,9968
0400000US02,02,Alaska,249659,2978,204620,3590,1385,456,50395,2462,22044,1657,28351,1958,99056,3253,57129,2907,41927,2786,1419,588,1158,571,261,144,6545,967,2229,640,4316,776,22210,2206,15058,1967,7152,1072,23610,2516,9333,1295,35706,2422
0400000US04,04,Arizona,2428743,11353,1848561,13868,14036,1563,335135,9852,128180,6153,206955,7163,1044954,14575,442960,9302,601994,12116,45312,2860,19493,2142,25819,2619,80386,3480,25538,2282,54848,3313,187653,6229,95678,4785,91975,4512,141085,5589,104027,4904,476155,9140
0400000US05,05,Arkansas,1131288,8373,728111,10337,9724,1553,199052,6581,64857,3964,134195,5013,272794,8141,102923,5231,169871,6377,27261,2711,10597,1384,16664,2342,45067,3332,14989,1925,30078,2554,63672,3461,31179,2420,32493,2279,110541,5376,75916,4903,327261,9020
0400000US06,06,California,12758648,18835,10294825,26001,85792,4061,2062059,20905,882087,13368,1179972,14244,5112535,26138,2401592,18434,2710943,21749,810049,11143,396760,9495,413289,8683,312851,7021,132684,5575,180167,5062,1161827,17469,661805,11872,500022,10993,749712,12310,407939,10584,2055884,19362
0400000US08,08,Colorado,2039592,7530,1676177,9334,20361,2076,409852,7473,186631,5463,223221,5807,812677,9005,389084,7526,423593,8324,33742,2443,16660,1913,17082,1969,83019,4381,31962,2996,51057,3144,187808,5969,107894,4257,79914,4409,128718,5651,76541,5034,286874,8122
0400000US09,09,Connecticut,1355817,6673,1098812,8316,7566,1243,179038,6589,61602,3991,117436,5088,697697,9901,282664,7405,415033,8500,43324,2711,22672,1805,20652,2229,15305,2036,4164,1031,11141,1872,114600,4925,62246,3625,52354,3352,41282,3218,40943,3038,216062,6688
0400000US10,10,Delaware,349743,3705,266404,5097,2435,696,21034,1939,7489,1277,13545,1506,141374,3912,50696,3071,90678,3852,55996,2847,21096,2017,34900,2812,4547,869,1868,610,2679,660,26795,2046,14387,1906,12408,1629,14223,1777,15770,2136,67569,3692
0400000US11,11,District of Columbia,277378,3304,204927,3579,1209,588,30655,2349,13497,1532,17158,1847,123197,3686,63528,3113,59669,3064,18248,1749,11344,1711,6904,1307,2562,806,1324,539,1238,594,18286,1966,10382,1455,7904,1421,10770,1596,17916,2256,54535,2981
0400000US12,12,Florida,7328046,25793,5605916,27204,49360,3417,901465,14641,304673,7894,596792,12738,3174480,23136,1217217,17953,1957263,20746,402225,9162,172415,6035,229810,6918,120550,5863,42651,3617,77899,4608,634151,10899,338108,7965,296043,8585,323685,8955,313543,9271,1408587,18102
0400000US13,13,Georgia,3587521,13961,2654704,17726,20333,2175,728625,12768,276008,8755,452617,10181,1190659,14317,527346,11160,663313,14089,102777,5003,46661,3187,56116,4052,87416,4092,30686,2851,56730,3450,311667,8102,169554,6436,142113,5243,213227,8116,164000,6611,768817,12083
0400000US15,15,Hawaii,450769,4870,366200,5420,3005,695,52041,3336,23522,2111,28519,2677,246232,5709,125049,4278,121183,4461,8107,1302,4977,949,3130,700,4847,949,1605,508,3242,843,31330,2292,19058,1658,12272,1594,20638,2210,12387,1709,72182,3557
0400000US16,16,Idaho,591587,4733,441754,6464,6597,1372,132534,5389,51299,3319,81235,4673,162700,5933,66703,3632,95997,4936,7969,1557,3552,1040,4417,1230,44500,3139,13019,1805,31481,2436,38912,3141,18537,2006,20375,2376,48542,3975,31580,3966,118253,5154
0400000US17,17,Illinois,4772421,12392,3633578,16655,31391,2232,711231,11586,305454,7689,405777,9239,1960419,16379,951499,13980,1008920,12745,133731,5940,61924,4127,71807,3928,122393,5178,46184,2875,76209,4053,371744,8061,205102,5596,166642,5669,302669,8329,200579,6244,938264,11664
0400000US18,18,Indiana,2502739,10912,1812157,12980,24132,2108,379461,7602,133779,4822,245682,6526,847344,13057,332785,9039,514559,10346,132771,6166,51699,3331,81072,5310,94350,4351,31296,2634,63054,3953,172578,5775,82918,4537,89660,4311,161521,6166,122194,6198,568388,9304
0400000US19,19,Iowa,1241471,6257,935275,8388,14690,1518,245369,6277,96679,4418,148690,5201,382303,7536,161210,5199,221093,6131,49899,3060,20742,2016,29157,2126,55386,2917,20232,1826,35154,2263,99644,4074,48411,2914,51233,2793,87984,3842,52830,3148,253366,5349
0400000US20,20,Kansas,1109280,6429,833387,8525,6737,1129,148192,5871,56864,3633,91328,4437,411105,6984,178064,4896,233041,5816,65398,2996,26544,2111,38854,2630,39643,2477,14246,1354,25397,1893,86385,3496,48538,3309,37847,2474,75927,4118,46434,3211,229459,6227
0400000US21,21,Kentucky,1712094,8632,1192736,11198,13808,1883,299030,6780,113998,4439,185032,5475,529849,7908,239597,5519,290252,7085,48980,3051,18706,1958,30274,2704,58452,3247,20803,2242,37649,2586,131947,6196,70322,4737,61625,3461,110670,4888,75749,3646,443609,8605
0400000US22,22,Louisiana,1718194,10232,1157447,11123,12603,1753,235251,7615,88766,4778,146485,6380,532469,7874,215473,5906,316996,7132,69754,4166,30413,2687,39341,3309,53775,3859,19766,2454,34009,3076,134175,5227,66616,4035,67559,4091,119420,6010,67254,4049,493493,9702
0400000US23,23,Maine,549841,5205,417716,5406,5830,936,96926,3545,28970,2155,67956,2973,243104,5769,98969,4767,144135,5382,5310,1131,1527,441,3783,976,11990,1309,2709,724,9281,1140,33486,2567,14764,1478,18722,1961,21070,1808,21640,2440,110485,4392
0400000US24,24,Maryland,2165438,8230,1747997,11358,13540,1677,177208,5704,64451,3259,112757,4631,781104,11275,315312,7551,465792,9150,424677,8858,202812,6429,221865,6240,35419,2409,13276,1538,22143,2235,220914,6382,134222,5180,86692,4393,95135,4311,82083,4510,335358,8475
