id,median.income,median.income.error
Andover,88438,16028
Ansonia,45505,8320
Ashford,75127,7260
Avon,115571,7647
Barkhamsted,89911,14856
Beacon Falls,85280,11053
Berlin,87432,5885
Bethany,100083,16496
Bethel,73435,7255
Bethlehem,83871,11120
Bloomfield,73104,3437
Bolton,86890,9436
Bozrah,78580,9644
Branford,70785,4056
Bridgeport,41050,1653
Bridgewater,87875,13664
Bristol,57610,1951
Brookfield,107537,10235
Brooklyn,49609,88339
Burlington,105422,14537
Canaan,48955,18493
Canterbury,73038,4974
Canton,87891,7473
Chaplin,75368,16960
Cheshire,111638,4667
Chester,74911,14997
Clinton,61741,4936
Colchester,63453,8944
Colebrook,79667,11026
Columbia,90725,5597
Cornwall,67500,22149
Coventry,93816,3045
Cromwell,75859,6363
Danbury,64969,3220
Darien,205688,21923
Deep River,71500,11858
Derby,53098,7036
Durham,102031,19269
East Granby,71250,10315
East Haddam,89615,12684
East Hampton,87102,19308
East Hartford,50400,2890
East Haven,63673,4477
East Lyme,78257,5507
East Windsor,72785,8120
Eastford,83015,7387
Easton,150000,11750
Ellington,84699,6364
Enfield,67191,2827
Essex,86298,9599
Fairfield,117705,3940
Farmington,88935,4905
Franklin,89643,12702
Glastonbury,106678,3972
Goshen,79850,18539
Granby,97894,8408
Greenwich,89886,14934
Griswold,59387,10804
Groton,51768,2748
Guilford,96151,5082
Haddam,93824,7531
Hamden,68794,3364
Hampton,74559,8068
Hartford,29430,1232
Hartland,88362,5432
Harwinton,89102,6954
Hebron,111792,9647
Kent,64038,10444
Killingly,57205,5825
Killingworth,112761,14682
Lebanon,83651,11835
Ledyard,87518,5293
Lisbon,80129,10531
Litchfield,81042,17327
Lyme,85263,17696
Madison,110761,12887
Manchester,57943,3046
Mansfield,66143,4607
Marlborough,110694,11614
Meriden,52590,2375
Middlebury,96181,4558
Middlefield,96765,11672
Middletown,59994,2819
Milford,80460,2350
Monroe,103589,8654
Montville,68298,5829
Morris,83958,15105
Naugatuck,59056,5240
New Britain,40294,1877
New Canaan,161848,16216
New Fairfield,103100,9539
New Hartford,86354,10564
New Haven,37428,1361
New London,43307,2554
New Milford,55680,4716
Newington,77368,3419
Newtown,116771,8017
Norfolk,57143,14177
North Branford,84783,9776
North Canaan,49746,7246
North Haven,86250,5078
North Stonington,82900,12359
Norwalk,74728,2899
Norwich,48597,3578
Old Lyme,87416,6447
Old Saybrook,75549,9527
Orange,106942,7226
Oxford,102167,8125
Plainfield,62708,6377
Plainville,60630,3010
Plymouth,70273,3198
Pomfret,84918,9787
Portland,72018,5943
Preston,74141,14862
Prospect,98151,5159
Putnam,39225,10201
Redding,119112,15833
Ridgefield,105966,16587
Rocky Hill,77560,9169
Roxbury,90250,13714
Salem,100625,11413
Salisbury,68094,14425
Scotland,78250,8426
Seymour,75426,11765
Sharon,57813,67098
Shelton,86138,4787
Sherman,112344,13741
Simsbury,115000,6927
Somers,91299,7324
South Windsor,90499,3227
Southbury,73341,9574
Southington,80029,3852
Sprague,66622,5773
Stafford,61959,5472
Stamford,76779,2695
Sterling,68833,7817
Stonington,71250,6740
Stratford,66361,3409
Suffield,92737,5794
Thomaston,41676,8141
Thompson,64974,7051
Tolland,103869,5994
Torrington,51951,2795
Trumbull,108854,4903
Union,83850,4204
Vernon,61038,2172
Voluntown,75938,5437
Wallingford,75346,3541
Warren,100972,13231
Washington,80160,6135
Waterbury,40639,1858
Waterford,59886,9165
Watertown,73493,26318
West Hartford,82322,4255
West Haven,52353,2199
Westbrook,62832,17667
Weston,207262,20127
Westport,160106,14814
Wethersfield,77740,5366
Willington,72011,6393
Wilton,167094,12798
Winchester,58458,6540
Windham,41639,3914
Windsor,79528,4107
Windsor Locks,66583,4544
Wolcott,83993,4610
Woodbridge,138082,12260
Woodbury,81597,15567
Woodstock,77366,15944
