TFID,STATEFP00,COUNTYFP00,TRACTCE00,BLKGRPCE00,BLOCKCE00,COUSUBFP00,SUBMCDFP00,CONCTYFP00,PLACEFP00,AIANNHFP00,AIANNHCE00,COMPTYP00,TRSUBFP00,TRSUBCE00,ANRCFP00,ELSDLEA00,SCSDLEA00,UNSDLEA00,UACE,CD108FP,SLDUST00,SLDLST00,VTDST00,ZCTA5CE00,TAZCE00,UGACE00,PUMA5CE00,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,BLOCKCE10,COUSUBFP10,SUBMCDFP10,CONCTYFP10,PLACEFP10,AIANNHFP10,AIANNHCE10,COMPTYP10,TRSUBFP10,TRSUBCE10,ANRCFP10,TTRACTCE10,TBLKGPCE10,ELSDLEA10,SCSDLEA10,UNSDLEA10,UACE10,CD111FP,SLDUST10,SLDLST10,VTDST10,ZCTA5CE10,TAZCE10,UGACE10,PUMACE10,CSAFP10,CBSAFP10,METDIVFP10,CNECTAFP10,NECTAFP10,NCTADVFP10,LWFLAG,OFFSET,ATOTAL,INTPTLAT,INTPTLON
210634976,09,011,702400,1,1020,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,2,2027,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,17151,+41.3605590,-072.0812095
210634977,09,011,702400,1,1022,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,2,2020,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,17378,+41.3615268,-072.0793102
210634978,09,011,702400,2,2005,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,2,2026,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,53183,+41.3584929,-072.0812023
210634979,09,011,702400,1,1021,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,2,2028,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,24754,+41.3606164,-072.0790248
210634981,09,011,702400,2,2004,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,2,2034,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,30109,+41.3588418,-072.0796726
210634982,09,011,702400,2,2010,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,2,2029,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,119823,+41.3539006,-072.0806272
210634983,09,011,702400,2,2014,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,2,2039,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,45970,+41.3560519,-072.0793530
210634984,09,011,702400,2,2003,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,2,2038,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,32172,+41.3580657,-072.0778936
210634988,09,011,702400,1,1023,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,1,1004,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,6752,+41.3608010,-072.0773167
237822346,09,011,702400,1,1014,34250,,,34180,,,,,,,,,01770,64135,02,18,40,05903,06340,17050,,01200,09,011,702400,1,1003,34250,,,34180,,,,,,,,,,,01770,64135,02,018,040,11-012,06340,,,01101,,35980,,,76450,,L,N,49218,+41.3609328,-072.0751744
