"","water.system.name","county.s.served","city.s.served","population.served","primary.water.source.type","pws.activity","water.system.id","type","source.adjusted","link"
"1","166 & 180 BOSTON TURNPIKE","TOLLAND","BOLTON",31,"Ground water","Active","CT0121051","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0121051&state=CT&source=Ground%20water&population=31"
"2","298-302 ALBANY TURNPIKE","HARTFORD","CANTON",28,"Ground water","Active","CT0231011","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0231011&state=CT&source=Ground%20water&population=28"
"3","31 GRIST MILL RD","MIDDLESEX","EAST HADDAM",30,"Ground water","Active","CT0419221","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0419221&state=CT&source=Ground%20water&population=30"
"4","39 HOP BROOK RD - APT COMPLEX","FAIRFIELD","BROOKFIELD",36,"Ground water","Active","CT0189971","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0189971&state=CT&source=Ground%20water&population=36"
"5","890 BOSTON TURNPIKE","TOLLAND","BOLTON",60,"Ground water","Active","CT0121081","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0121081&state=CT&source=Ground%20water&population=60"
"6","AARON MANOR NURSING & REHAB CENTER","MIDDLESEX","CHESTER",81,"Ground water","Active","CT0261001","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0261001&state=CT&source=Ground%20water&population=81"
"7","ABBY WATER LLC","TOLLAND","HEBRON",100,"Ground water","Active","CT0670021","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0670021&state=CT&source=Ground%20water&population=100"
"8","APPLE VALLEY VILLAGE","HARTFORD","SOUTHINGTON",70,"Ground water","Active","CT1310031","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT1310031&state=CT&source=Ground%20water&population=70"
"9","AQUA VISTA ASSOC, INC - LOWER SYSTEM","FAIRFIELD","DANBURY",128,"Ground water","Active","CT0347051","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0347051&state=CT&source=Ground%20water&population=128"
"10","AQUA VISTA ASSOC, INC - UPPER SYSTEM","FAIRFIELD","DANBURY",260,"Ground water","Active","CT0340111","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0340111&state=CT&source=Ground%20water&population=260"
"11","AQUARION WATER CO OF CT-BALL POND SYS","FAIRFIELD","NEW FAIRFIELD",792,"Ground water","Active","CT0910011","Community Water Systems","Ground%20water","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0910011&state=CT&source=Ground%20water&population=792"
"12","AQUARION WATER CO OF CT-BARNUM SYSTEM","FAIRFIELD","RIDGEFIELD",225,"Surface water purchased","Active","CT1189171","Community Water Systems","Surface%20water%20purchased","https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT1189171&state=CT&source=Surface%20water%20purchased&population=225"
