,city.s.served,Freq,towns.served
1,ANDOVER,10,Andover
4,ASHFORD,26,Ashford
5,AVON,3,Avon
9,BARKHAMSTED,24,Barkhamsted
13,BERLIN,5,Berlin
20,BETHANY,21,Bethany
21,BETHEL,19,Bethel
25,BETHLEHEM,18,Bethlehem
26,BLOOMFIELD,6,Bloomfield
27,BOLTON,35,Bolton
29,BOZRAH,9,Bozrah
31,BRIDGEWATER,7,Bridgewater
33,BRISTOL,9,Bristol
36,BROOKFIELD,83,Brookfield
39,BROOKLYN,16,Brooklyn
42,BURLINGTON,11,Burlington
43,CANAAN,8,Canaan
44,CANTERBURY,19,Canterbury
45,CANTON,13,Canton
46,CHAPLIN,13,Chaplin
47,CHESHIRE,6,Cheshire
49,CHESTER,9,Chester
51,CLINTON,7,Clinton
53,COLCHESTER,21,Colchester
55,COLEBROOK,7,Colebrook
56,COLUMBIA,31,Columbia
58,CORNWALL,14,Cornwall
59,COVENTRY,35,Coventry
60,CROMWELL,1,Cromwell
62,DANBURY,43,Danbury
67,DEEP RIVER,6,Deep River
68,DERBY,1,Derby
70,DURHAM,32,Durham
73,EAST GRANBY,14,East Granby
76,EAST HADDAM,43,East Haddam
77,EAST HAMPTON,56,East Hampton
78,EAST HARTFORD,1,East Hartford
79,EAST HAVEN,1,East Haven
80,EAST LYME,6,East Lyme
81,EAST WINDSOR,12,East Windsor
83,EASTFORD,12,Eastford
84,EASTON,10,Easton
85,ELLINGTON,9,Ellington
86,ENFIELD,7,Enfield
88,ESSEX,8,Essex
89,FARMINGTON,7,Farmington
90,FRANKLIN,19,Franklin
91,GLASTONBURY,12,Glastonbury
93,GOSHEN,16,Goshen
95,GRANBY,23,Granby
96,GREENWICH,28,Greenwich
98,GRISWOLD,17,Griswold
100,GROTON,15,Groton
103,GUILFORD,13,Guilford
104,HADDAM,40,Haddam
105,HAMDEN,5,Hamden
106,HAMPTON,4,Hampton
107,HARTLAND,4,Hartland
108,HARWINTON,9,Harwinton
110,HEBRON,27,Hebron
111,KENT,21,Kent
112,KILLINGLY,22,Killingly
113,KILLINGWORTH,25,Killingworth
114,LEBANON,32,Lebanon
115,LEDYARD,14,Ledyard
116,LISBON,8,Lisbon
117,LITCHFIELD,27,Litchfield
120,LYME,4,Lyme
121,MADISON,21,Madison
122,MANCHESTER,11,Manchester
123,MANSFIELD,52,Mansfield
126,MARLBOROUGH,32,Marlborough
127,MERIDEN,3,Meriden
128,MIDDLEBURY,18,Middlebury
132,MIDDLEFIELD,30,Middlefield
133,MIDDLETOWN,8,Middletown
135,MILFORD,2,Milford
136,MONROE,19,Monroe
137,MONTVILLE,58,Montville
140,MORRIS,14,Morris
2,ANSONIABEACON FALLSBETHANYOXFORDSEYMOURWOODBRIDGE,1,"Ansonia, Beacon Falls, Bethany, Oxford, Seymour, Woodbridge"
3,ANSONIABETHANYBRANFORDCHESHIREDERBYEAST HAVENHAMDENMERIDENMILFORDNEW HAVENNORTH BRANFORDNORTH HAVENORANGEPROSPECTSEYMOURSOUTHINGTONWALLINGFORDWEST HAVENWOLCOTTWOODBRIDGE,1,"Ansonia, Bethany, Branford, Cheshire, Derby, east Haven, Hamden, Meriden, Milford, New Haven, North Branford, North Haven, Orange, Prospect, Seymour, Southington, Wallingford, West Haven, Wolcott, Woodbridge"
6,AVONBRISTOLFARMINGTONPLAINVILLE,1,"Avon, Bristol, Farmington, Plainville"
7,AVONBURLINGTONCANTONNEW HARTFORD,1,"Avon, Burlington, New Hartford"
