Town,BLL5,BLL10,BLL15,BLL20,Children tested
Barkhamsted,0,0,0,0,39
Bethlehem,0,0,0,0,39
Bolton,0,0,0,0,63
Bozrah,0,0,0,0,20
Bridgewater,0,0,0,0,6
Canton,0,0,0,0,142
Chaplin,0,0,0,0,29
Colchester,0,0,0,0,201
Columbia,0,0,0,0,69
East Granby,0,0,0,0,78
Eastford,0,0,0,0,19
Easton,0,0,0,0,81
Essex,0,0,0,0,69
Franklin,0,0,0,0,16
Goshen,0,0,0,0,30
Hartland,0,0,0,0,19
Harwinton,0,0,0,0,67
Hebron,0,0,0,0,81
Killingworth,0,0,0,0,73
Ledyard,0,0,0,0,279
Lisbon,0,0,0,0,32
Lyme,0,0,0,0,1
Madison,0,0,0,0,199
Marlborough,0,0,0,0,67
Middlefield,0,0,0,0,43
Monroe,0,0,0,0,271
Morris,0,0,0,0,28
North Canaan,0,0,0,0,24
Orange,0,0,0,0,182
Preston,0,0,0,0,57
Prospect,0,0,0,0,95
Redding,0,0,0,0,91
Roxbury,0,0,0,0,19
Salem,0,0,0,0,46
Sherman,0,0,0,0,24
Warren,0,0,0,0,3
Waterford,0,0,0,0,270
Weston,0,0,0,0,111
Willington,0,0,0,0,88
Andover,1,1,0,0,35
Ashford,1,1,0,0,68
Avon,1,1,1,1,240
Bethany,1,1,0,0,61
Brookfield,1,1,0,0,222
Burlington,1,0,0,0,133
Cheshire,1,0,0,0,286
Colebrook,1,0,0,0,3
Coventry,1,0,0,0,193
Darien,1,0,0,0,457
Durham,1,1,0,0,110
East Haddam,1,0,0,0,110
Ellington,1,0,0,0,260
Farmington,1,0,0,0,363
Guilford,1,1,0,0,208
Hampton,1,0,0,0,28
Kent,1,0,0,0,26
Mansfield,1,0,0,0,147
New Canaan,1,1,1,0,366
New Fairfield,1,0,0,0,179
New Hartford,1,0,0,0,76
Norfolk,1,0,0,0,11
North Branford,1,0,0,0,187
Old Saybrook,1,0,0,0,123
Portland,1,0,0,0,138
Ridgefield,1,0,0,0,358
Scotland,1,0,0,0,10
Southbury,1,0,0,0,166
Sterling,1,0,0,0,72
Tolland,1,0,0,0,220
Union,1,0,0,0,9
Voluntown,1,0,0,0,37
Washington,1,0,0,0,34
Westport,1,0,0,0,406
Wethersfield,1,0,0,0,425
Wilton,1,0,0,0,259
Wolcott,1,0,0,0,187
Woodbridge,1,0,0,0,115
Woodstock,1,0,0,0,131
Beacon Falls,2,1,1,1,82
Brooklyn,2,1,0,0,148
Cornwall,2,0,0,0,18
Deep River,2,0,0,0,56
East Lyme,2,1,0,0,220
Granby,2,0,0,0,129
Haddam,2,1,1,1,116
Lebanon,2,0,0,0,81
Litchfield,2,0,0,0,72
Middlebury,2,0,0,0,98
Plymouth,2,1,0,0,157
Salisbury,2,1,0,0,17
Sharon,2,0,0,0,17
Simsbury,2,1,0,0,252
Somers,2,1,1,1,129
Southington,2,0,0,0,499
Suffield,2,0,0,0,151
Thomaston,2,0,0,0,115
Woodbury,2,1,0,0,110
Berlin,3,1,0,0,242
Bethel,3,0,0,0,335
Branford,3,1,1,1,367
Canaan,3,0,0,0,10
Chester,3,0,0,0,55
Clinton,3,0,0,0,187
Cromwell,3,1,0,0,276
East Windsor,3,1,1,0,167
Glastonbury,3,0,0,0,388
New Milford,3,1,1,0,451
Newington,3,0,0,0,366
North Haven,3,1,1,1,357
North Stonington,3,0,0,0,77
Old Lyme,3,1,0,0,115
Oxford,3,0,0,0,181
Windsor Locks,3,2,2,2,162
Canterbury,4,1,1,0,78
East Hampton,4,0,0,0,183
Newtown,4,1,0,0,306
Plainville,4,0,0,0,294
Seymour,4,2,1,0,329
Sprague,4,0,0,0,71
Westbrook,4,1,0,0,89
Groton,5,3,1,0,1133
Montville,5,1,1,1,311
Pomfret,5,1,0,0,86
Shelton,5,0,0,0,613
Trumbull,5,3,2,0,535
Watertown,5,1,0,0,323
Fairfield,6,1,0,0,937
South Windsor,6,2,1,0,329
Stonington,6,1,0,0,229
Windsor,6,1,0,0,410
Milford,7,1,0,0,879
Rocky Hill,7,2,0,0,356
Greenwich,8,4,2,2,1192
Derby,9,3,1,1,277
Killingly,9,2,1,0,448
Plainfield,9,2,1,0,330
Bloomfield,10,1,0,0,334
Putnam,10,1,1,1,262
Stafford,10,0,0,0,188
Wallingford,10,4,1,1,813
Thompson,11,2,1,1,185
Winchester,11,3,2,0,144
East Haven,12,3,1,0,485
Enfield,12,2,1,1,730
Griswold,12,1,1,1,219
West Hartford,13,3,0,0,961
Naugatuck,19,7,1,0,635
Ansonia,20,4,2,1,487
Hamden,21,6,1,1,1001
East Hartford,22,9,2,2,1245
Vernon,22,3,0,0,638
Windham,22,10,3,1,548
Stratford,23,2,0,0,1070
Bristol,24,9,4,2,975
Middletown,25,3,1,0,959
Manchester,26,11,6,2,1349
Danbury,28,7,3,3,2233
Torrington,34,11,3,0,473
New London,37,6,1,1,726
West Haven,41,16,10,2,1346
Stamford,50,9,2,1,3662
Norwalk,51,11,3,3,2285
Norwich,56,17,8,4,1007
New Britain,88,15,8,4,2748
Meriden,102,30,11,5,1814
Hartford,161,32,17,12,4587
Waterbury,229,56,28,14,4381
Bridgeport,402,81,33,16,6156
New Haven,405,91,36,20,4519
