"","EPA.Region.x","Submission.Year","Submission.Quarter","PWS.ID","PWS.Name.x","Primacy.Agency.Code","Contaminant.Name","Sample.Measure..mg.L.","Sampling.Start.Date","Sampling.End.Date","PWS.Activity.Code","PWS.Type.Code","Owner.Type.Description","Primacy.Type.Description","Population.Served.Count.x","Primary.Source.Code","PWS.Deactivation.Date","Season.Begin.Date","Season.End.Date","Is.Wholesaler.Ind","Is.School.Or.Daycare.Ind","Service.Connections.Count","PWS.Name.y","EPA.Region.y","Primacy.Agency","PWS.Type","Population.Served.Count.y","Cities.Served","Counties.Served","X..of.Facilities","X..of.Violations","X..of.Site.Visits","link","address.city","town.city","state"
"1",1,2015,4,"CT0012011","HOP RIVER HOMES","CT","LEAD SUMMARY",0.02,"01/01/2001","12/31/2003","A","CWS","Private","State",26,"GW","-","-","-","N","N",25,"HOP RIVER HOMES","Region 1","Connecticut","Community water system","26","ANDOVER","Tolland",4,8,4,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0012011&state=CT&source=GW&population=","DANIELSON, CT  06239","DANIELSON"," CT"
"2",1,2015,4,"CT0012011","HOP RIVER HOMES","CT","LEAD SUMMARY",0.0195,"01/01/2001","12/31/2003","A","CWS","Private","State",26,"GW","-","-","-","N","N",25,"HOP RIVER HOMES","Region 1","Connecticut","Community water system","26","ANDOVER","Tolland",4,8,4,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0012011&state=CT&source=GW&population=","DANIELSON, CT  06239","DANIELSON"," CT"
"3",1,2015,4,"CT0030011","ASHFORD HILLS APARTMENTS","CT","LEAD SUMMARY",0.044,"01/01/2001","12/31/2003","A","CWS","Private","State",136,"GW","-","-","-","N","N",52,"ASHFORD HILLS APARTMENTS","Region 1","Connecticut","Community water system","136","ASHFORD","Windham",9,114,4,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0030011&state=CT&source=GW&population=","SOUTH WINDSOR, CT  06074","SOUTH WINDSOR"," CT"
"4",1,2015,4,"CT0030011","ASHFORD HILLS APARTMENTS","CT","LEAD SUMMARY",0.023,"01/01/2006","06/30/2006","A","CWS","Private","State",136,"GW","-","-","-","N","N",52,"ASHFORD HILLS APARTMENTS","Region 1","Connecticut","Community water system","136","ASHFORD","Windham",9,114,4,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0030011&state=CT&source=GW&population=","SOUTH WINDSOR, CT  06074","SOUTH WINDSOR"," CT"
"5",1,2015,4,"CT0030011","ASHFORD HILLS APARTMENTS","CT","LEAD SUMMARY",0.0439,"01/01/2001","12/31/2003","A","CWS","Private","State",136,"GW","-","-","-","N","N",52,"ASHFORD HILLS APARTMENTS","Region 1","Connecticut","Community water system","136","ASHFORD","Windham",9,114,4,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0030011&state=CT&source=GW&population=","SOUTH WINDSOR, CT  06074","SOUTH WINDSOR"," CT"
"6",1,2015,4,"CT0030061","MAR-LEA PARK APTS","CT","LEAD SUMMARY",0.02,"01/01/2007","12/31/2009","A","CWS","Private","State",50,"GW","-","-","-","N","N",25,"MAR-LEA PARK APTS","Region 1","Connecticut","Community water system","50","ASHFORD","Windham",5,35,4,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0030061&state=CT&source=GW&population=","WETHERSFIELD, CT  06109","WETHERSFIELD"," CT"
"7",1,2015,4,"CT0040242","POOHS CORNER","CT","LEAD SUMMARY",0.0291,"01/01/2001","12/31/2003","I","NTNCWS","Private","State",40,"GW","31-AUG-06","01-01","12-31","N","Y",1,"POOHS CORNER","Region 1","Connecticut","Non-Transient non-community system","40","AVON","Hartford",3,120,1,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0040242&state=CT&source=GW&population=",",   ","",""
"8",1,2015,4,"CT0050022","HITCHCOCK CHAIR CO. LTD, PLANT #2","CT","LEAD SUMMARY",0.052,"01/01/2000","12/31/2000","N","NTNCWS","Private","State",1,"GW","23-JAN-04","01-01","12-31","N","N",1,"HITCHCOCK CHAIR CO. LTD, PLANT #2","Region 1","Connecticut","Non-Transient non-community system","1","BARKHAMSTED","Litchfield",3,6,0,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0050022&state=CT&source=GW&population=",",   ","",""
"9",1,2015,4,"CT0050062","STERLING ENGINEERING CORP.","CT","LEAD SUMMARY",0.025,"01/01/2004","06/30/2004","A","NTNCWS","Private","State",110,"GW","-","01-01","12-31","N","N",2,"STERLING ENGINEERING CORP.","Region 1","Connecticut","Non-Transient non-community system","110","BARKHAMSTED","Litchfield",4,8,2,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0050062&state=CT&source=GW&population=","BARKHAMSTED, CT  06063","BARKHAMSTED"," CT"
"10",1,2015,4,"CT0050062","STERLING ENGINEERING CORP.","CT","LEAD SUMMARY",0.025,"01/01/2004","06/30/2004","A","NTNCWS","Private","State",110,"GW","-","01-01","12-31","N","N",2,"STERLING ENGINEERING CORP.","Region 1","Connecticut","Non-Transient non-community system","110","BARKHAMSTED","Litchfield",4,8,2,"https://oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=CT0050062&state=CT&source=GW&population=","BARKHAMSTED, CT  06063","BARKHAMSTED"," CT"
