Name,Town,Sample (ppb),Sampling start,Sampling end,Owner,Population served,Address
Whitby School,Greenwich,21,1/1/00,12/31/00,Private,350,"969 Lake Ave, Greenwich, CT 06831"
Whitby School,Greenwich,38,1/1/01,6/30/01,Private,350,"969 Lake Ave, Greenwich, CT 06831"
West Stafford School,Stafford Springs,34,1/1/00,6/30/00,Local government,240,"W Stafford Rd, Stafford Springs, CT 06076"
Warren Elementary School,Cornwall Bridge,30,1/1/00,12/31/00,Local government,140,"21 Sackett Hill Rd, Cornwall Bridge, CT 06754"
Voluntown Elementary School,Voluntown,32,1/1/01,12/31/01,Local government,365,"Main St, Voluntown, CT 06384"
The Rectory School,Pomfret,37,7/1/12,12/31/12,Private,300,"528 Pomfret St, Pomfret, CT 06258"
The Grumman Hill Montessori Association,Wilton,16,1/1/08,12/31/08,Private,259,"34 Whipple Rd, Wilton, CT"
The Grumman Hill Montessori Association,Wilton,18,7/1/12,12/31/12,Private,259,"34 Whipple Rd, Wilton, CT"
The Carrot Patch,Hamden,130,1/1/12,12/31/12,Private,52,"235 Johnson Rd, Hamden, CT 06518"
Stonegate Springs,Durham,100,1/1/13,6/30/13,Private,95,"459 Wallingford Rd, Durham, CT 06422"
Stepping Stones Educational Center,Collinsville,21,1/1/07,12/31/07,Private,185,"370 Albany Turnpike, Collinsville, CT 06019"
St. Thomas More School-The Cove,Oakdale,17.5,7/1/00,12/31/00,Private,25,"45 Cottage Rd, Oakdale, CT 06370"
St. Thomas More School-The Cove,Oakdale,17.5,7/1/00,12/31/00,Private,25,"45 Cottage Rd, Oakdale, CT 06370"
St. Thomas More School-Main System,New Haven,38,1/1/02,6/30/02,Private,270,"830 Whitney Ave, New Haven, CT 06511"
St. Thomas More School-Main System,New Haven,38,1/1/02,6/30/02,Private,270,"830 Whitney Ave, New Haven, CT 06511"
St. Thomas More School-Main System,New Haven,20,7/1/08,12/31/08,Private,270,"830 Whitney Ave, New Haven, CT 06511"
St. Thomas More School-Main System,New Haven,31,1/1/13,6/30/13,Private,270,"830 Whitney Ave, New Haven, CT 06511"
St. Thomas More School-Main System,New Haven,17,7/1/13,12/31/13,Private,270,"830 Whitney Ave, New Haven, CT 06511"
St. Francis Of Assisi R.C. Church,Naugutuck,20,1/1/02,6/30/02,Private,80,"294 Church St, Naugatuck, CT 06770"
St. Francis Of Assisi R.C. Church,Naugutuck,20,1/1/02,6/30/02,Private,80,"294 Church St, Naugatuck, CT 06770"
St. Andrews Episcopal Church,Madison,18,7/1/01,12/31/01,Private,40,"232 Durham Road, Madison, CT 06443"
St. Andrews Episcopal Church,Madison,28.5,1/1/02,6/30/02,Private,40,"232 Durham Road, Madison, CT 06443"
St. Andrews Episcopal Church,Madison,28.5,1/1/02,6/30/02,Private,40,"232 Durham Road, Madison, CT 06443"
St. Andrews Episcopal Church,Madison,16,1/1/05,12/31/05,Private,40,"232 Durham Road, Madison, CT 06443"
St. Andrews Episcopal Church,Madison,31,1/1/06,6/30/06,Private,40,"232 Durham Road, Madison, CT 06443"
St Francis Church - Canaan Ridge School,Stamford,28,1/1/02,6/30/02,Private,70,"2810 Long Ridge Rd, Stamford, CT 06903"
St Francis Church - Canaan Ridge School,Stamford,28,1/1/02,6/30/02,Private,70,"2810 Long Ridge Rd, Stamford, CT 06903"
Salem Elementary School,Naugatuck,20,1/1/04,12/31/04,Local government,675,"124 Meadow St, Naugatuck, CT 06770"
Salem Elementary School,Naugatuck,20,1/1/04,12/31/04,Local government,675,"124 Meadow St, Naugatuck, CT 06770"
Salem Elementary School,Naugatuck,21,1/1/06,6/30/06,Local government,675,"124 Meadow St, Naugatuck, CT 06770"
Saint Joseph School,Trumbull,19,1/1/08,12/31/08,Private,200,"2320 Huntington Turnpike, Trumbull, CT 06611"
Saint Joseph School,Trumbull,19,1/1/13,12/31/13,Private,200,"2320 Huntington Turnpike, Trumbull, CT 06611"
Ridgefield High And Middle School,Ridgefield,19,1/1/03,6/30/03,Local government,2131,"700 N Salem Rd, Ridgefield, CT 06877"
Ridgefield High And Middle School,Ridgefield,19,1/1/03,6/30/03,Local government,2131,"700 N Salem Rd, Ridgefield, CT 06877"
Rham Regional Jr. & Sr. High School,Hebron,17,7/1/00,12/31/00,Local government,1516,"85 Wall St, Hebron, CT 06248"
Poohs Corner,Avon,29.1,1/1/01,12/31/03,Private,40,"40 W Avon Rd, Avon, CT 06001"
Parkway School,Greenwich,32,1/1/15,12/31/15,Local government,514,"141 Lower Cross Rd, Greenwich, CT 06831"
