"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits"
"CT0000251","MANSFIELD","Region 1","Connecticut","Community water system","60,000","-","Tolland","1","0","0"
"CT0010011","WHISPERING HILLS, LLC - WELL A SYSTEM","Region 1","Connecticut","Community water system","16","ANDOVER","Tolland","9","10","6"
"CT0010012","ERICH SIISMETS","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010021","LONG HILL RD APTS","Region 1","Connecticut","Transient non-community system","30","-","Tolland","1","0","0"
"CT0010022","ANDOVER AUTO PARTS","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010024","ANDOVER TOWN HALL & FIRE DEPARTMENT","Region 1","Connecticut","Transient non-community system","25","ANDOVER","Tolland","3","9","2"
"CT0010032","REPUBLIC OIL","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010042","BRITISH PETROLEUM GAS STATION","Region 1","Connecticut","Transient non-community system","30","-","Tolland","1","0","0"
"CT0010044","ANDOVER PLAZA","Region 1","Connecticut","Transient non-community system","25","ANDOVER","Tolland","4","3","2"
"CT0010052","PETER FALKOWURS","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010054","FIRST CONGREGATIONAL CHURCH","Region 1","Connecticut","Transient non-community system","25","ANDOVER","Tolland","3","3","2"
"CT0010062","1ST SELECTMANS OFFICE","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010064","NUTMEG VINEYARD","Region 1","Connecticut","Transient non-community system","25","ANDOVER","Tolland","3","0","0"
"CT0010072","ANDOVER TOWN GARAGE","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010074","ANDOVER TOWN GARAGE","Region 1","Connecticut","Non-Transient non-community system","25","ANDOVER","Tolland","3","0","0"
"CT0010082","ANDOVER FIRE DEPARTMENT","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010084","7-ELEVEN #32523","Region 1","Connecticut","Transient non-community system","25","ANDOVER","Tolland","5","11","2"
"CT0010092","TOWN HALL","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010094","SCOTT ELECTROKRAFTS","Region 1","Connecticut","Non-Transient non-community system","45","ANDOVER","Tolland","5","16","2"
"CT0010102","ANDOVER ELEMENTARY SCHOOL","Region 1","Connecticut","Non-Transient non-community system","381","ANDOVER","Tolland","8","46","3"
"CT0010104","NEIGHBORHOOD PLAYGROUP","Region 1","Connecticut","Transient non-community system","25","ANDOVER","Tolland","1","0","0"
"CT0010111","WHISPERING HILLS, LLC - WELL D SYSTEM","Region 1","Connecticut","Community water system","48","ANDOVER","Tolland","4","48","3"
"CT0010112","NUTMEG VINEYARD","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010114","ANDOVER SPORTSMAN CLUB","Region 1","Connecticut","Transient non-community system","25","ANDOVER","Tolland","3","7","2"
"CT0010123","ANDOVER SHOPPING CENTER","Region 1","Connecticut","Non-Transient non-community system","25","-","Tolland","1","0","0"
"CT0010124","XTRA MART WATER SUPPLY","Region 1","Connecticut","Transient non-community system","25","ANDOVER","Tolland","4","0","2"
"CT0010132","ERICH SIISMETS","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0010153","NEIGHBORHOOD PLAY GROUP","Region 1","Connecticut","Non-Transient non-community system","0","ANDOVER","Tolland","1","2","0"
"CT0011102","SCOTT ELECTRO-KRAFTS INC","Region 1","Connecticut","Transient non-community system","25","-","Tolland","1","0","0"
"CT0011103","NETWORK, INC.","Region 1","Connecticut","Non-Transient non-community system","77","ANDOVER","Tolland","3","0","1"
"CT0012011","HOP RIVER HOMES","Region 1","Connecticut","Community water system","26","ANDOVER","Tolland","4","8","4"
"CT0020012","ANSONIA ROD AND GUN CLUB","Region 1","Connecticut","Transient non-community system","25","-","New Haven","1","0","0"
"CT0020014","ANSONIA NATURE AND RECREATION CENTER","Region 1","Connecticut","Transient non-community system","25","ANSONIA","New Haven","1","0","0"
