"","Var1","Freq"
"1","283 LITCHFIELD RD, LLC",10
"2","ANNIE E. VINTON SCHOOL CO-OWNER",4
"3","BETHANY TOWN CENTER",2
"4","BURR DISTRICT ELEMENTARY SCHOOL",6
"5","COLEBROOK CONSOLIDATED SCHOOL",1
"6","DR. HELEN BALDWIN SCHOOL",1
"7","EAST HAMPTON MIDDLE SCHOOL",2
"8","FIRST BAPTIST CHURCH OF TOLLAND",1
"9","FIRST CHURCH OF CHRISTIAN SCIENCE",2
"10","FIRST CONGREGATIONAL CHURCH OF GRANBY",2
"11","FIRST STEPS DAY CARE & LEARNING CENTER",3
"12","GREENWICH REFORM SYNAGOGUE",4
"13","IVY COTTAGE CHILDREN'S CENTER",3
"14","KIDS CLUB CHILD CARE&NURSERY SCH CTR LLC",4
"15","LITTLE RASCALS NURSERY SCHOOL",4
"16","MARLBOROUGH CONGREGATIONAL CHURCH",2
"17","MIDDLEFIELD FEDERATED CHURCH",1
"18","MONTVILLE HIGH SCHOOL",1
"19","OAKDALE SCHOOL",2
"20","PARKWAY SCHOOL",3
"21","RIDGEFIELD HIGH AND MIDDLE SCHOOL",4
"22","SAINT JOSEPH SCHOOL",8
"23","ST. ANDREWS EPISCOPAL CHURCH",1
"24","ST. THOMAS MORE SCHOOL-THE COVE",6
"25","STEPPING STONES EDUCATIONAL CENTER",2
"26","STONEGATE SPRINGS",8
"27","THE CARROT PATCH",1
"28","THE GRUMMAN HILL MONTESSORI ASSOCIATION",12
"29","THE RECTORY SCHOOL",1
"30","WARREN ELEMENTARY SCHOOL",2
