Date,7am,730am,8am,830am,9am,930am,10am,1030am,11am,1130am,12pm,1230pm,1pm,130pm,2pm,230pm,3pm,330pm,4pm,430pm,5pm,530pm,6pm,630pm,7pm,730pm,8pm,830pm,,
10/7/14,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,,
10/8/14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
10/9/14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
10/10/14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
10/11/14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,
10/12/14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,
10/13/14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
10/14/14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room confinement,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seclusion,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padded room,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
