Location	Town	Population	Educational_Neglect_Total	Educational_Neglect_Substantiated	Emotional_Neglect_Total	Emotional_Neglect_Substantiated	Medical_Neglect_Total	Medical_Neglect_Substantiated	Physical_Abuse_Total	Physical_Abuse_Substantiated	Physical_Neglect_Total	Physical_Neglect_Substantiated	Sexual_Abuse_Total	Sexual_Abuse_Substantiated
Ansonia	Ansonia	19128	33	10	116	26	10	10	52	10	368	99	16	10
Ashford	Ashford	4297	0	0	26	17	10	0	10	0	57	18	0	0
Berlin	Berlin	20352	10	0	41	10	10	0	22	10	76	12	10	0
Bethel	Bethel	19078	10	10	28	10	10	10	17	10	118	23	10	0
Bloomfield	Bloomfield	20626	10	10	47	10	10	0	43	10	188	10	10	0
Branford	Branford	28066	12	10	57	13	10	10	28	10	220	32	11	10
Bridgeport	Bridgeport	146680	295	41	636	112	153	36	594	47	2606	543	134	41
Bristol	Bristol	60556	66	10	336	61	18	0	159	17	1002	156	26	10
Brookfield	Brookfield	16774	16	10	31	10	0	0	16	0	70	10	10	0
Brooklyn	Brooklyn	8240	10	0	25	14	10	10	16	10	128	24	10	10
Canterbury	Canterbury	5110	10	10	13	10	0	0	10	0	37	10	10	0
Cheshire	Cheshire	29272	0	0	60	20	0	0	29	10	147	40	10	0
Clinton	Clinton	13188	10	0	52	22	10	0	18	10	136	22	10	10
Colchester	Colchester	16143	10	10	54	15	10	10	18	0	190	86	10	0
Coventry	Coventry	12434	10	10	33	14	10	0	10	0	95	18	10	0
Danbury	Danbury	82781	38	10	220	40	56	23	188	19	852	207	44	13
Derby	Derby	12837	29	15	54	10	12	10	37	10	227	43	10	0
East Hampton	East Hampton	12936	10	0	26	10	10	0	18	0	101	19	10	10
East Hartford	East Hartford	51211	48	10	197	27	22	10	183	13	1021	219	41	10
East Haven	East Haven	29139	33	10	148	16	10	10	83	10	503	71	14	10
Niantic	East Lyme	19118	10	0	24	10	0	0	12	10	116	19	10	0
East Windsor	East Windsor	11353	0	0	24	10	0	0	24	0	102	41	10	0
Enfield	Enfield	44713	26	10	149	13	17	10	83	10	633	117	28	10
Fairfield	Fairfield	60678	19	10	87	15	10	0	44	10	212	35	14	10
Unionville	Farmington	25515	10	0	10	10	10	0	10	10	54	23	10	10
Glastonbury	Glastonbury	34661	10	0	28	10	10	0	22	10	128	35	10	10
Greenwich	Greenwich	62141	11	10	76	10	10	0	52	0	169	15	10	0
Griswold	Griswold	11952	21	15	36	14	10	10	13	0	91	24	10	0
Jewett City	Griswold	11952	10	10	21	10	10	0	16	0	158	44	14	10
Groton	Groton	40136	16	10	164	62	23	10	99	13	521	131	19	10
Hamden	Hamden	61605	16	10	97	16	13	10	92	10	406	55	29	10
Hartford	Hartford	125211	332	23	841	83	162	25	745	34	3664	529	153	48
Danielson	Killingly	17281	10	0	60	25	11	0	30	10	237	54	10	0
Dayville	Killingly	17281	10	0	51	20	10	0	11	0	116	18	10	0
Killingly	Killingly	17281	0	0	24	19	10	10	10	0	23	19	0	0
Lisbon	Lisbon	4340	10	0	31	17	0	0	10	10	80	40	10	10
Madison	Madison	18284	10	0	28	10	0	0	19	10	74	12	10	10
Manchester	Manchester	58270	68	11	282	56	18	10	182	25	1085	214	32	10
Meriden	Meriden	60616	94	54	439	97	61	24	248	19	1375	265	66	17
Middletown	Middletown	47424	16	10	211	37	18	10	137	10	737	105	31	10
Milford	Milford	53039	25	10	97	14	15	10	63	10	388	49	18	0
Monroe	Monroe	19744	10	10	18	0	0	0	11	10	81	18	10	0
Uncasville	Montville	19649	10	0	53	19	10	10	19	10	134	58	10	0
Naugatuck	Naugatuck	31790	32	10	136	39	10	10	63	10	541	127	12	10
New Britain	New Britain	73095	125	20	413	64	60	10	308	21	1694	211	65	10
New Fairfield	New Fairfield	14079	0	0	14	10	10	0	10	10	56	18	10	10
New Haven	New Haven	130553	141	33	794	124	73	11	496	35	3304	600	110	25
New London	New London	27536	26	10	157	52	14	10	123	10	740	195	47	16
Quaker Hill	New London	27536	10	0	15	10	0	0	16	10	44	13	10	0
New Milford	New Milford	27821	10	10	91	10	10	10	24	0	251	51	10	10
