"","time.period.start","time.period.end","spots","gross.amount","agency.commission","net.amount","sheet"
"210","03/28/16","-04/24/16","115","$7,780.00","-$1,167.00","$6,613.00","spreadsheets/04_15_16WCTX14607431920288_2.xlsx"
"211","04/25/16","-04/30/16","28","$1,795.00","-$269.25","$1,525.75","spreadsheets/04_15_16WCTX14607431920288_2.xlsx"
"787","03/28/16","-04/24/16","176","$135,565.00","-$20,334.75","$115,230.25","spreadsheets/04_15_16WFSB14607416910582_4.xlsx"
"788","04/25/16","-04/26/16","48","$28,930.00","-$4,339.50","$24,590.50","spreadsheets/04_15_16WFSB14607416910582_4.xlsx"
"71","03/28/16","-04/11/16","11","$670.00","","$569.50","spreadsheets/04_08_16WCCT-TV14601462128535_52.xlsx"
"515","03/28/16","-04/16/16","202","$17,375.00","","$14,768.75","spreadsheets/04_08_16WCCT-TV14601570687585_51.xlsx"
"119","03/28/16","-04/11/16","25","$5,360.00","","$4,556.00","spreadsheets/04_08_16WTIC-TV14601459672963_58.xlsx"
"446","03/28/16","-04/16/16","140","$39,565.00","","$33,630.25","spreadsheets/04_08_16WTIC-TV14601460267400_55.xlsx"
"79","03/28/16","-04/18/16","26","$2,680.00","","$2,278.00","spreadsheets/04_11_16WCCT-TV14603916604759_43.xlsx"
"158","03/28/16","-04/16/16","129","$7,005.00","-$1,050.75","$5,954.25","spreadsheets/04_11_16WCTX14603918478065_41.xlsx"
"88","03/28/16","-04/11/16","22","$1,260.00","-$189.00","$1,071.00","spreadsheets/04_11_16WCTX14603918968605_40.xlsx"
"458","03/28/16","-04/16/16","152","$41,660.00","","$35,411.00","spreadsheets/04_11_16WTIC-TV14603828970777_46.xlsx"
"142","03/28/16","-04/18/16","123","$16,395.00","","$13,935.75","spreadsheets/04_11_16WTIC-TV14603915948623_45.xlsx"
"224","03/28/16","-04/16/16","164","$57,000.00","-$8,550.00","$48,450.00","spreadsheets/04_11_16WTNH14603916561116_44.xlsx"
"159","03/28/16","-04/11/16","38","7,800.00","1170.00","$6,630.00","spreadsheets/04_11_16WTNH14603916658503_42.xlsx"
"110","03/28/16","-04/11/16","14","$6,975.00","-$1,046.25","$5,928.75","spreadsheets/04_11_16WVIT14603790051428_48.xlsx"
"396","03/28/16","-04/16/16","168","$87,375.00","-$13,106.25","$74,268.75","spreadsheets/04_11_16WVIT14603793281499_47.xlsx"
"108","03/28/16","-04/18/16","49","$4,405.00","","$3,744.25","spreadsheets/04_12_16WCCT-TV14604867125348_32.xlsx"
"1191","03/28/16","-04/24/16","23","$3,340.00","","$2,839.00","spreadsheets/04_12_16WCCT-TV14604927055911_26.xlsx"
"120","04/25/16","-04/26/16","5","$900.00","","$765.00","spreadsheets/04_12_16WCCT-TV14604927055911_26.xlsx"
"99","03/28/16","-04/16/16","53","$2,135.00","-$320.25","$1,814.75","spreadsheets/04_12_16WCTX14604657055220_36.xlsx"
"479","03/28/16","-04/16/16","153","$41,660.00","","$35,411.00","spreadsheets/04_12_16WTIC-TV14604704476402_35.xlsx"
"112","03/28/16","-04/18/16","37","$8,190.00","","$6,961.50","spreadsheets/04_12_16WTIC-TV14604864058764_33.xlsx"
"116","03/28/16","-04/18/16","38","$8,190.00","","$6,961.50","spreadsheets/04_12_16WTIC-TV14604899462342_30.xlsx"
"150","03/28/16","-04/24/16","27","$7,260.00","","$6,171.00","spreadsheets/04_12_16WTIC-TV14604900087240_28.xlsx"
"151","04/25/16","-04/26/16","7","$1,510.00","","$1,283.50","spreadsheets/04_12_16WTIC-TV14604900087240_28.xlsx"
"253","03/28/16","-04/18/16","86","$37,225.00","-$5,583.75","$31,641.25","spreadsheets/04_12_16WVIT14604774086234_34.xlsx"
"81","03/28/16","-04/16/16","24","$835.00","-$125.25","$709.75,","spreadsheets/04_13_16WCTX14605583910770_20.xlsx"
"587","03/28/16","-04/16/16","171","$133,990.00","-$20,098.50","$113,891.50","spreadsheets/04_13_16WFSB14605556278983_24.xlsx"
"103","03/28/16","-04/16/16","35","$20,515.00","-$3,077.25","$17,437.75","spreadsheets/04_13_16WFSB14605724888256_16.xlsx"
"583","03/28/16","-04/16/16","172","$133,990.00","-$20,098.50","$113,891.50","spreadsheets/04_13_16WFSB14605727920004_15.xlsx"
"336","03/28/16","-04/18/16","79","$24,880.00","-$3,732.00","$21,148.00","spreadsheets/04_13_16WTNH14605580892118_22.xlsx"
"234","03/28/16","-04/16/16","163","$57,000.00","-$8,550.00","$48,450.00","spreadsheets/04_13_16WTNH14605580908339_23.xlsx"
"452","03/28/16","-04/24/16","155","$81,125.00","-$12,168.75","$68,956.25","spreadsheets/04_13_16WVIT14605697895623_18.xlsx"
"453","04/25/16","-04/26/16","36","$16,650.00","-$2,497.50","$14,152.50","spreadsheets/04_13_16WVIT14605697895623_18.xlsx"
"168","03/28/16","-04/24/16","27","$19,900.00","-$2,985.00","$16,915.00","spreadsheets/04_13_16WVIT14605697907398_17.xlsx"
"169","04/25/16","-04/26/16","8","$5,650.00","-$847.50","$4,802.50","spreadsheets/04_13_16WVIT14605697907398_17.xlsx"
"190","03/28/16","-04/16/16","52","$19,625.00","-$2,943.75","$16,681.25","spreadsheets/04_13_16WVIT14605697920043_19.xlsx"
"136","03/28/16","- 04/24/16","57","$4,840.00","-$726.00","$4,114.00","spreadsheets/04_14_16WCTX14606392271949_10.xlsx"
"137","04/25/16","- 04/26/16","9","$910.00","-$136.50","$773.50","spreadsheets/04_14_16WCTX14606392271949_10.xlsx"
"41","03/28/16","-04/24/16","15","$1,770.00","-$265.50","$1,504.50","spreadsheets/04_14_16WCTX14606392293924_11.xlsx"
"42","04/25/16","-04/25/16","2","$330.00","-$49.50","$280.50","spreadsheets/04_14_16WCTX14606392293924_11.xlsx"
"104","03/28/16","-04/24/16","35","$23,650.00","-$3,547.50","$20,102.50","spreadsheets/04_14_16WTNH14606387889412_12.xlsx"
"105","04/25/16","-04/26/16","9","$4,750.00","-$712.50","$4,037.50","spreadsheets/04_14_16WTNH14606387889412_12.xlsx"
"1041","03/28/16","-04/24/16","35","$23,650.00","-$3,547.50","$20,102.50","spreadsheets/04_14_16WTNH14606387889412_12.xlsx"
"1051","04/25/16","-04/26/16","9","$4,750.00","-$712.50","$4,037.50","spreadsheets/04_14_16WTNH14606387889412_12.xlsx"
"246","03/28/16","-04/24/16","171","$74,725.00","-$11,208.75","$63,516.25","spreadsheets/04_14_16WTNH14606388048951_14.xlsx"
"247","04/25/16","-04/26/16","45","$14,100.00","-$2,115.00","$11,985.00","spreadsheets/04_14_16WTNH14606388048951_14.xlsx"
"702","03/28/16","-04/16/16","51","$14,900.00","-$2,235.00","$12,665,00","spreadsheets/04_14_16WTNH14606450895298_9.xlsx"
"1691","03/28/16","-04/16/16","54","$14,900.00","-$2,235.00","$12,665.00","spreadsheets/04_14_16WTNH14606600954021_8.xlsx"
"462","03/28/16","-04/24/16","116","$9,720.00","","$8,262.00","spreadsheets/04_15_16WCCT-TV14607299888607_7.xlsx"
"463","04/25/16","-04/26/16","27","$2,120.00","","$1,802.00","spreadsheets/04_15_16WCCT-TV14607299888607_7.xlsx"
"2101","03/28/16","-04/24/16","115","$7,780.00","-$1,167.00","$6,613.00","spreadsheets/04_15_16WCTX14607431920288_2.xlsx"
"2111","04/25/16","-04/30/16","28","$1,795.00","-$269.25","$1,525.75","spreadsheets/04_15_16WCTX14607431920288_2.xlsx"
"309","03/28/16","-04/24/16","34","$45,150.00","-$6,772.50","$38,377.50","spreadsheets/04_15_16WFSB14607416897493_3.xlsx"
"310","04/25/16","-04/26/16","8","$9,050.00","-$1,357.50","$7,692.50","spreadsheets/04_15_16WFSB14607416897493_3.xlsx"
"7871","03/28/16","-04/24/16","176","$135,565.00","-$20,334.75","$115,230.25","spreadsheets/04_15_16WFSB14607416910582_4.xlsx"
"7881","04/25/16","-04/26/16","48","$28,930.00","-$4,339.50","$24,590.50","spreadsheets/04_15_16WFSB14607416910582_4.xlsx"
