"","TV Station","Market","Date","Type","Status","Spots","Cost","Advertiser/File Info","link","doc","sheet"
"1","WTNH","Hartford &amp; New Haven, CT","04/15/16","President","Not loaded",NA,NA,"President - WTNH Hillary 2016 - 850009 (14607447541404)_.pdf","http://politicaladsleuth.com/political-files/596644fc-a282-47dc-bd23-6fad562e2899/","https://stations.fcc.gov/collect/files/74109/Political File/2016/Federal/President/WTNH Hillary 2016 - 850009 (14607447541404)_.pdf","04_15_16WTNH14607447541404_1"
"2","WCTX","Hartford &amp; New Haven, CT","04/15/16","President","Not loaded",NA,NA,"President - WCTX Hillary 2016 - 849974 (14607431920288)_.pdf","http://politicaladsleuth.com/political-files/ff635266-17ee-4efc-b93c-b1df8d5199e2/","https://stations.fcc.gov/collect/files/33081/Political File/2016/Federal/President/WCTX Hillary 2016 - 849974 (14607431920288)_.pdf","04_15_16WCTX14607431920288_2"
"3","WFSB","Hartford &amp; New Haven, CT","04/15/16","President","Not loaded",NA,NA,"Bernie Sanders for President - WFSB Bernie Sanders for President Apr 17-Apr 26 2016 60 (14607416897493)_.pdf","http://politicaladsleuth.com/political-files/6c9b717b-7fd2-4400-ab20-ea393f11d942/","https://stations.fcc.gov/collect/files/53115/Political File/2016/Federal/President/Bernie Sanders for President/WFSB Bernie Sanders for President Apr 17-Apr 26 2016 60 (14607416897493)_.pdf","04_15_16WFSB14607416897493_3"
"4","WFSB","Hartford &amp; New Haven, CT","04/15/16","President","Not loaded",NA,NA,"Bernie Sanders for President - WFSB Bernie Sanders for President Apr 17-Apr 26 2016 30 (14607416910582)_.pdf","http://politicaladsleuth.com/political-files/eed202df-1b05-4479-9aba-8943944d674e/","https://stations.fcc.gov/collect/files/53115/Political File/2016/Federal/President/Bernie Sanders for President/WFSB Bernie Sanders for President Apr 17-Apr 26 2016 30 (14607416910582)_.pdf","04_15_16WFSB14607416910582_4"
"5","WTIC-TV","Hartford &amp; New Haven, CT","04/15/16","President","Not loaded",NA,NA,"HILLARY CLINTON - Clinton-316206--1 (14607401915877)_.pdf","http://politicaladsleuth.com/political-files/8a3c3d8a-48d1-4bd5-bb5c-053829f24a46/","https://stations.fcc.gov/collect/files/147/Political File/2016/Federal/President/HILLARY CLINTON/Clinton-316206--1 (14607401915877)_.pdf","04_15_16WTIC-TV14607401915877_5"
"6","WCCT-TV","Hartford &amp; New Haven, CT","04/15/16","President","Not loaded",NA,NA,"HILLARY CLINTON - Clinton-316101--1 (14607356886267)_.pdf","http://politicaladsleuth.com/political-files/414d744f-fe4c-429b-aab5-bb8513acbe30/","https://stations.fcc.gov/collect/files/14050/Political File/2016/Federal/President/HILLARY CLINTON/Clinton-316101--1 (14607356886267)_.pdf","04_15_16WCCT-TV14607356886267_6"
"7","WCCT-TV","Hartford &amp; New Haven, CT","04/15/16","President","Not loaded",NA,NA,"BERNIE SANDERS - Sanders Rev1-315010-2 (14607299888607)_.pdf","http://politicaladsleuth.com/political-files/21df34bb-03bf-48dc-89c9-e05b1e75e190/","https://stations.fcc.gov/collect/files/14050/Political File/2016/Federal/President/BERNIE SANDERS/Sanders Rev1-315010-2 (14607299888607)_.pdf","04_15_16WCCT-TV14607299888607_7"
"8","WTNH","Hartford &amp; New Haven, CT","04/14/16","President","Not loaded",NA,NA,"President - WTNH Hillary 2016 - 847825 Rev1 (14606600954021)_.pdf","http://politicaladsleuth.com/political-files/de634459-0fb3-4d24-a6c8-74a330f2936e/","https://stations.fcc.gov/collect/files/74109/Political File/2016/Federal/President/WTNH Hillary 2016 - 847825 Rev1 (14606600954021)_.pdf","04_14_16WTNH14606600954021_8"
"9","WTNH","Hartford &amp; New Haven, CT","04/14/16","President","Not loaded",NA,NA,"President - WTNH Hillary 2016 - 847825 (14606450895298)_.pdf","http://politicaladsleuth.com/political-files/31c9f286-98da-4ec5-bc52-24e02af7db3c/","https://stations.fcc.gov/collect/files/74109/Political File/2016/Federal/President/WTNH Hillary 2016 - 847825 (14606450895298)_.pdf","04_14_16WTNH14606450895298_9"
"10","WCTX","Hartford &amp; New Haven, CT","04/14/16","President","Not loaded",NA,NA,"President - WCTX Bernie 2016 - 848526 (14606392271949)_.pdf","http://politicaladsleuth.com/political-files/1649f12b-1c94-47ed-8951-8a71f43e45e5/","https://stations.fcc.gov/collect/files/33081/Political File/2016/Federal/President/WCTX Bernie 2016 - 848526 (14606392271949)_.pdf","04_14_16WCTX14606392271949_10"
