"","candidate","tv.station","market","date","time.period.start","time.period.end","spots","gross.amount","agency.commission","net.amount","sheet","advertiser","link","doc","group","mega","interval","overlaps"
"1","Hillary Clinton","WCTX","Hartford &amp; New Haven, CT","04/15/16",2016-03-28,2016-04-24,115,7780,1167,6613,"04_15_16WCTX14607431920288_2","President - WCTX Hillary 2016 - 849974 (14607431920288)_.pdf","http://politicaladsleuth.com/political-files/ff635266-17ee-4efc-b93c-b1df8d5199e2/","https://stations.fcc.gov/collect/files/33081/Political File/2016/Federal/President/WCTX Hillary 2016 - 849974 (14607431920288)_.pdf","Hillary 2016","WCTX 2016-03-28 2016-04-24 Hillary Clinton",2016-03-28 UTC--2016-04-24 UTC,"no"
"2","Hillary Clinton","WCTX","Hartford &amp; New Haven, CT","04/15/16",2016-04-25,2016-04-30,28,1795,269.25,1525.75,"04_15_16WCTX14607431920288_2","President - WCTX Hillary 2016 - 849974 (14607431920288)_.pdf","http://politicaladsleuth.com/political-files/ff635266-17ee-4efc-b93c-b1df8d5199e2/","https://stations.fcc.gov/collect/files/33081/Political File/2016/Federal/President/WCTX Hillary 2016 - 849974 (14607431920288)_.pdf","Hillary 2016","WCTX 2016-04-25 2016-04-30 Hillary Clinton",2016-04-25 UTC--2016-04-30 UTC,"no"
"3","Bernie Sanders","WFSB","Hartford &amp; New Haven, CT","04/15/16",2016-03-28,2016-04-24,176,135565,20334.75,115230.25,"04_15_16WFSB14607416910582_4","Bernie Sanders for President - WFSB Bernie Sanders for President Apr 17-Apr 26 2016 30 (14607416910582)_.pdf","http://politicaladsleuth.com/political-files/eed202df-1b05-4479-9aba-8943944d674e/","https://stations.fcc.gov/collect/files/53115/Political File/2016/Federal/President/Bernie Sanders for President/WFSB Bernie Sanders for President Apr 17-Apr 26 2016 30 (14607416910582)_.pdf","Bernie Sanders for President","WFSB 2016-03-28 2016-04-24 Bernie Sanders",2016-03-28 UTC--2016-04-24 UTC,"no"
"4","Bernie Sanders","WFSB","Hartford &amp; New Haven, CT","04/15/16",2016-04-25,2016-04-26,48,28930,4339.5,24590.5,"04_15_16WFSB14607416910582_4","Bernie Sanders for President - WFSB Bernie Sanders for President Apr 17-Apr 26 2016 30 (14607416910582)_.pdf","http://politicaladsleuth.com/political-files/eed202df-1b05-4479-9aba-8943944d674e/","https://stations.fcc.gov/collect/files/53115/Political File/2016/Federal/President/Bernie Sanders for President/WFSB Bernie Sanders for President Apr 17-Apr 26 2016 30 (14607416910582)_.pdf","Bernie Sanders for President","WFSB 2016-04-25 2016-04-26 Bernie Sanders",2016-04-25 UTC--2016-04-26 UTC,"no"
"5","Hillary Clinton","WCCT-TV","Hartford &amp; New Haven, CT","04/08/16",2016-03-28,2016-04-11,11,670,100.5,569.5,"04_08_16WCCT-TV14601462128535_52","HILLARY CLINTON - Clinton-313788--1 (14601462128535)_.pdf","http://politicaladsleuth.com/political-files/e09837b5-2c1f-495e-8ba7-6cf86406208e/","https://stations.fcc.gov/collect/files/14050/Political File/2016/Federal/President/HILLARY CLINTON/Clinton-313788--1 (14601462128535)_.pdf","Hillary Clinton","WCCT-TV 2016-03-28 2016-04-11 Hillary Clinton",2016-03-28 UTC--2016-04-11 UTC,"no"
"6","Bernie Sanders","WCCT-TV","Hartford &amp; New Haven, CT","04/08/16",2016-03-28,2016-04-16,202,17375,2606.25,14768.75,"04_08_16WCCT-TV14601570687585_51","BERNIE SANDERS - Sanders-314064--1 (14601570687585)_.pdf","http://politicaladsleuth.com/political-files/e2daaaa3-d3fb-45fe-87fd-e909a38fe074/","https://stations.fcc.gov/collect/files/14050/Political File/2016/Federal/President/BERNIE SANDERS/Sanders-314064--1 (14601570687585)_.pdf","Bernie Sanders","WCCT-TV 2016-03-28 2016-04-16 Bernie Sanders",2016-03-28 UTC--2016-04-16 UTC,"no"
"7","Hillary Clinton","WTIC-TV","Hartford &amp; New Haven, CT","04/08/16",2016-03-28,2016-04-11,25,5360,804,4556,"04_08_16WTIC-TV14601459672963_58","HILLARY CLINTON - Clinton-313792--1 (14601459672963)_.pdf","http://politicaladsleuth.com/political-files/e0f8cccb-de70-46cc-9193-ace3d9428298/","https://stations.fcc.gov/collect/files/147/Political File/2016/Federal/President/HILLARY CLINTON/Clinton-313792--1 (14601459672963)_.pdf","Hillary Clinton","WTIC-TV 2016-03-28 2016-04-11 Hillary Clinton",2016-03-28 UTC--2016-04-11 UTC,"no"
"8","Bernie Sanders","WCTX","Hartford &amp; New Haven, CT","04/11/16",2016-03-28,2016-04-16,129,7005,1050.75,5954.25,"04_11_16WCTX14603918478065_41","President - WCTX Bernie 2016 - 846363 (14603918478065)_.pdf","http://politicaladsleuth.com/political-files/994616ce-cd76-4799-852e-7726ee96cd9b/","https://stations.fcc.gov/collect/files/33081/Political File/2016/Federal/President/WCTX Bernie 2016 - 846363 (14603918478065)_.pdf","Bernie 2016","WCTX 2016-03-28 2016-04-16 Bernie Sanders",2016-03-28 UTC--2016-04-16 UTC,"no"
"9","Hillary Clinton","WCTX","Hartford &amp; New Haven, CT","04/11/16",2016-03-28,2016-04-11,22,1260,189,1071,"04_11_16WCTX14603918968605_40","President - WCTX Hillary 2016 - 846376 (14603918968605)_.pdf","http://politicaladsleuth.com/political-files/d3754bad-e23c-471c-960a-a7fd5406129e/","https://stations.fcc.gov/collect/files/33081/Political File/2016/Federal/President/WCTX Hillary 2016 - 846376 (14603918968605)_.pdf","Hillary 2016","WCTX 2016-03-28 2016-04-11 Hillary Clinton",2016-03-28 UTC--2016-04-11 UTC,"no"
"10","Hillary Clinton","WTIC-TV","Hartford &amp; New Haven, CT","04/11/16",2016-03-28,2016-04-18,123,16395,2459.25,13935.75,"04_11_16WTIC-TV14603915948623_45","HILLARY CLINTON - Clinton-314310--1 (14603915948623)_.pdf","http://politicaladsleuth.com/political-files/2ab97f9f-7da8-4e8a-a158-2f87b5807f60/","https://stations.fcc.gov/collect/files/147/Political File/2016/Federal/President/HILLARY CLINTON/Clinton-314310--1 (14603915948623)_.pdf","Hillary Clinton","WTIC-TV 2016-03-28 2016-04-18 Hillary Clinton",2016-03-28 UTC--2016-04-18 UTC,"no"
"11","Bernie Sanders","WTNH","Hartford &amp; New Haven, CT","04/11/16",2016-03-28,2016-04-16,164,57000,8550,48450,"04_11_16WTNH14603916561116_44","President - WTNH Bernie 2016 - 846285 (14603916561116)_.pdf","http://politicaladsleuth.com/political-files/d441493e-e2b1-473d-83ba-731a7fcfbad1/","https://stations.fcc.gov/collect/files/74109/Political File/2016/Federal/President/WTNH Bernie 2016 - 846285 (14603916561116)_.pdf","Bernie 2016","WTNH 2016-03-28 2016-04-16 Bernie Sanders",2016-03-28 UTC--2016-04-16 UTC,"no"
