Town,Affiliation,Registered
Andover,Democratic,690
Andover,Republican,552
Andover,Unaffiliated,812
Ansonia,Democratic,2946
Ansonia,Republican,1330
Ansonia,Unaffiliated,3786
Ashford,Democratic,962
Ashford,Republican,511
Ashford,Unaffiliated,1118
Avon,Democratic,3363
Avon,Republican,3830
Avon,Unaffiliated,4403
Barkhamsted,Democratic,694
Barkhamsted,Republican,768
Barkhamsted,Unaffiliated,1129
Beacon Falls,Democratic,1038
Beacon Falls,Republican,967
Beacon Falls,Unaffiliated,1943
Berlin,Democratic,4774
Berlin,Republican,3137
Berlin,Unaffiliated,4921
Bethany,Democratic,1089
Bethany,Republican,1086
Bethany,Unaffiliated,1827
Bethel,Democratic,3068
Bethel,Republican,3102
Bethel,Unaffiliated,5196
Bethlehem,Democratic,599
Bethlehem,Republican,786
Bethlehem,Unaffiliated,1068
Bloomfield,Democratic,7634
Bloomfield,Republican,1348
Bloomfield,Unaffiliated,3507
Bolton,Democratic,989
Bolton,Republican,906
Bolton,Unaffiliated,1310
Bozrah,Democratic,597
Bozrah,Republican,319
Bozrah,Unaffiliated,731
Branford,Democratic,6210
Branford,Republican,3102
Branford,Unaffiliated,8922
Bridgeport,Democratic                                                4,42697
Bridgeport,Republican,3655
Bridgeport,Unaffiliated                                              1,15580
Bridgewater,Democratic,395
Bridgewater,Republican,404
Bridgewater,Unaffiliated,451
Bristol,Democratic                                                1,12460
Bristol,Republican,6000
Bristol,Unaffiliated                                              1,12900
Brookfield,Democratic,2241
Brookfield,Republican,3500
Brookfield,Unaffiliated,4222
Brooklyn,Democratic,1360
Brooklyn,Republican,1047
Brooklyn,Unaffiliated,2394
Burlington,Democratic,1550
Burlington,Republican,1627
Burlington,Unaffiliated,2384
Canaan,Democratic,279
Canaan,Republican,190
Canaan,Unaffiliated,286
Canterbury,Democratic,765
Canterbury,Republican,994
Canterbury,Unaffiliated,1488
Canton,Democratic,2221
Canton,Republican,2165
Canton,Unaffiliated,2668
Chaplin,Democratic,382
Chaplin,Republican,428
Chaplin,Unaffiliated,496
Cheshire,Democratic,4661
Cheshire,Republican,4322
Cheshire,Unaffiliated,7903
Chester,Democratic,949
Chester,Republican,490
Chester,Unaffiliated,960
Clinton,Democratic,2579
Clinton,Republican,2225
Clinton,Unaffiliated,4027
Colchester,Democratic,3113
Colchester,Republican,2296
Colchester,Unaffiliated,4798
Colebrook,Democratic,249
Colebrook,Republican,274
Colebrook,Unaffiliated,444
Columbia,Democratic,1206
Columbia,Republican,872
Columbia,Unaffiliated,1382
Cornwall,Democratic,412
Cornwall,Republican,188
Cornwall,Unaffiliated,371
Coventry,Democratic,2264
Coventry,Republican,1660
Coventry,Unaffiliated,3465
Cromwell,Democratic,3165
Cromwell,Republican,2055
Cromwell,Unaffiliated,3934
Danbury,Democratic                                                1,11036
Danbury,Republican,7018
Danbury,Unaffiliated                                              1,16370
Darien,Democratic,2402
Darien,Republican,5961
Darien,Unaffiliated,4201
Deep River,Democratic,1064
Deep River,Republican,634
Deep River,Unaffiliated,1428
Derby,Democratic,2196
Derby,Republican,859
Derby,Unaffiliated,2314
Durham,Democratic,1232
Durham,Republican,1466
Durham,Unaffiliated,2296
East Granby,Democratic,988
East Granby,Republican,1004
East Granby,Unaffiliated,1478
East Haddam,Democratic,1810
East Haddam,Republican,1441
East Haddam,Unaffiliated,2640
East Hampton,Democratic,2398
East Hampton,Republican,1752
East Hampton,Unaffiliated,3632
East Hartford,Democratic                                                1,12345
East Hartford,Republican,2599
East Hartford,Unaffiliated                                              1,11434
East Haven,Democratic,5449
East Haven,Republican,2788
East Haven,Unaffiliated,6864
East Lyme,Democratic,3443
East Lyme,Republican,2632
East Lyme,Unaffiliated,4827
East Windsor,Democratic,2303
East Windsor,Republican,1460
East Windsor,Unaffiliated,3354
Eastford,Democratic,301
Eastford,Republican,424
Eastford,Unaffiliated,445
Easton,Democratic,1198
Easton,Republican,1658
Easton,Unaffiliated,2117
Ellington,Democratic,2310
Ellington,Republican,2463
Ellington,Unaffiliated,4517
Enfield,Democratic,7634
Enfield,Republican,4624
Enfield,Unaffiliated,8653
Essex,Democratic,1517
Essex,Republican,1357
Essex,Unaffiliated,1796
Fairfield,Democratic                                                1,10688
Fairfield,Republican                                                1,10759
Fairfield,Unaffiliated                                              1,15152
Farmington,Democratic,5382
Farmington,Republican,4498
Farmington,Unaffiliated,7351
Franklin,Democratic,346
Franklin,Republican,310
Franklin,Unaffiliated,523
Glastonbury,Democratic,6953
Glastonbury,Republican,5709
Glastonbury,Unaffiliated,8478
Goshen,Democratic,530
Goshen,Republican,762
Goshen,Unaffiliated,769
Granby,Democratic,1953
Granby,Republican,2297
Granby,Unaffiliated,2758
Greenwich,Democratic,8136
Greenwich,Republican                                                1,12233
Greenwich,Unaffiliated                                              1,11173
Griswold,Democratic,2150
Griswold,Republican,1383
Griswold,Unaffiliated,2918
Groton,Democratic,5188
Groton,Republican,3356
Groton,Unaffiliated,7722
Guilford,Democratic,4979
Guilford,Republican,3189
Guilford,Unaffiliated,5730
Haddam,Democratic,1776
Haddam,Republican,1346
Haddam,Unaffiliated,2593
Hamden,Democratic                                                1,14606
Hamden,Republican,3586
Hamden,Unaffiliated                                              1,13493
Hampton,Democratic,393
Hampton,Republican,319
Hampton,Unaffiliated,461
Hartford,Democratic                                                3,36834
Hartford,Republican,1784
Hartford,Unaffiliated                                              1,12097
Hartland,Democratic,339
Hartland,Republican,617
Hartland,Unaffiliated,543
Harwinton,Democratic,932
Harwinton,Republican,1206
Harwinton,Unaffiliated,1692
Hebron,Democratic,1826
Hebron,Republican,1638
Hebron,Unaffiliated,2958
Kent,Democratic,727
Kent,Republican,437
Kent,Unaffiliated,679
Killingly,Democratic,2427
Killingly,Republican,1644
Killingly,Unaffiliated,4823
Killingworth,Democratic,1142
Killingworth,Republican,1326
Killingworth,Unaffiliated,1893
Lebanon,Democratic,1195
Lebanon,Republican,1150
