Town,Obama,Kucinich,Gravel,Richardson,Edwards,Dodd,Biden,Clinton,Uncommitted,Active Democratic Enrollment List,Voted,Turnout
Andover,172,4,1,0,4,1,0,185,5,718,372,51.8%
Ansonia,566,3,0,0,24,3,2,966,16,3359,1580,47.0%
Ashford,280,2,0,0,11,2,0,299,6,947,600,63.4%
Avon,1068,4,7,3,13,6,2,964,7,3196,2074,64.9%
Barkhamsted,216,3,0,0,7,0,0,166,3,673,395,58.7%
Beacon Falls,181,1,0,4,8,0,0,288,5,1008,487,48.3%
Berlin,1005,6,1,34,34,14,1,1560,38,5091,2693,52.9%
Bethany,347,1,0,1,7,0,1,292,5,981,654,66.7%
Bethel,699,5,2,3,21,3,2,714,15,2704,1464,54.1%
Bethlehem,235,4,0,0,6,2,0,152,5,652,404,62.0%
Bloomfield,3451,6,1,1,22,6,1,1322,20,7577,4830,63.7%
Bolton,342,1,1,1,6,0,2,301,4,1085,658,60.6%
Bozrah,135,1,1,0,6,0,0,147,5,629,295,46.9%
Branford,1640,5,1,5,49,6,0,1652,26,6064,3384,55.8%
Bridgeport,6528,26,15,13,57,17,17,4926,60,35414,11659,32.9%
Bridgewater,128,1,0,0,4,1,9,95,1,389,239,61.4%
Bristol,2589,9,9,6,62,29,4,3682,65,13328,6455,48.4%
Brookfield,512,2,1,2,27,1,1,585,13,2019,1444,71.5%
Brooklyn,271,2,0,0,17,2,2,322,10,1415,626,44.2%
Burlington,465,5,1,1,10,4,0,391,8,1651,885,53.6%
Canaan,118,0,0,0,0,1,0,37,1,244,158,64.8%
Canterbury,169,1,0,0,4,2,2,221,7,768,409,53.3%
Canton,681,2,0,2,1,0,0,518,5,2085,1209,58.0%
Chaplin,116,1,1,1,3,0,0,118,1,397,241,60.7%
Cheshire,1344,10,2,3,30,6,2,1313,14,5017,2724,54.3%
Chester,355,0,0,0,3,4,0,243,4,926,612,66.1%
Clinton,640,0,1,2,6,4,3,655,13,2536,1324,52.2%
Colchester,661,2,1,1,18,4,3,782,17,2833,1493,52.7%
Colebrook,93,0,1,0,5,3,0,58,3,333,163,48.9%
Columbia,363,4,2,2,15,4,4,409,6,1253,809,64.6%
Cornwall,201,0,0,0,4,0,0,82,1,403,288,71.5%
Coventry,619,7,0,5,22,1,2,609,5,2231,1272,57.0%
Cromwell,724,6,0,0,14,6,4,863,16,3052,1635,53.6%
Danbury,2125,11,4,2,46,5,8,2373,67,9495,4641,48.9%
Darien,808,2,1,1,10,1,1,569,9,2211,1407,63.6%
Deep River,329,1,0,0,8,1,0,285,1,1025,625,61.0%
Derby,416,1,1,1,15,5,1,795,19,2726,1254,46.0%
Durham,377,3,1,2,5,1,0,332,8,1146,729,63.6%
East Granby,262,0,0,0,6,1,0,253,3,879,526,59.8%
East Haddam,516,4,1,1,8,5,1,475,4,1761,1015,57.6%
East Hampton,657,6,1,1,13,3,1,604,14,2424,1300,53.6%
East Hartford,2736,13,3,4,52,22,5,2708,82,11718,5625,48.0%
East Haven,644,1,1,3,20,2,2,1602,22,5534,2297,41.5%
East Lyme,930,3,2,2,16,2,3,996,18,3441,1972,57.3%
East Windsor,474,2,1,4,14,4,2,488,11,2069,1000,48.3%
Eastford,90,0,0,1,2,1,0,80,3,275,177,64.4%
Easton,374,4,1,0,0,1,0,305,6,1133,691,61.0%
Ellington,544,2,0,1,9,3,0,508,14,2105,1081,51.4%
Enfield,1778,7,3,8,50,17,8,2227,65,9376,4163,44.4%
Essex,549,0,0,0,5,5,0,371,4,1407,934,66.4%
Fairfield,2808,7,3,3,54,6,14,2530,28,9677,5453,56.4%
Farmington,1506,8,2,7,24,7,2,1351,18,5034,2925,58.1%
Franklin,75,0,0,0,2,0,0,84,6,335,167,49.9%
Glastonbury,2427,11,3,3,42,16,3,1811,24,7018,4340,61.8%
Goshen,151,2,1,0,4,0,0,127,4,491,289,58.9%
Granby,689,3,1,0,8,1,1,508,7,1933,1218,63.0%
