,Town,dem2016,rep2016
1,Andover,690,552
2,Ansonia,2946,1330
3,Ashford,962,511
4,Avon,3363,3830
5,Barkhamsted,694,768
6,Beacon Falls,1038,967
7,Berlin,4774,3137
8,Bethany,1089,1086
9,Bethel,3068,3102
10,Bethlehem,599,786
11,Bloomfield,7634,1348
12,Bolton,989,906
13,Bozrah,597,319
14,Branford,6210,3102
15,Bridgeport,42697,3655
16,Bridgewater,395,404
17,Bristol,12460,6000
18,Brookfield,2241,3500
19,Brooklyn,1360,1047
20,Burlington,1550,1627
21,Canaan,279,190
22,Canterbury,765,994
23,Canton,2221,2165
24,Chaplin,382,428
25,Cheshire,4661,4322
26,Chester,949,490
27,Clinton,2579,2225
28,Colchester,3113,2296
29,Colebrook,249,274
30,Columbia,1206,872
31,Cornwall,412,188
32,Coventry,2264,1660
33,Cromwell,3165,2055
34,Danbury,11036,7018
35,Darien,2402,5961
36,Deep River,1064,634
37,Derby,2196,859
38,Durham,1232,1466
39,East Granby,988,1004
40,East Haddam,1810,1441
41,East Hampton,2398,1752
42,East Hartford,12345,2599
43,East Haven,5449,2788
44,East Lyme,3443,2632
45,East Windsor,2303,1460
46,Eastford,301,424
47,Easton,1198,1658
48,Ellington,2310,2463
49,Enfield,7634,4624
50,Essex,1517,1357
51,Fairfield,10688,10759
52,Farmington,5382,4498
53,Franklin,346,310
54,Glastonbury,6953,5709
55,Goshen,530,762
56,Granby,1953,2297
57,Greenwich,8136,12233
58,Griswold,2150,1383
59,Groton,5188,3356
60,Guilford,4979,3189
61,Haddam,1776,1346
62,Hamden,14606,3586
63,Hampton,393,319
64,Hartford,36834,1784
65,Hartland,339,617
66,Harwinton,932,1206
67,Hebron,1826,1638
68,Kent,727,437
69,Killingly,2427,1644
70,Killingworth,1142,1326
71,Lebanon,1195,1150
72,Ledyard,2071,2177
73,Lisbon,874,548
74,Litchfield,1447,1793
75,Lyme,587,518
76,Madison,3362,3778
77,Manchester,11682,4786
78,Mansfield,4738,1453
79,Marlborough,1247,1060
80,Meriden,11164,4090
81,Middlebury,1121,2310
82,Middlefield,951,649
83,Middletown,11554,3574
84,Milford,9423,7273
85,Monroe,2479,3240
86,Montville,2574,1690
87,Morris,393,652
88,Naugatuck,5515,3509
89,New Britain,13616,2857
90,New Canaan,2651,6491
91,New Fairfield,2098,3034
92,New Hartford,1218,1423
93,New Haven,49402,2725
94,New London,7289,1342
95,New Milford,3924,4281
96,Newington,7275,3192
97,Newtown,4588,5266
98,Norfolk,406,216
99,North Branford,2101,1921
100,North Canaan,506,551
101,North Haven,3869,3826
102,North Stonington,953,1111
103,Norwalk,17066,8978
104,Norwich,6241,2385
105,Old Lyme,1554,1616
106,Old Saybrook,2143,2323
107,Orange,2528,2484
108,Oxford,1431,2696
109,Plainfield,2953,1553
110,Plainville,3727,2094
111,Plymouth,1850,1699
112,Pomfret,756,641
113,Portland,1973,1236
114,Preston,731,786
115,Prospect,1307,1917
116,Putnam,1730,949
117,Redding,2111,2111
118,Ridgefield,4798,5911
119,Rocky Hill,4281,2341
120,Roxbury,496,495
121,Salem,789,616
122,Salisbury,1117,554
123,Scotland,316,274
124,Seymour,2244,2160
125,Sharon,599,463
126,Shelton,5289,6267
127,Sherman,629,834
128,Simsbury,5066,5157
129,Somers,1233,1818
130,South Windsor,5581,3503
131,Southbury,3103,4350
132,Southington,7500,6130
133,Sprague,588,338
134,Stafford,2651,1449
135,Stamford,23840,12603
136,Sterling,464,474
137,Stonington,4133,2791
138,Stratford,10580,5978
139,Suffield,2239,2430
140,Thomaston,1025,1163
141,Thompson,1626,1097
142,Tolland,2554,2262
143,Torrington,5896,4575
144,Trumbull,6372,6286
145,Union,132,217
146,Vernon,4549,2722
147,Voluntown,383,333
148,Wallingford,7004,4892
149,Warren,227,340
150,Washington,762,717
151,Waterbury,26644,7000
152,Waterford,3934,2661
153,Watertown,3459,3864
154,West Hartford,18230,6969
155,West Haven,14556,2489
156,Westbrook,1044,1202
157,Weston,2156,1817
158,Westport,5973,4423
159,Wethersfield,6121,3354
160,Willington,996,757
161,Wilton,3153,4167
162,Winchester,1503,1318
163,Windham,3982,1217
164,Windsor,9490,2831
165,Windsor Locks,2391,1349
166,Wolcott,2591,2860
167,Woodbridge,2370,1380
168,Woodbury,1631,2417
169,Woodstock,1374,1595
