gnd,pctile,count,hh_inc,hh_inc_age40,le_agg,le_raceadj,sd_le_agg,sd_le_raceadj
"F",1,7098335,432.7821,383.3254,78.52628,78.78384,.0525379,.0623696
"F",2,7120033,1919.116,1681.78,80.29138,80.46241,.0561865,.0641465
"F",3,7131115,3718.216,3344.087,81.04365,81.1681,.0569274,.0654372
"F",4,7135812,5466.639,5051.834,81.43418,81.53068,.0580886,.065256
"F",5,7140055,7089.429,6671.779,81.54852,81.62885,.058225,.0648545
"F",6,7141666,8570.268,8166.425,81.604,81.67336,.0627583,.0686032
"F",7,7144768,9890.65,9424.541,81.64261,81.70304,.0626076,.0657507
"F",8,7146577,11141.58,10572.96,81.73978,81.78937,.0628885,.0663568
"F",9,7146867,12367.86,11746.7,81.70618,81.74834,.0656734,.0677132
"F",10,7149543,13525.56,12807.22,81.71558,81.75417,.0651041,.0669319
"F",11,7152938,14617.2,13744.71,81.98537,82.01464,.0651486,.0654899
"F",12,7154548,15691.67,14713.06,82.13082,82.15666,.0666055,.0675955
"F",13,7157847,16747.2,15697.61,82.32649,82.35178,.0649845,.065541
"F",14,7156139,17777.51,16666.31,82.30405,82.33271,.0685515,.0682344
"F",15,7158253,18788.2,17619.53,82.43752,82.4644,.0683549,.0683449
"F",16,7161532,19787.16,18571.47,82.65928,82.686,.0687629,.068541
"F",17,7161166,20778.54,19529.73,82.58759,82.62069,.0664455,.0659533
"F",18,7162264,21764.94,20496.85,82.6616,82.69639,.067713,.0675532
"F",19,7163496,22747.82,21463.76,82.90882,82.94355,.0723002,.072544
"F",20,7164020,23728.01,22430.05,82.89081,82.93057,.071054,.0710462
"F",21,7166206,24707.01,23392.88,82.95511,83.00024,.0682007,.0676637
"F",22,7165714,25686.21,24357.77,83.00622,83.05891,.070845,.0700484
"F",23,7168507,26667.35,25329.4,83.06406,83.11854,.0713855,.07162
"F",24,7169326,27651.84,26304.37,83.2172,83.26859,.0716746,.0712457
"F",25,7170463,28641.08,27287.23,83.29673,83.34551,.0702783,.0702671
