Town,BLL5,BLL10,BLL15,BLL20
Andover,2.9,2.9,0,0
Ansonia,2.3,0.6,0.4,0.2
Ashford,1.5,1.5,0,0
Avon,0.4,0.4,0.4,0.4
Barkhamsted,0,0,0,0
Beacon Falls,0,0,0,0
Berlin,0.8,0.4,0,0
Bethany,0,1.6,0,0
Bethel,0.6,0,0,0
Bethlehem,0,0,0,0
Bloomfield,1.8,0,0,0
Bolton,0,0,0,0
Bozrah,0,0,0,0
Branford,0.5,0,0,0
Bridgeport,4.7,1.1,0.4,0.2
Bridgewater,0,0,0,0
Bristol,2.1,0.8,0.4,0.2
Brookfield,0.4,0.4,0,0
Brooklyn,0.7,0.7,0,0
Burlington,0.8,0,0,0
Canaan,25,0,0,0
Canterbury,5.2,1.3,1.3,0
Canton,0,0,0,0
Chaplin,0,0,0,0
Cheshire,0.3,0,0,0
Chester,5.5,0,0,0
Clinton,1.1,0,0,0
Colchester,0,0,0,0
Colebrook,33.3,0,0,0
Columbia,0,0,0,0
Cornwall,10.5,0,0,0
Coventry,0.5,0,0,0
Cromwell,0.4,0.4,0,0
Danbury,1,0.3,0.1,0.1
Darien,0.2,0,0,0
Deep River,3.4,0,0,0
Derby,2.5,0.4,0,0
Durham,0,0,0,0
East Granby,0,0,0,0
East Haddam,0.9,0,0,0
East Hampton,2.2,0,0,0
East Hartford,1.2,0.5,0.2,0.2
East Haven,1.2,0.6,0.2,0
East Lyme,0.4,0,0,0
East Windsor,1.8,0.6,0.6,0
Eastford,0,0,0,0
Easton,0,0,0,0
Ellington,0.4,0,0,0
Enfield,1,0.1,0,0
Essex,0,0,0,0
Fairfield,0.5,0.1,0,0
Farmington,0.3,0,0,0
Franklin,0,0,0,0
Glastonbury,0.5,0,0,0
Goshen,0,0,0,0
Granby,0.8,0,0,0
Greenwich,0.7,0.3,0.2,0.2
Griswold,5.5,0.5,0.5,0.5
Groton,0.4,0.3,0.1,0
Guilford,0.5,0.5,0,0
Haddam,0.9,0,0,0
Hamden,1.8,0.5,0.1,0.1
Hampton,0,0,0,0
Hartford,2.4,0.5,0.2,0.2
Hartland,0,0,0,0
Harwinton,0,0,0,0
Hebron,0,0,0,0
Kent,3.8,0,0,0
Killingly,1.8,0.4,0.2,0
Killingworth,0,0,0,0
Lebanon,2.5,0,0,0
Ledyard,0,0,0,0
Lisbon,0,0,0,0
Litchfield,2.7,0,0,0
Lyme,0,0,0,0
Madison,0,0,0,0
Manchester,1.5,0.7,0.4,0.1
Mansfield,0.7,0,0,0
Marlborough,0,0,0,0
Meriden,4.2,1.2,0.6,0.3
Middlebury,2,0,0,0
Middlefield,0,0,0,0
Middletown,2.4,0.3,0.1,0
Milford,0.8,0.1,0,0
Monroe,0,0,0,0
Montville,1,0.3,0.3,0.3
Morris,0,0,0,0
Naugatuck,2.2,0.8,0,0
New Britain,2.3,0.4,0.2,0.1
New Canaan,0.3,0.3,0.3,0
New Fairfield,0.6,0,0,0
New Hartford,0,0,0,0
New Haven,6.7,1.5,0.5,0.3
New London,4.3,0.8,0.1,0.1
New Milford,0.7,0.2,0.2,0
Newington,0.8,0,0,0
Newtown,1.3,0.3,0,0
Norfolk,7.1,0,0,0
North Branford,0,0,0,0
North Canaan,0,0,0,0
North Haven,0.8,0.3,0.3,0.3
North Stonington,3.9,0,0,0
Norwalk,1.9,0.4,0.1,0.1
Norwich,4.1,1.4,0.7,0.3
Old Lyme,2.6,0.9,0,0
Old Saybrook,0.8,0,0,0
Orange,0,0,0,0
Oxford,1.6,0,0,0
Plainfield,2.4,0.3,0.3,0
Plainville,1.4,0,0,0
Plymouth,0.6,0.6,0,0
Pomfret,4.8,0,0,0
Portland,0.7,0,0,0
Preston,0,0,0,0
Prospect,0,0,0,0
Putnam,2.7,0,0,0
Redding,0,0,0,0
Ridgefield,0.3,0,0,0
Rocky Hill,1.9,0.6,0,0
Roxbury,0,0,0,0
Salem,0,0,0,0
Salisbury,11.8,5.6,0,0
Scotland,10,0,0,0
Seymour,0.9,0.3,0,0
Sharon,11.8,0,0,0
Shelton,0.8,0,0,0
Sherman,0,0,0,0
Simsbury,0.8,0.4,0,0
Somers,0.8,0.8,0.8,0.8
South Windsor,1.2,0.3,0,0
Southbury,0.6,0,0,0
Southington,0.4,0,0,0
Sprague,4.2,0,0,0
Stafford,4.2,0,0,0
Stamford,1.1,0.2,0,0
Sterling,1.4,0,0,0
Stonington,2.6,0.4,0,0
Stratford,1.5,0.2,0,0
Suffield,1.3,0,0,0
Thomaston,1.7,0,0,0
Thompson,5,1.1,0.5,0.5
Tolland,0.5,0,0,0
Torrington,5.7,1.6,0.2,0
Trumbull,0.7,0.4,0.2,0
Union,10,0,0,0
Vernon,2.8,0.5,0,0
Voluntown,2.7,0,0,0
Wallingford,1.1,0.4,0.1,0.1
Warren,0,0,0,0
Washington,3.1,0,0,0
Waterbury,3.7,0.9,0.5,0.3
Waterford,0,0,0,0
Watertown,1.5,0.3,0,0
West Hartford,1.1,0.2,0,0
West Haven,2.3,1.1,0.7,0.1
Westbrook,3.4,0,0,0
Weston,0,0,0,0
Westport,0.2,0,0,0
Wethersfield,0.2,0,0,0
Willington,0,0,0,0
Wilton,0.4,0,0,0
Winchester,4.8,0.7,0.7,0
Windham,2.4,0.9,0.4,0.2
Windsor,1,0.2,0,0
Windsor Locks,1.8,1.2,1.2,1.2
Wolcott,0,0,0,0
Woodbridge,0,0,0,0
Woodbury,1.8,0.9,0,0
Woodstock,0.8,0,0,0
,,,,
