Town,BLL5,BLL10,BLL15,BLL20
Andover,35,35,35,35
Ansonia,474,489,496,497
Ashford,68,68,68,68
Avon,240,241,241,241
Barkhamsted,40,40,40,40
Beacon Falls,80,81,82,82
Berlin,241,243,243,243
Bethany,61,63,63,63
Bethel,332,335,336,336
Bethlehem,39,39,39,39
Bloomfield,333,336,336,338
Bolton,64,64,64,64
Bozrah,20,20,20,20
Branford,370,372,372,372
Bridgeport,5875,6133,6192,6223
Bridgewater,6,6,6,6
Bristol,981,989,989,990
Brookfield,226,226,226,226
Brooklyn,149,149,150,150
Burlington,133,133,133,133
Canaan,8,9,9,10
Canterbury,77,78,78,78
Canton,140,143,143,143
Chaplin,28,29,29,29
Cheshire,287,287,287,287
Chester,55,56,56,56
Clinton,187,188,188,188
Colchester,203,204,205,205
Colebrook,3,3,3,3
Columbia,70,70,70,70
Cornwall,19,19,19,19
Coventry,194,194,194,194
Cromwell,272,275,276,276
Danbury,2208,2249,2257,2261
Darien,456,457,459,459
Deep River,59,59,59,59
Derby,275,285,287,287
Durham,111,111,111,111
East Granby,80,80,80,80
East Haddam,112,112,112,112
East Hampton,186,186,186,187
East Hartford,1223,1247,1248,1251
East Haven,483,487,490,490
East Lyme,223,223,223,223
East Windsor,168,168,168,168
Eastford,19,19,19,19
Easton,81,81,81,81
Ellington,259,260,260,260
Enfield,720,729,731,732
Essex,69,70,70,70
Fairfield,940,941,944,944
Farmington,366,366,366,366
Franklin,16,16,16,16
Glastonbury,388,389,389,389
Goshen,31,31,31,31
Granby,129,131,131,131
Greenwich,1201,1203,1204,1204
Griswold,217,219,219,219
Groton,1141,1143,1144,1144
Guilford,209,211,211,211
Haddam,117,117,117,117
Hamden,1000,1006,1010,1011
Hampton,27,28,28,28
Hartford,4450,4595,4627,4635
Hartland,19,19,19,19
Harwinton,67,68,68,68
Hebron,85,85,85,85
Kent,26,26,26,26
Killingly,450,454,455,455
Killingworth,74,74,74,74
Lebanon,80,81,81,81
Ledyard,280,281,281,281
Lisbon,31,31,32,32
Litchfield,75,76,76,76
Lyme,1,1,1,1
Madison,199,199,199,199
Manchester,1329,1347,1353,1353
Mansfield,148,148,149,149
Marlborough,68,68,68,68
Meriden,1766,1805,1814,1822
Middlebury,99,100,100,100
Middlefield,42,43,43,44
Middletown,960,965,968,968
Milford,887,889,890,890
Monroe,274,274,274,274
Montville,308,311,311,312
Morris,28,28,28,28
Naugatuck,628,634,639,641
New Britain,2657,2735,2757,2761
New Canaan,370,370,370,370
New Fairfield,179,179,179,179
New Hartford,78,78,79,79
New Haven,4427,4566,4625,4644
New London,723,735,742,743
New Milford,451,455,455,455
Newington,365,367,368,368
Newtown,308,308,308,308
Norfolk,14,14,14,14
North Branford,186,187,189,189
North Canaan,25,25,25,25
North Haven,358,359,359,359
North Stonington,77,77,77,77
Norwalk,2275,2306,2309,2313
Norwich,989,1009,1014,1016
Old Lyme,116,116,116,116
Old Saybrook,124,124,124,124
Orange,184,185,185,185
Oxford,183,184,185,185
Plainfield,339,340,341,341
Plainville,292,293,295,295
Plymouth,157,158,158,158
Pomfret,84,84,86,86
Portland,142,142,142,142
Preston,57,57,57,57
Prospect,95,95,95,95
Putnam,261,265,266,266
Redding,91,92,92,92
Ridgefield,359,361,361,361
Rocky Hill,360,361,361,361
Roxbury,19,19,19,19
Salem,46,46,46,46
Salisbury,17,18,18,18
Scotland,10,10,10,10
Seymour,331,332,332,333
Sharon,17,17,17,17
Shelton,622,623,623,623
Sherman,24,24,24,24
Simsbury,253,254,254,254
Somers,130,131,131,132
South Windsor,329,329,330,330
Southbury,166,166,166,166
Southington,497,498,499,499
Sprague,71,71,72,72
Stafford,192,195,196,196
Stamford,3655,3693,3699,3703
Sterling,70,72,73,73
Stonington,230,231,232,233
Stratford,1059,1075,1076,1079
Suffield,156,156,156,156
Thomaston,117,117,117,117
Thompson,179,181,184,185
Tolland,221,221,221,221
Torrington,493,495,496,496
Trumbull,535,536,536,536
Union,10,10,10,10
Vernon,637,643,647,647
Voluntown,37,37,37,37
Wallingford,816,818,820,820
Warren,3,3,3,3
Washington,32,35,35,35
Waterbury,4293,4419,4463,4478
Waterford,276,277,277,277
Watertown,327,330,330,330
West Hartford,965,971,972,974
West Haven,1327,1353,1357,1358
Westbrook,89,89,91,91
Weston,112,112,112,112
Westport,410,411,411,411
Wethersfield,425,426,426,426
Willington,86,87,89,89
Wilton,263,263,263,263
Winchester,145,147,148,150
Windham,549,556,563,565
Windsor,408,411,411,412
Windsor Locks,164,166,166,166
Wolcott,189,189,190,190
Woodbridge,112,114,114,115
Woodbury,109,110,110,110
Woodstock,131,131,131,132
,,,,
