Year,confirmed.0.4,confirmed.5,confirmed.10,confirmed.15,confirmed.20,
2002,,,,,0.5,
2003,,,,,0.4,
2004,,,,,0.4,
2005,,,,,0.3,
2006,,,,0.6,0.3,
2007,,,,0.6,0.3,
2008,,,,0.6,0.3,
2009,,,,0.4,0.2,
2010,93.4,6.6,0.9,0.4,0.2,
2011,93.6,6.4*,0.8,0.3,0.1,
2012,96.9,3.1,0.7,0.3,0.1,
2013,97.0,3.0,0.7,0.3,0.1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Year,confirmed.0.4,confirmed.5,confirmed.10,confirmed.15,confirmed.20,
2010,93.4,6.6,0.9,0.4,0.2,101.5
2011,93.6,6.4*,0.8,0.3,0.1,94.8
2012,96.9,3.1,0.7,0.3,0.1,101.1
2013,97.0,3.0,0.7,0.3,0.1,101.1
