Town,BLL5,BLL10,BLL15,BLL20
Winchester,7.6,2.1,1.4,0
Canterbury,5.1,1.3,1.3,0
East Windsor,1.8,0.6,0.6,0
Torrington,7.2,2.3,0.6,0
Trumbull,0.9,0.6,0.4,0
New Canaan,0.3,0.3,0.3,0
Plainfield,2.7,0.6,0.3,0
South Windsor,1.8,0.6,0.3,0
Seymour,1.2,0.6,0.3,0
New Milford,0.7,0.2,0.2,0
Killingly,2,0.4,0.2,0
East Haven,2.5,0.6,0.2,0
Naugatuck,3,1.1,0.2,0
Stamford,1.4,0.2,0.1,0
Middletown,2.6,0.3,0.1,0
Groton,0.4,0.3,0.1,0
Colebrook,33.3,0,0,0
Canaan,30,0,0,0
Sharon,11.8,0,0,0
Cornwall,11.1,0,0,0
Union,11.1,0,0,0
Scotland,10,0,0,0
Norfolk,9.1,0,0,0
Sprague,5.6,0,0,0
Chester,5.5,0,0,0
Stafford,5.3,0,0,0
North Stonington,3.9,0,0,0
Kent,3.8,0,0,0
Deep River,3.6,0,0,0
Hampton,3.6,0,0,0
Washington,2.9,0,0,0
Litchfield,2.8,0,0,0
Voluntown,2.7,0,0,0
Lebanon,2.5,0,0,0
East Hampton,2.2,0,0,0
Middlebury,2,0,0,0
Oxford,1.7,0,0,0
Thomaston,1.7,0,0,0
Clinton,1.6,0,0,0
Granby,1.6,0,0,0
Plainville,1.4,0,0,0
Sterling,1.4,0,0,0
New Hartford,1.3,0,0,0
Suffield,1.3,0,0,0
Bethel,0.9,0,0,0
East Haddam,0.9,0,0,0
Woodbridge,0.9,0,0,0
Burlington,0.8,0,0,0
Glastonbury,0.8,0,0,0
Newington,0.8,0,0,0
Old Saybrook,0.8,0,0,0
Shelton,0.8,0,0,0
Woodstock,0.8,0,0,0
Mansfield,0.7,0,0,0
Portland,0.7,0,0,0
New Fairfield,0.6,0,0,0
Southbury,0.6,0,0,0
Coventry,0.5,0,0,0
North Branford,0.5,0,0,0
Tolland,0.5,0,0,0
Wolcott,0.5,0,0,0
Ellington,0.4,0,0,0
Southington,0.4,0,0,0
Wilton,0.4,0,0,0
Cheshire,0.3,0,0,0
Farmington,0.3,0,0,0
Ridgefield,0.3,0,0,0
Darien,0.2,0,0,0
Westport,0.2,0,0,0
Wethersfield,0.2,0,0,0
Barkhamsted,0,0,0,0
Bethlehem,0,0,0,0
Bolton,0,0,0,0
Bozrah,0,0,0,0
Bridgewater,0,0,0,0
Canton,0,0,0,0
Chaplin,0,0,0,0
Colchester,0,0,0,0
Columbia,0,0,0,0
East Granby,0,0,0,0
Eastford,0,0,0,0
Easton,0,0,0,0
Essex,0,0,0,0
Franklin,0,0,0,0
Goshen,0,0,0,0
Hartland,0,0,0,0
Harwinton,0,0,0,0
Hebron,0,0,0,0
Killingworth,0,0,0,0
Ledyard,0,0,0,0
Lisbon,0,0,0,0
Lyme,0,0,0,0
Madison,0,0,0,0
Marlborough,0,0,0,0
Middlefield,0,0,0,0
Monroe,0,0,0,0
Morris,0,0,0,0
North Canaan,0,0,0,0
Orange,0,0,0,0
Preston,0,0,0,0
Prospect,0,0,0,0
Redding,0,0,0,0
Roxbury,0,0,0,0
Salem,0,0,0,0
Sherman,0,0,0,0
Warren,0,0,0,0
Waterford,0,0,0,0
Weston,0,0,0,0
Willington,0,0,0,0
Milford,0.8,0.1,0,0
Fairfield,0.6,0.1,0,0
Stratford,2.1,0.2,0,0
Windsor,1.5,0.2,0,0
Bloomfield,3,0.3,0,0
Watertown,1.5,0.3,0,0
West Hartford,1.4,0.3,0,0
Newtown,1.3,0.3,0,0
Stonington,2.6,0.4,0,0
Berlin,1.2,0.4,0,0
Cromwell,1.1,0.4,0,0
Simsbury,0.8,0.4,0,0
Vernon,3.4,0.5,0,0
East Lyme,0.9,0.5,0,0
Brookfield,0.5,0.5,0,0
Guilford,0.5,0.5,0,0
Rocky Hill,2,0.6,0,0
Plymouth,1.3,0.6,0,0
Brooklyn,1.4,0.7,0,0
Old Lyme,2.6,0.9,0,0
Woodbury,1.8,0.9,0,0
Durham,0.9,0.9,0,0
Westbrook,4.5,1.1,0,0
Pomfret,5.8,1.2,0,0
Ashford,1.5,1.5,0,0
Bethany,1.6,1.6,0,0
Andover,2.9,2.9,0,0
Salisbury,11.8,5.9,0,0
West Haven,3,1.2,0.7,0.1
Manchester,1.9,0.8,0.4,0.1
New Britain,3.2,0.5,0.3,0.1
Enfield,1.6,0.3,0.1,0.1
Danbury,1.3,0.3,0.1,0.1
Norwalk,2.2,0.5,0.1,0.1
Wallingford,1.2,0.5,0.1,0.1
Hamden,2.1,0.6,0.1,0.1
New London,5.1,0.8,0.1,0.1
Windham,4,1.8,0.5,0.2
Ansonia,4.1,0.8,0.4,0.2
Bristol,2.5,0.9,0.4,0.2
Greenwich,0.7,0.3,0.2,0.2
East Hartford,1.8,0.7,0.2,0.2
Waterbury,5.2,1.3,0.6,0.3
Meriden,5.6,1.7,0.6,0.3
Bridgeport,6.5,1.3,0.5,0.3
Hartford,3.5,0.7,0.4,0.3
Montville,1.6,0.3,0.3,0.3
Branford,0.8,0.3,0.3,0.3
North Haven,0.8,0.3,0.3,0.3
Norwich,5.6,1.7,0.8,0.4
New Haven,9,2,0.8,0.4
Putnam,3.8,0.4,0.4,0.4
Avon,0.4,0.4,0.4,0.4
Derby,3.2,1.1,0.4,0.4
Griswold,5.5,0.5,0.5,0.5
Thompson,5.9,1.1,0.5,0.5
Somers,1.6,0.8,0.8,0.8
Haddam,1.7,0.9,0.9,0.9
Beacon Falls,2.4,1.2,1.2,1.2
Windsor Locks,1.9,1.2,1.2,1.2
