Town,Children.Under.6.Screened,Percent.9m-2yrs.Screened,,Year,5 µg/dL,10 µg/dL,15 µg/dL,20 µg/dL
Stonington,233,130,,2002,9999,1733,9999,353
Cornwall,19,100,,2003,9999,1445,9999,272
Goshen,31,100,,2004,9999,1472,9999,288
North Stonington,78,100,,2005,9999,1263,9999,212
Old Lyme,117,100,,2006,9999,1082,415,215
Old Lyme & Lyme _,117,100,,2007,9999,1020,445,208
Thompson,185,100,,2008,9999,1054,448,221
Westport,411,100,,2009,9999,737,308,153
Madison,199,97,,2010,9999,743,315,156
Putnam,268,96,,2011,9999,619,264,111
Sterling,73,94,,2012,2261,522,196,107
Weston,112,94,,2013,2275,525,214,111
Chester,56,93,,,,,,
Sprague,72,93,,,,,,
Clinton,188,92,,,,,,
Westbrook,91,91,,,,,,
Greenwich,1205,91,,,,,,
Old Saybrook,124,90,,,,,,
Easton,82,88,,,,,,
Killingworth,74,87,,,,,,
Woodstock,134,87,,,,,,
Bethel,337,87,,,,,,
Orange,185,86,,,,,,
Trumbull,537,86,,,,,,
Barkhamsted,40,85,,,,,,
Willington,89,85,,,,,,
Woodbridge,115,85,,,,,,
Somers,132,85,,,,,,
Tolland,221,85,,,,,,
Monroe,274,85,,,,,,
New Fairfield,179,84,,,,,,
Killingly,455,84,,,,,,
Harwinton,68,83,,,,,,
Durham,112,83,,,,,,
Fairfield,944,83,,,,,,
Ridgefield,361,82,,,,,,
Kent,26,81,,,,,,
Hampton,28,81,,,,,,
Essex,70,81,,,,,,
New Canaan,370,81,,,,,,
New Milford,455,81,,,,,,
Bridgeport,6254,81,,,,,,
Bethany,63,80,,,,,,
Seymour,333,80,,,,,,
Windham,566,80,,,,,,
Deep River,59,79,,,,,,
Canterbury,78,79,,,,,,
Burlington,133,79,,,,,,
North Branford,189,79,,,,,,
Branford,373,79,,,,,,
Danbury,2262,79,,,,,,
Avon,241,78,,,,,,
Wilton,263,77,,,,,,
Darien,459,77,,,,,,
Preston,57,76,,,,,,
East Lyme,224,76,,,,,,
Newtown,308,76,,,,,,
Plainfield,341,76,,,,,,
North Haven,359,76,,,,,,
Shelton,623,76,,,,,,
Hartford,4652,76,,,,,,
New Haven,4678,76,,,,,,
Brookfield,226,74,,,,,,
Cromwell,276,74,,,,,,
Groton,1146,74,,,,,,
Meriden,1829,74,,,,,,
Eastford,19,73,,,,,,
Roxbury,19,73,,,,,,
Haddam,118,73,,,,,,
Stafford,196,73,,,,,,
Guilford,211,73,,,,,,
East Haven,490,73,,,,,,
Wallingford,820,73,,,,,,
Sherman,24,72,,,,,,
Bolton,64,72,,,,,,
Pomfret,86,72,,,,,,
Granby,131,72,,,,,,
Portland,142,72,,,,,,
Ledyard,281,72,,,,,,
Rocky Hill,361,72,,,,,,
Ansonia,500,72,,,,,,
New London,745,72,,,,,,
Stratford,1080,72,,,,,,
East Haddam,112,71,,,,,,
Coventry,194,71,,,,,,
Griswold,220,71,,,,,,
Montville,312,71,,,,,,
Marlborough,68,70,,,,,,
Redding,92,70,,,,,,
Oxford,185,70,,,,,,
Derby,288,70,,,,,,
Milford,890,70,,,,,,
Middletown,968,70,,,,,,
Stamford,3704,70,,,,,,
Brooklyn,150,69,,,,,,
Suffield,156,69,,,,,,
Southbury,166,69,,,,,,
Bloomfield,339,69,,,,,,
West Haven,1360,69,,,,,,
Norwalk,2314,69,,,,,,
New Britain,2772,69,,,,,,
Mansfield,149,68,,,,,,
South Windsor,331,68,,,,,,
Union,10,67,,,,,,
Ashford,68,67,,,,,,
Farmington,366,67,,,,,,
Hamden,1011,67,,,,,,
East Hartford,1254,67,,,,,,
Columbia,70,66,,,,,,
Woodbury,110,66,,,,,,
Berlin,243,66,,,,,,
Waterbury,4505,66,,,,,,
Canton,143,65,,,,,,
Cheshire,287,65,,,,,,
Wethersfield,427,65,,,,,,
Washington,35,64,,,,,,
Glastonbury,389,64,,,,,,
Enfield,733,64,,,,,,
Hartland,19,63,,,,,,
Winchester,150,63,,,,,,
Simsbury,254,63,,,,,,
Waterford,277,63,,,,,,
Norwich,1019,63,,,,,,
Morris,28,62,,,,,,
West Hartford,974,62,,,,,,
Manchester,1356,62,,,,,,
Voluntown,37,61,,,,,,
New Hartford,79,61,,,,,,
Lebanon,81,61,,,,,,
Ellington,260,61,,,,,,
Litchfield,76,60,,,,,,
Plainville,295,60,,,,,,
Vernon,649,60,,,,,,
Salem,46,59,,,,,,
Beacon Falls,83,59,,,,,,
Torrington,500,59,,,,,,
Norfolk,14,58,,,,,,
Sharon,17,58,,,,,,
Bristol,990,58,,,,,,
Chaplin,29,57,,,,,,
Bethlehem,39,57,,,,,,
East Hampton,187,57,,,,,,
Andover,35,56,,,,,,
Thomaston,117,56,,,,,,
Watertown,330,56,,,,,,
Windsor Locks,166,55,,,,,,
Colchester,205,55,,,,,,
Windsor,412,55,,,,,,
Naugatuck,642,55,,,,,,
East Granby,80,54,,,,,,
Middlebury,100,54,,,,,,
Middlefield,44,53,,,,,,
Newington,368,53,,,,,,
Prospect,95,52,,,,,,
Southington,500,51,,,,,,
Plymouth,159,49,,,,,,
East Windsor,168,49,,,,,,
Wolcott,191,49,,,,,,
Hebron,85,48,,,,,,
Bridgewater,6,46,,,,,,
Franklin,16,46,,,,,,
Bozrah,20,45,,,,,,
North Canaan,25,41,,,,,,
Lisbon,32,40,,,,,,
Scotland,10,36,,,,,,
Salisbury,18,33,,,,,,
Canaan,10,27,,,,,,
Warren,3,23,,,,,,
Colebrook,3,13,,,,,,
