GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X)
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7071,210,5155,169,4117,204,1916,259,2.5,1.2,0.4,0.5,0.1,0.1,8.1,4.1,1.0,0.6,0.6,0.5,0.4,0.4,2.3,1.7,6.8,2.4,4.8,2.3,2.2,1.7,12.0,5.7,5.1,1.7,4.3,1.7,4.0,1.7,8.6,4.6,10.1,2.3,9.1,2.3,5.1,1.8,11.6,5.2,17.3,2.8,16.4,3.1,15.1,3.4,21.0,7.0,13.8,2.8,13.1,3.3,13.7,3.8,15.7,6.0,22.6,3.8,25.8,4.5,29.0,5.2,13.8,6.4,11.5,1.9,14.4,2.5,16.5,3.0,2.6,2.1,9.3,1.9,11.2,2.6,14.0,3.2,4.3,3.1,85377,7449,102960,10713,116103,9893,57892,11108,110523,8669,120964,8721,N,N,80564,24601,27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.7,(X)
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",50034,904,32077,568,15949,662,17957,839,12.7,1.0,9.7,1.1,3.0,0.9,19.5,2.0,6.4,0.7,4.4,0.6,1.9,0.7,10.3,1.6,14.0,1.0,11.8,1.1,7.3,1.4,18.5,2.0,11.5,1.0,12.6,1.3,11.6,1.4,10.0,1.5,13.5,1.1,14.7,1.4,15.4,2.1,12.7,1.8,16.6,1.1,16.7,1.3,18.7,2.1,15.6,2.1,10.8,1.1,12.2,1.2,16.3,1.9,6.9,1.4,9.5,0.8,11.9,1.1,16.7,2.0,3.9,1.1,2.8,0.5,3.7,0.6,5.5,0.9,1.0,0.6,2.2,0.5,2.3,0.6,3.5,1.1,1.7,0.7,41204,1414,46226,1771,64326,3990,26395,2189,55697,1519,61344,1877,77339,3484,40933,2850,35.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X)
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6010,225,4727,211,4125,256,1283,243,1.9,1.2,0.0,0.7,0.0,0.8,8.9,5.4,2.5,1.1,0.7,0.8,0.0,0.8,10.3,4.8,5.1,2.0,1.3,1.1,1.4,1.2,17.4,7.7,6.4,1.9,4.9,1.9,3.4,2.0,13.5,6.5,6.6,1.7,6.6,2.0,6.0,2.1,7.7,4.5,11.7,3.2,11.2,3.2,10.5,3.3,15.9,8.2,13.1,2.9,12.9,3.2,11.9,3.4,11.3,6.7,24.1,3.8,28.1,4.4,30.0,4.8,9.5,4.8,11.3,2.4,13.8,2.8,14.4,2.9,0.9,1.6,17.2,3.0,20.4,3.5,22.4,3.8,4.6,4.7,106920,10373,124169,4094,128466,8841,34948,14728,134297,10641,154423,13252,N,N,56164,10497,26.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X)
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",29046,541,19010,555,13710,549,10036,678,4.3,0.9,3.4,1.1,1.5,0.8,7.7,1.9,4.1,0.7,1.6,0.8,1.4,0.9,9.2,1.8,9.7,1.1,6.9,1.3,3.4,0.9,15.4,2.1,8.3,1.2,7.5,1.4,5.2,1.4,10.6,2.3,11.3,1.6,10.2,1.7,8.7,1.7,13.5,2.5,18.4,1.7,18.0,2.0,18.6,2.6,18.7,2.7,13.1,1.3,13.9,1.6,14.8,1.9,10.6,2.1,18.2,1.2,21.9,1.6,25.5,2.1,10.2,1.9,6.8,1.0,8.0,1.4,9.7,1.7,3.3,1.1,5.9,0.9,8.6,1.3,11.2,1.8,0.8,0.5,65981,2506,77963,2823,92607,4159,42251,2917,84697,2973,98401,4587,N,N,54178,2444,35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X)
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6556,177,5484,133,5108,156,1072,159,2.8,1.2,1.9,1.2,1.5,1.2,7.7,3.9,1.8,1.1,0.9,0.9,0.5,0.7,6.5,4.5,3.1,1.4,2.0,1.5,1.8,1.6,8.8,5.2,3.2,1.3,1.8,1.2,1.6,1.2,10.9,4.9,5.3,1.6,3.4,1.4,3.1,1.5,14.7,6.9,6.3,1.3,4.6,1.3,4.5,1.4,15.1,5.8,7.2,1.5,6.3,1.4,6.3,1.5,11.8,6.2,10.8,1.9,11.9,2.1,12.2,2.2,6.5,4.6,9.3,2.0,9.4,2.1,8.5,2.2,8.3,4.9,50.0,3.1,57.7,3.3,60.0,3.4,9.5,5.0,199444,18003,"250,000+",***,"250,000+",***,50854,14015,307100,19808,349580,22428,N,N,87162,17202,29.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,(X)
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2598,115,2084,112,1869,120,514,110,2.4,1.6,0.4,0.6,0.5,0.7,10.5,7.4,1.1,1.0,0.6,0.9,0.4,0.8,2.9,4.2,2.6,1.6,1.1,1.2,1.2,1.3,8.9,6.5,3.1,1.5,2.4,1.6,1.4,1.3,6.0,4.5,8.7,3.4,5.3,2.5,3.6,2.3,22.8,11.7,9.0,3.5,8.7,3.9,8.9,4.1,9.9,8.2,10.3,3.6,10.9,4.2,10.3,4.5,8.8,6.4,17.7,4.2,17.6,5.3,19.0,5.7,17.3,10.0,11.8,3.5,13.3,4.2,13.2,4.4,5.6,4.6,33.3,5.5,39.7,6.3,41.4,6.4,7.2,5.3,132000,18421,155227,13868,158194,16747,46136,24048,171108,13614,193850,15620,N,N,77466,16087,36.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.7,(X)
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",20194,360,14726,322,12542,355,5468,291,2.5,0.6,1.1,0.5,0.4,0.2,6.8,2.1,2.0,0.5,1.1,0.5,0.3,0.2,5.2,1.5,4.9,0.7,2.3,0.6,1.5,0.6,12.2,2.5,4.4,0.9,2.3,0.7,2.1,0.7,9.8,2.2,6.3,0.9,4.0,0.8,3.1,0.8,12.8,2.9,12.3,1.4,10.6,1.5,9.0,1.6,16.9,3.3,8.9,1.1,8.0,1.4,7.0,1.3,11.1,2.4,18.6,1.6,21.1,1.9,21.3,2.0,12.6,2.3,12.0,1.1,14.1,1.4,15.3,1.5,5.9,1.6,28.0,1.7,35.3,1.9,40.0,2.2,6.6,1.9,120082,5035,148785,4901,165201,6665,52544,4176,173929,6832,206910,8597,N,N,81318,7396,24.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.6,(X)
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",21994,390,15959,351,13558,381,6035,449,3.1,0.6,1.5,0.6,0.9,0.5,7.9,2.0,1.9,0.5,1.1,0.5,0.5,0.3,4.6,1.5,5.1,1.0,3.8,1.0,2.4,0.8,9.7,2.6,4.0,0.8,2.5,0.8,2.0,0.8,7.8,2.1,6.8,1.0,4.4,0.9,3.8,0.9,13.3,2.7,9.9,1.1,7.7,1.1,7.1,1.2,15.4,2.7,8.2,1.0,8.1,1.3,7.1,1.3,9.3,2.0,14.8,1.5,15.5,1.8,15.2,1.9,11.0,2.4,9.5,1.3,10.4,1.4,10.6,1.5,7.1,2.4,36.7,1.6,45.0,1.9,50.1,2.0,13.9,2.9,135258,7911,175509,11988,200385,10482,61563,6893,262067,12969,315972,16901,N,N,113490,12268,30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X)
