,town,2000,2014,2000_adj,diff,diff_pct,beat
0,Geography,,,,,,False
1,"County subdivisions not defined, Fairfield County, Connecticut",0.0,,0.0,,,False
2,"Bethel town, Fairfield County, Connecticut",68891.0,85377.0,94709.52,-9332.52,-9.8538351794,False
3,"Bridgeport town, Fairfield County, Connecticut",34658.0,41204.0,47646.9,-6442.9,-13.5221808764,False
4,"Brookfield town, Fairfield County, Connecticut",82706.0,106920.0,113702.02,-6782.02,-5.9647313214,False
5,"Danbury town, Fairfield County, Connecticut",53664.0,65981.0,73775.85,-7794.85,-10.5655848086,False
6,"Darien town, Fairfield County, Connecticut",146755.0,199444.0,201754.89,-2310.89,-1.14539479068,False
7,"Easton town, Fairfield County, Connecticut",125557.0,132000.0,172612.44,-40612.44,-23.5281072442,False
8,"Fairfield town, Fairfield County, Connecticut",83512.0,120082.0,114810.09,5271.91,4.59185251052,True
9,"Greenwich town, Fairfield County, Connecticut",99086.0,135258.0,136220.81,-962.81,-0.706800965286,False
10,"Monroe town, Fairfield County, Connecticut",85000.0,108688.0,116855.75,-8167.75,-6.98960042617,False
11,"New Canaan town, Fairfield County, Connecticut",141788.0,179810.0,194926.39,-15116.39,-7.75492225552,False
12,"New Fairfield town, Fairfield County, Connecticut",84375.0,101750.0,115996.52,-14246.52,-12.2818512142,False
13,"Newtown town, Fairfield County, Connecticut",90193.0,108667.0,123994.95,-15327.95,-12.3617534424,False
14,"Norwalk town, Fairfield County, Connecticut",59839.0,76051.0,82265.07,-6214.07,-7.55371629782,False
15,"Redding town, Fairfield County, Connecticut",104137.0,121667.0,143164.79,-21497.79,-15.0161153451,False
16,"Ridgefield town, Fairfield County, Connecticut",107351.0,147936.0,147583.31,352.69,0.238976887021,True
17,"Shelton town, Fairfield County, Connecticut",67292.0,88369.0,92511.26,-4142.26,-4.47757386506,False
18,"Sherman town, Fairfield County, Connecticut",76202.0,115442.0,104760.49,10681.51,10.1961245122,True
19,"Stamford town, Fairfield County, Connecticut",60556.0,77221.0,83250.79,-6029.79,-7.24292225936,False
20,"Stratford town, Fairfield County, Connecticut",53494.0,66451.0,73542.13,-7091.13,-9.64226899602,False
21,"Trumbull town, Fairfield County, Connecticut",79507.0,108554.0,109304.12,-750.12,-0.686268733512,False
22,"Weston town, Fairfield County, Connecticut",146697.0,208078.0,201675.15,6402.85,3.17483338924,True
23,"Westport town, Fairfield County, Connecticut",119872.0,151771.0,164796.85,-13025.85,-7.90418627541,False
24,"Wilton town, Fairfield County, Connecticut",141428.0,175019.0,194431.47,-19412.47,-9.98422220436,False
25,"Avon town, Hartford County, Connecticut",90934.0,116565.0,125013.66,-8448.66,-6.75818946506,False
26,"Berlin town, Hartford County, Connecticut",68068.0,87518.0,93578.08,-6060.08,-6.47596103703,False
27,"Bloomfield town, Hartford County, Connecticut",53812.0,73519.0,73979.31,-460.31,-0.622214508354,False
28,"Bristol town, Hartford County, Connecticut",47422.0,60208.0,65194.51,-4986.51,-7.6486655088,False
29,"Burlington town, Hartford County, Connecticut",82711.0,109037.0,113708.89,-4671.89,-4.10864093388,False
30,"Canton town, Hartford County, Connecticut",65013.0,89452.0,89378.15,73.85,0.0826264584801,True
31,"East Granby town, Hartford County, Connecticut",68696.0,71272.0,94441.44,-23169.44,-24.5331286774,False
