Town,obama_total_2008,clinton_total_2008,obama_per_2008,clinton_per_2008
Andover,172,185,46.24,49.73
Ansonia,566,966,35.82,61.14
Ashford,280,299,46.67,49.83
Avon,1068,964,51.49,46.48
Barkhamsted,216,166,54.68,42.03
Beacon Falls,181,288,37.17,59.14
Berlin,1005,1560,37.32,57.93
Bethany,347,292,53.06,44.65
Bethel,699,714,47.75,48.77
Bethlehem,235,152,58.17,37.62
Bloomfield,3451,1322,71.45,27.37
Bolton,342,301,51.98,45.74
Bozrah,135,147,45.76,49.83
Branford,1640,1652,48.46,48.82
Bridgeport,6528,4926,55.99,42.25
Bridgewater,128,95,53.56,39.75
Bristol,2589,3682,40.11,57.04
Brookfield,512,585,35.46,40.51
Brooklyn,271,322,43.29,51.44
Burlington,465,391,52.54,44.18
Canaan,118,37,74.68,23.42
Canterbury,169,221,41.32,54.03
Canton,681,518,56.33,42.85
Chaplin,116,118,48.13,48.96
Cheshire,1344,1313,49.34,48.2
Chester,355,243,58.01,39.71
Clinton,640,655,48.34,49.47
Colchester,661,782,44.27,52.38
Colebrook,93,58,57.06,35.58
Columbia,363,409,44.87,50.56
Cornwall,201,82,69.79,28.47
Coventry,619,609,48.66,47.88
Cromwell,724,863,44.28,52.78
Danbury,2125,2373,45.79,51.13
Darien,808,569,57.43,40.44
Deep River,329,285,52.64,45.6
Derby,416,795,33.17,63.4
Durham,377,332,51.71,45.54
East Granby,262,253,49.81,48.1
East Haddam,516,475,50.84,46.8
East Hampton,657,604,50.54,46.46
East Hartford,2736,2708,48.64,48.14
East Haven,644,1602,28.04,69.74
East Lyme,930,996,47.16,50.51
East Windsor,474,488,47.4,48.8
Eastford,90,80,50.85,45.2
Easton,374,305,54.12,44.14
Ellington,544,508,50.32,46.99
Enfield,1778,2227,42.71,53.5
Essex,549,371,58.78,39.72
Fairfield,2808,2530,51.49,46.4
Farmington,1506,1351,51.49,46.19
Franklin,75,84,44.91,50.3
Glastonbury,2427,1811,55.92,41.73
Goshen,151,127,52.25,43.94
Granby,689,508,56.57,41.71
Greenwich,2643,2254,52.99,45.19
Griswold,422,671,36.66,58.3
Groton,1403,1285,50.56,46.31
Guilford,1796,1219,58.43,39.66
Haddam,508,447,51.63,45.43
Hamden,5092,3664,56.93,40.96
Hampton,129,134,47.6,49.45
Hartford,7904,4561,62.31,35.96
Hartland,95,73,53.37,41.01
Harwinton,258,251,48.77,47.45
Hebron,538,487,51.43,46.56
Kent,297,178,61.36,36.78
Killingly,392,610,37.51,58.37
Killingworth,345,325,50.51,47.58
Lebanon,302,365,44.15,53.36
Ledyard,612,512,52.76,44.14
Lisbon,151,256,34.63,58.72
