"","Town","clinton_count","others_count","sanders_count","vote_diff","total","clinton_per","sanders_per","others_per","percent_diff"
"1","Andover",145,14,259,-114,418,34.7,62,3.3,-27.3
"2","Ansonia",582,33,610,-28,1225,47.5,49.8,2.7,-2.3
"3","Ashford",212,9,377,-165,598,35.5,63,1.5,-27.5
"4","Avon",1097,30,771,326,1898,57.8,40.6,1.6,17.2
"5","Barkhamsted",137,6,210,-73,353,38.8,59.5,1.7,-20.7
"6","Beacon Falls",150,16,270,-120,436,34.4,61.9,3.7,-27.5
"7","Berlin",1007,115,1108,-101,2230,45.2,49.7,5.2,-4.5
"8","Bethany",310,12,376,-66,698,44.4,53.9,1.7,-9.5
"9","Bethel",737,29,837,-100,1603,46,52.2,1.8,-6.2
"10","Bethlehem",144,11,226,-82,381,37.8,59.3,2.9,-21.5
"11","Bloomfield",2821,21,942,1879,3784,74.6,24.9,0.6,49.7
"12","Bolton",251,17,350,-99,618,40.6,56.6,2.8,-16
"13","Bozrah",102,12,163,-61,277,36.8,58.8,4.3,-22
"14","Branford",1626,52,1688,-62,3366,48.3,50.1,1.5,-1.8
"15","Bridgeport",7278,164,3756,3522,11198,65,33.5,1.5,31.5
"16","Bridgewater",95,4,125,-30,224,42.4,55.8,1.8,-13.4
"17","Bristol",2235,127,2735,-500,5097,43.8,53.7,2.5,-9.90000000000001
"18","Brookfield",598,24,620,-22,1242,48.1,49.9,1.9,-1.8
"19","Brooklyn",225,18,315,-90,558,40.3,56.5,3.2,-16.2
"20","Canaan",54,2,126,-72,182,29.7,69.2,1.1,-39.5
"21","Canterbury",133,7,212,-79,352,37.8,60.2,2,-22.4
"22","Canton",540,28,674,-134,1242,43.5,54.3,2.3,-10.8
"23","Chaplin",69,5,140,-71,214,32.2,65.4,2.3,-33.2
"24","Cheshire",1342,23,1254,88,2619,51.2,47.9,0.9,3.3
"25","Chester",277,8,361,-84,646,42.9,55.9,1.2,-13
"26","Clinton",632,14,723,-91,1369,46.2,52.8,1,-6.59999999999999
"27","Colchester",624,26,977,-353,1627,38.4,60,1.6,-21.6
"28","Colebrook",53,9,86,-33,148,35.8,58.1,6.1,-22.3
"29","Columbia",267,10,408,-141,685,39,59.6,1.5,-20.6
"30","Cornwall",141,1,199,-58,341,41.3,58.4,0.3,-17.1
"31","Coventry",521,12,761,-240,1294,40.3,58.8,0.9,-18.5
"32","Cromwell",731,39,718,13,1488,49.1,48.3,2.6,0.800000000000004
"33","Danbury",2318,90,1907,411,4315,53.7,44.2,2.1,9.5
"34","Darien",832,2,363,469,1197,69.5,30.3,0.2,39.2
"35","Deep River",242,6,339,-97,587,41.2,57.8,1,-16.6
"36","Derby",460,29,494,-34,983,46.8,50.3,3,-3.5
"37","Durham",303,10,408,-105,721,42,56.6,1.4,-14.6
"38","East Granby",244,10,283,-39,537,45.4,52.7,1.9,-7.3
"39","East Haddam",407,18,570,-163,995,40.9,57.3,1.8,-16.4
"40","East Hampton",506,22,738,-232,1266,40,58.3,1.7,-18.3
"41","East Hartford",2419,110,1821,598,4350,55.6,41.9,2.5,13.7
"42","East Haven",939,56,917,22,1912,49.1,48,2.9,1.1
"43","East Lyme",1013,27,977,36,2017,50.2,48.4,1.3,1.8
