Town,Reported,eligible.voters,voted,absentee,absentee.counted,edr,edr.counted,turnout
Andover,,0,0,0,0,0,0,0.00%
Ansonia,7 of 7 (100%),"3,056","1,179",34,34,0,0,38.58%
Ashford,1 of 1 (100%),"1,013",598,24,24,0,0,59.03%
Avon,,0,0,0,0,0,0,0.00%
Barkhamsted,1 of 1 (100%),724,339,16,14,0,0,46.82%
Beacon Falls,,0,0,0,0,0,0,0.00%
Berlin,,0,0,0,0,0,0,0.00%
Bethany,,0,0,0,0,0,0,0.00%
Bethel,1 of 1 (100%),"3,214","1,603",0,0,0,0,49.88%
Bethlehem,,0,0,0,0,0,0,0.00%
Bloomfield,5 of 5 (100%),"7,814","3,793",207,207,0,0,48.54%
Bolton,1 of 1 (100%),"1,042",596,22,21,0,0,57.20%
Bozrah,,0,0,0,0,0,0,0.00%
Branford,,0,0,0,0,0,0,0.00%
Bridgeport,24 of 24 (100%),"43,153","11,264",289,281,0,0,26.10%
Bridgewater,1 of 1 (100%),412,224,0,0,0,0,54.37%
Bristol,,0,0,0,0,0,0,0.00%
Brookfield,2 of 2 (100%),"2,388","1,167",72,72,0,0,48.87%
Brooklyn,,0,0,0,0,0,0,0.00%
Burlington,,0,0,0,0,0,0,0.00%
Canaan,1 of 1 (100%),293,168,14,14,0,0,57.34%
Canterbury,,0,0,0,0,0,0,0.00%
Canton,1 of 1 (100%),"2,308","1,244",68,67,0,0,53.90%
Chaplin,,0,0,0,0,0,0,0.00%
Cheshire,7 of 7 (100%),"4,879","2,473",0,0,0,0,50.69%
Chester,1 of 1 (100%),995,646,45,44,0,0,64.92%
Clinton,1 of 1 (100%),"2,306","1,160",0,0,0,0,50.30%
Colchester,,0,0,0,0,0,0,0.00%
Colebrook,,0,0,0,0,0,0,0.00%
Columbia,1 of 1 (100%),"1,248",686,19,18,0,0,54.97%
Cornwall,1 of 1 (100%),440,341,42,42,0,0,77.50%
Coventry,1 of 1 (100%),"2,371","1,294",0,0,0,0,54.58%
Cromwell,,0,0,0,0,0,0,0.00%
Danbury,,0,0,0,0,0,0,0.00%
Darien,,0,0,0,0,0,0,0.00%
Deep River,,0,0,0,0,0,0,0.00%
Derby,3 of 3 (100%),"2,297",940,43,41,0,0,40.92%
Durham,,0,0,0,0,0,0,0.00%
Eastford,,0,0,0,0,0,0,0.00%
East Granby,,0,0,0,0,0,0,0.00%
East Haddam,,0,0,0,0,0,0,0.00%
East Hampton,,0,0,0,0,0,0,0.00%
East Hartford,,0,0,0,0,0,0,0.00%
East Haven,7 of 7 (100%),"5,572","1,819",97,91,0,0,32.65%
East Lyme,3 of 3 (100%),"3,658","1,899",118,118,0,0,51.91%
Easton,1 of 1 (100%),"1,275",687,31,31,0,0,53.88%
