"","Town","kasich_count","others_count","trump_count","vote_diff","total","trump_per","kasich_per","others_per","percent_diff"
"1","Andover",80,53,163,83,296,55.1,27,17.9,28.1
"2","Ansonia",96,134,497,401,727,68.4,13.2,18.4,55.2
"3","Ashford",70,67,158,88,295,53.6,23.7,22.7,29.9
"4","Avon",811,275,1027,216,2113,48.6,38.4,13,10.2
"5","Barkhamsted",127,80,242,115,449,53.9,28.3,17.8,25.6
"6","Beacon Falls",89,71,358,269,518,69.1,17.2,13.7,51.9
"7","Berlin",437,216,1256,819,1909,65.8,22.9,11.3,42.9
"8","Bethany",138,80,379,241,597,63.5,23.1,13.4,40.4
"9","Bethel",372,214,1025,653,1611,63.6,23.1,13.3,40.5
"10","Bethlehem",84,61,348,264,493,70.6,17,12.4,53.6
"11","Bloomfield",291,117,304,13,712,42.7,40.9,16.4,1.8
"12","Bolton",144,85,307,163,536,57.3,26.9,15.9,30.4
"13","Bozrah",42,31,100,58,173,57.8,24.3,17.9,33.5
"14","Branford",420,266,1010,590,1696,59.6,24.8,15.7,34.8
"15","Bridgeport",251,276,694,443,1221,56.8,20.6,22.6,36.2
"16","Bridgewater",70,39,147,77,256,57.4,27.3,15.2,30.1
"17","Bristol",620,496,1971,1351,3087,63.8,20.1,16.1,43.7
"18","Brookfield",497,239,1090,593,1826,59.7,27.2,13.1,32.5
"19","Brooklyn",120,67,313,193,500,62.6,24,13.4,38.6
"20","Burlington",244,137,542,298,923,58.7,26.4,14.8,32.3
"21","Canaan",30,15,52,22,97,53.6,30.9,15.5,22.7
"22","Canterbury",84,97,351,267,532,66,15.8,18.2,50.2
"23","Canton",362,173,595,233,1130,52.7,32,15.3,20.7
"24","Chaplin",38,37,129,91,204,63.2,18.6,18.1,44.6
"25","Cheshire",694,354,1364,670,2412,56.6,28.8,14.7,27.8
"26","Chester",103,32,133,30,268,49.6,38.4,11.9,11.2
"27","Clinton",295,158,705,410,1158,60.9,25.5,13.6,35.4
"28","Colchester",322,198,698,376,1218,57.3,26.4,16.3,30.9
"29","Colebrook",23,24,97,74,144,67.4,16,16.7,51.4
"30","Columbia",132,63,309,177,504,61.3,26.2,12.5,35.1
"31","Cornwall",43,11,54,11,108,50,39.8,10.2,10.2
"32","Coventry",227,137,525,298,889,59.1,25.5,15.4,33.6
"33","Cromwell",329,147,632,303,1108,57,29.7,13.3,27.3
"34","Danbury",651,441,2097,1446,3189,65.8,20.4,13.8,45.4
"35","Darien",1284,222,1070,-214,2576,41.5,49.8,8.6,-8.3
"36","Deep River",94,38,173,79,305,56.7,30.8,12.5,25.9
"37","Derby",59,58,357,298,474,75.3,12.4,12.2,62.9
"38","Durham",224,117,473,249,814,58.1,27.5,14.4,30.6
"39","East Granby",178,83,302,124,563,53.6,31.6,14.7,22
"40","East Haddam",185,129,496,311,810,61.2,22.8,15.9,38.4
"41","East Hampton",267,167,574,307,1008,56.9,26.5,16.6,30.4
"42","East Hartford",277,221,688,411,1186,58,23.4,18.6,34.6
"43","East Haven",178,143,964,786,1285,75,13.9,11.1,61.1
"44","East Lyme",523,206,853,330,1582,53.9,33.1,13,20.8
"45","East Windsor",127,108,406,279,641,63.3,19.8,16.8,43.5
"46","Eastford",60,56,94,34,210,44.8,28.6,26.7,16.2
"47","Easton",288,89,497,209,874,56.9,33,10.2,23.9
"48","Ellington",360,203,739,379,1302,56.8,27.6,15.6,29.2
"49","Enfield",539,346,1518,979,2403,63.2,22.4,14.4,40.8
"50","Essex",297,89,407,110,793,51.3,37.5,11.2,13.8
"51","Fairfield",2183,581,2597,414,5361,48.4,40.7,10.8,7.7
"52","Farmington",651,278,1125,474,2054,54.8,31.7,13.5,23.1
"53","Franklin",54,30,89,35,173,51.4,31.2,17.3,20.2
"54","Glastonbury",1366,299,1521,155,3186,47.7,42.9,9.4,4.8
"55","Goshen",101,54,261,160,416,62.7,24.3,13,38.4
"56","Granby",479,237,666,187,1382,48.2,34.7,17.1,13.5
"57","Greenwich",2591,655,3007,416,6253,48.1,41.4,10.5,6.7
"58","Griswold",132,103,502,370,737,68.1,17.9,14,50.2
"59","Groton",561,279,991,430,1831,54.1,30.6,15.2,23.5
"60","Guilford",589,286,973,384,1848,52.7,31.9,15.5,20.8
"61","Haddam",206,102,495,289,803,61.6,25.7,12.7,35.9
"62","Hamden",558,420,1189,631,2167,54.9,25.7,19.4,29.2
"63","Hampton",45,30,105,60,180,58.3,25,16.7,33.3
"64","Hartford",158,121,265,107,544,48.7,29,22.2,19.7
"65","Hartland",60,87,193,133,340,56.8,17.6,25.6,39.2
"66","Harwinton",152,99,427,275,678,63,22.4,14.6,40.6
"67","Hebron",263,135,476,213,874,54.5,30.1,15.4,24.4
"68","Kent",93,42,126,33,261,48.3,35.6,16.1,12.7
"69","Killingly",115,130,477,362,722,66.1,15.9,18,50.2
"70","Killingworth",219,106,454,235,779,58.3,28.1,13.6,30.2
"71","Lebanon",169,109,416,247,694,59.9,24.4,15.7,35.5
"72","Ledyard",361,228,642,281,1231,52.2,29.3,18.5,22.9
"73","Lisbon",79,44,189,110,312,60.6,25.3,14.1,35.3
"74","Litchfield",289,151,568,279,1008,56.3,28.7,15,27.6
"75","Lyme",124,47,137,13,308,44.5,40.3,15.3,4.2
"76","Madison",817,241,974,157,2032,47.9,40.2,11.9,7.7
"77","Manchester",797,403,1372,575,2572,53.3,31,15.7,22.3
"78","Mansfield",262,119,305,43,686,44.5,38.2,17.3,6.3
"79","Marlborough",186,82,355,169,623,57,29.9,13.2,27.1
"80","Meriden",368,352,1189,821,1909,62.3,19.3,18.4,43
"81","Middlebury",285,125,770,485,1180,65.3,24.2,10.6,41.1
"82","Middlefield",77,62,198,121,337,58.8,22.8,18.4,36
"83","Middletown",443,316,1060,617,1819,58.3,24.4,17.4,33.9
"84","Milford",791,483,2341,1550,3615,64.8,21.9,13.4,42.9
"85","Monroe",466,217,1110,644,1793,61.9,26,12.1,35.9
"86","Montville",210,169,592,382,971,61,21.6,17.4,39.4
"87","Morris",84,41,191,107,316,60.4,26.6,13,33.8
"88","Naugatuck",307,262,1163,856,1732,67.1,17.7,15.1,49.4
"89","New Britain",296,255,846,550,1397,60.6,21.2,18.3,39.4
"90","New Canaan",1362,317,1168,-194,2847,41,47.8,11.1,-6.8
"91","New Fairfield",287,153,865,578,1305,66.3,22,11.7,44.3
"92","New Hartford",211,138,483,272,832,58.1,25.4,16.6,32.7
"93","New Haven",336,276,509,173,1121,45.4,30,24.6,15.4
"94","New London",137,76,268,131,481,55.7,28.5,15.8,27.2
"95","New Millford",466,327,1334,868,2127,62.7,21.9,15.4,40.8
"96","Newington",421,202,1105,684,1728,63.9,24.4,11.7,39.5
"97","Newtown",828,436,1654,826,2918,56.7,28.4,14.9,28.3
"98","Norfolk",36,22,73,37,131,55.7,27.5,16.8,28.2
"99","North Branford",175,148,729,554,1052,69.3,16.6,14.1,52.7
"100","North Canaan",62,43,147,85,252,58.3,24.6,17.1,33.7
"101","North Haven",460,267,1323,863,2050,64.5,22.4,13,42.1
"102","North Stonington",127,73,351,224,551,63.7,23,13.2,40.7
