"","town","poll_num","roque_m","roque_a","roque_t","clinton_m","clinton_a","clinton_t","sanders_m","sanders_a","sanders_t","uncom_m","uncom_a","uncom_t","names_registry","checked_voted","overseas","polling","absentee","edr","total_votes"
"1","Andover","DISTRICT 1","1","0","1","141","4","145","254","5","259","13","0","13","0","0","0","409","9","0","418"
"3","Ansonia","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ansonia","DISTRICT 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Ansonia","DISTRICT 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Ansonia","DISTRICT 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ansonia","DISTRICT 5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Ansonia","DISTRICT 6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Ansonia","DISTRICT 7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Ashford","DISTRICT 1","3","0","3","205","7","212","360","17","377","6","0","6","1,013","598","0","574","24","0","598"
"13","Avon","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Avon","DISTRICT 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Avon","DISTRICT 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Barkhamsted","DISTRICT 1","2","0","2","131","6","137","201","9","210","4","0","4","724","339","1","338","15","0","353"
"19","Beacon Falls","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Berlin","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Berlin","DISTRICT 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Berlin","DISTRICT 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Berlin","DISTRICT 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Berlin","DISTRICT 5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Bethany","DISTRICT 1","2","0","2","305","5","310","353","23","376","10","0","10","0","0","0","670","28","0","698"
"29","Bethel","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","3,214","1,603","0","0","0","0","0"
"31","Bethlehem","DISTRICT 1","0","0","0","144","0","144","226","0","226","11","0","11","0","0","0","381","0","0","381"
"33","Bloomfield","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Bloomfield","DISTRICT 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Bloomfield","DISTRICT 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Bloomfield","DISTRICT 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Bloomfield","DISTRICT 5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
