"","town","poll_num","cruz_m","cruz_a","cruz_t","carson_m","carson_a","carson_t","trump_m","trump_a","trump_t","kasich_m","kasich_a","kasich_t","uncom_m","uncom_a","uncom_t","names_registry","checked_voted","overseas","polling","absentee","edr","total_votes"
"1","Andover","DISTRICT 1","40","2","42","4","0","4","162","1","163","78","2","80","7","0","7","0","0","0","291","5","0","296"
"3","Ansonia","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Ansonia","DISTRICT 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Ansonia","DISTRICT 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Ansonia","DISTRICT 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ansonia","DISTRICT 5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Ansonia","DISTRICT 6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Ansonia","DISTRICT 7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Ashford","DISTRICT 1","50","0","50","11","1","12","156","2","158","67","3","70","5","0","5","533","295","0","289","6","0","295"
"13","Avon","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Avon","DISTRICT 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Avon","DISTRICT 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Barkhamsted","DISTRICT 1","65","3","68","8","1","9","236","6","242","123","4","127","3","0","3","793","434","0","435","14","0","449"
"19","Beacon Falls","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Berlin","DISTRICT 1","21","4","25","1","1","2","134","18","152","45","14","59","1","2","3","0","0","0","202","39","0","241"
"22","Berlin","DISTRICT 2","44","0","44","4","0","4","252","0","252","86","0","86","5","0","5","0","0","0","391","0","0","391"
"23","Berlin","DISTRICT 3","35","0","35","1","0","1","249","0","249","77","0","77","0","0","0","0","0","0","362","0","0","362"
"24","Berlin","DISTRICT 4","33","0","33","6","0","6","246","0","246","76","0","76","5","0","5","0","0","0","366","0","0","366"
"25","Berlin","DISTRICT 5","43","0","43","5","0","5","357","0","357","139","0","139","5","0","5","0","0","0","549","0","0","549"
"27","Bethany","DISTRICT 1","68","2","70","5","0","5","369","10","379","136","2","138","5","0","5","0","0","0","583","14","0","597"
"29","Bethel","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Bethlehem","DISTRICT 1","49","0","49","4","0","4","348","0","348","84","0","84","8","0","8","0","0","0","493","0","0","493"
"33","Bloomfield","DISTRICT 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Bloomfield","DISTRICT 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
