"","town","poll_num","cruz_m","cruz_a","cruz_t","carson_m","carson_a","carson_t","trump_m","trump_a","trump_t","kasich_m","kasich_a","kasich_t","uncom_m","uncom_a","uncom_t","names_registry","checked_voted","overseas","polling","absentee","edr","total_votes"
"2","Andover","Grand Total for Town","40","2","42","4","0","4","162","1","163","78","2","80","7","0","7","0","0","0","291","5","0","296"
"10","Ansonia","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Ashford","Grand Total for Town","50","0","50","11","1","12","156","2","158","67","3","70","5","0","5","533","295","0","289","6","0","295"
"16","Avon","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Barkhamsted","Grand Total for Town","65","3","68","8","1","9","236","6","242","123","4","127","3","0","3","793","434","0","435","14","0","449"
"20","Beacon Falls","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Berlin","Grand Total for Town","176","4","180","17","1","18","1,238","18","1,256","423","14","437","16","2","18","0","0","0","1,870","39","0","1,909"
"28","Bethany","Grand Total for Town","68","2","70","5","0","5","369","10","379","136","2","138","5","0","5","0","0","0","583","14","0","597"
"30","Bethel","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Bethlehem","Grand Total for Town","49","0","49","4","0","4","348","0","348","84","0","84","8","0","8","0","0","0","493","0","0","493"
"38","Bloomfield","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Bolton","Grand Total for Town","70","1","71","8","0","8","301","6","307","133","11","144","6","0","6","947","518","0","518","18","0","536"
"42","Bozrah","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Branford","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2494","Bridgeport","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Bridgewater","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"326","Bristol","Grand Total for Town","410","29","439","20","2","22","1,922","49","1,971","593","27","620","33","2","35","0","0","0","2,978","109","0","3,087"
"92","Brookfield","Grand Total for Town","193","11","204","17","2","19","1,061","29","1,090","476","21","497","16","0","16","0","0","0","1,763","63","0","1,826"
"94","Brooklyn","Grand Total for Town","53","4","57","6","0","6","312","1","313","116","4","120","4","0","4","0","0","0","491","9","0","500"
"96","Burlington","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Canaan","Grand Total for Town","13","0","13","1","0","1","49","3","52","29","1","30","1","0","1","197","93","0","93","4","0","97"
"1001","Canterbury","Grand Total for Town","82","3","85","9","0","9","343","8","351","82","2","84","3","0","3","0","0","0","519","13","0","532"
"1021","Canton","Grand Total for Town","133","9","142","21","2","23","578","17","595","351","11","362","8","0","8","0","0","0","1,091","39","0","1,130"
"104","Chaplin","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Cheshire","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Chester","Grand Total for Town","26","1","27","1","1","2","127","6","133","101","2","103","3","0","3","512","268","0","258","10","0","268"
"116","Clinton","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,306","1,160","0","0","0","0","0"
"119","Colchester","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","Colebrook","Grand Total for Town","21","1","22","0","0","0","96","1","97","23","0","23","2","0","2","0","0","0","142","2","0","144"
"123","Columbia","Grand Total for Town","55","3","58","1","0","1","303","6","309","128","4","132","4","0","4","898","504","0","491","13","0","504"
"125","Cornwall","Grand Total for Town","7","0","7","0","0","0","52","2","54","39","4","43","4","0","4","196","108","0","102","6","0","108"
"127","Coventry","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","Cromwell","Grand Total for Town","126","0","126","8","0","8","632","0","632","329","0","329","13","0","13","2,140","1,108","0","1,108","0","0","1,108"
"137","Danbury","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","Darien","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","Deep River","Grand Total for Town","29","0","29","5","0","5","168","5","173","91","3","94","4","0","4","0","0","0","297","8","0","305"
"155","Derby","Grand Total for Town","55","0","55","1","0","1","345","11","356","57","2","59","2","0","2","933","460","0","460","13","0","473"
"152","Durham","Grand Total for Town","90","8","98","8","0","8","459","14","473","217","7","224","10","1","11","0","0","0","784","30","0","814"
"1541","East Granby","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","East Haddam","Grand Total for Town","111","3","114","5","0","5","483","13","496","176","9","185","10","0","10","0","0","0","785","25","0","810"
"158","East Hampton","Grand Total for Town","146","6","152","4","0","4","568","6","574","255","12","267","11","0","11","0","0","0","984","24","0","1,008"
"160","East Hartford","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","East Haven","Grand Total for Town","103","8","111","5","4","9","921","43","964","167","9","176","19","4","23","0","0","0","1,215","68","0","1,283"
"176","East Lyme","Grand Total for Town","164","9","173","8","2","10","817","36","853","500","23","523","21","2","23","2,781","1,435","0","1,510","72","0","1,582"
"187","East Windsor","Grand Total for Town","29","0","29","8","0","8","185","3","188","46","4","50","3","0","3","0","0","0","271","7","0","278"
"184","Eastford","Grand Total for Town","46","2","48","3","0","3","91","3","94","56","4","60","5","0","5","0","0","0","201","9","0","210"
"1861","Easton","Grand Total for Town","68","2","70","2","1","3","487","10","497","281","7","288","16","0","16","1,799","861","0","854","20","0","874"
"1891","Ellington","Grand Total for Town","179","7","186","13","0","13","733","10","743","357","8","365","8","1","9","0","0","0","1,290","26","0","1,316"
"191","Enfield","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","Essex","Grand Total for Town","71","2","73","6","0","6","389","18","407","277","20","297","7","3","10","0","0","0","750","43","0","793"
"219","Fairfield","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2301","Farmington","Grand Total for Town","229","8","237","14","0","14","1,084","41","1,125","613","38","651","25","2","27","0","0","0","1,965","89","0","2,054"
"2152","Franklin","Grand Total for Town","25","5","30","0","0","0","89","0","89","52","2","54","0","0","0","321","173","0","166","7","0","173"
"222","Glastonbury","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"225","Goshen","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"227","Granby","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2551","Greenwich","Grand Total for Town","167","32","199","10","0","10","769","146","915","722","137","859","17","9","26","12,502","6,172","0","1,685","324","0","2,009"
"2461","Griswold","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2542","Groton","Grand Total for Town","209","17","226","24","1","25","964","27","991","535","26","561","27","1","28","3,579","1,751","0","1,759","72","0","1,831"
"260","Guilford","Grand Total for Town","233","11","244","19","0","19","943","30","973","565","24","589","21","2","23","0","0","0","1,781","67","0","1,848"
"2641","Haddam","Grand Total for Town","89","6","95","4","0","4","476","19","495","193","13","206","3","0","3","0","0","0","765","38","0","803"
"266","Hamden","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"268","Hampton","Grand Total for Town","23","0","23","2","0","2","104","1","105","44","1","45","4","1","5","337","180","0","177","3","0","180"
"293","Hartford","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"295","Hartland","Grand Total for Town","73","0","73","12","0","12","190","3","193","59","1","60","2","0","2","625","335","0","336","4","0","340"
"297","Harwinton","Grand Total for Town","85","2","87","9","0","9","416","11","427","151","1","152","3","0","3","0","0","0","664","14","0","678"
"299","Hebron","Grand Total for Town","120","0","120","9","0","9","476","0","476","263","0","263","6","0","6","1,710","876","0","874","0","0","874"
