Town,mccain_total_2008,romney_total_2008,mccain_per_2008,romney_per_2008
Andover,95,82,44.6,38.5
Ansonia,185,128,47.93,33.16
Ashford,81,64,42.19,33.33
Avon,863,658,51.4,39.19
Barkhamsted,128,106,45.88,37.99
Beacon Falls,146,86,53.48,31.5
Berlin,519,427,47.01,38.68
Bethany,201,118,52.21,30.65
Bethel,484,321,49.85,33.06
Bethlehem,160,116,47.34,34.32
Bloomfield,328,250,48.81,37.2
Bolton,189,126,48.09,32.06
Bozrah,68,48,45.95,32.43
Branford,480,292,54.61,33.22
Bridgeport,552,229,56.27,23.34
Bridgewater,104,67,53.89,34.72
Bristol,750,547,46.04,33.58
Brookfield,668,476,50.15,35.74
Brooklyn,152,118,47.06,36.53
Burlington,276,182,49.46,32.62
Canaan,37,22,45.68,27.16
Canterbury,139,138,37.27,37
Canton,338,284,47.34,39.78
Chaplin,68,33,50,24.26
Cheshire,866,573,51.21,33.89
Chester,117,60,52.7,27.03
Clinton,437,257,54.56,32.08
Colchester,381,250,48.85,32.05
Colebrook,36,42,39.56,46.15
Columbia,195,105,52.99,28.53
Cornwall,44,24,45.83,25
Coventry,247,193,46.43,36.28
Cromwell,325,242,48.95,36.45
Danbury,1084,787,49.32,35.81
Darien,1580,758,62.48,29.97
Deep River,133,60,58.33,26.32
Derby,142,73,52.01,26.74
Durham,292,181,53.97,33.46
East Granby,198,164,47.03,38.95
East Haddam,222,163,47.54,34.9
East Hampton,293,229,47.33,37
East Hartford,471,344,45.42,33.17
East Haven,322,170,54.58,28.81
East Lyme,594,313,57.56,30.33
East Windsor,193,178,44.06,40.64
Eastford,71,51,38.8,27.87
Easton,382,229,54.26,32.53
Ellington,314,275,45.11,39.51
Enfield,648,621,41.7,39.96
Essex,348,202,57.24,33.22
Fairfield,2399,1003,62.9,26.3
Farmington,816,668,47.39,38.79
Franklin,61,30,51.69,25.42
Glastonbury,1190,866,51.92,37.78
Goshen,154,105,50,34.09
Granby,461,415,46.42,41.79
Greenwich,3449,1717,60.94,30.34
Griswold,182,124,42.82,29.18
Groton,686,405,51.58,30.45
Guilford,785,438,56.56,31.56
Haddam,229,165,49.46,35.64
Hamden,898,532,51.7,30.63
Hampton,80,29,57.55,20.86
Hartford,236,176,43.46,32.41
Hartland,86,91,34.96,36.99
Harwinton,158,143,42.47,38.44
Hebron,304,187,53.9,33.16
Kent,140,60,58.82,25.21
Killingly,211,138,45.38,29.68
Killingworth,238,140,54.97,32.33
Lebanon,236,138,49.58,28.99
Ledyard,482,345,47.72,34.16
Lisbon,91,81,45.27,40.3
Litchfield,398,255,51.62,33.07
Lyme,173,68,64.55,25.37
Madison,872,468,57.82,31.03
Manchester,908,740,44.21,36.03
Mansfield,256,157,51.41,31.53
Marlborough,193,154,46.62,37.2
Meriden,642,402,46.66,29.22
Middlebury,563,340,53.16,32.11
Middlefield,110,71,50.46,32.57
Middletown,620,370,49.96,29.81
Milford,1213,655,54.91,29.65
Monroe,530,337,52.37,33.3
Montville,248,174,46.36,32.52
Morris,101,63,46.12,28.77
Naugatuck,477,295,47.56,29.41
New Britain,493,344,46.55,32.48
New Canaan,1663,955,59.37,34.09
New Fairfield,426,312,50.24,36.79
New Hartford,234,196,44.23,37.05
New Haven,418,265,46.6,29.54
New London,214,118,51.82,28.57
New Milford,768,458,50.33,30.01
Newington,549,395,48.93,35.2
Newtown,1043,660,52.62,33.3
Norfolk,39,28,46.43,33.33
North Branford,293,191,50.43,32.87
North Canaan,109,40,58.29,21.39
North Haven,702,403,54.42,31.24
North Stonington,179,131,48.25,35.31
Norwalk,1556,856,56.34,30.99
Norwich,348,232,47.48,31.65
Old Lyme,413,221,55.96,29.95
Old Saybrook,538,265,58.48,28.8
Orange,518,281,57.56,31.22
Oxford,440,250,53.27,30.27
Plainfield,212,156,45.2,33.26
Plainville,324,218,46.02,30.97
Plymouth,173,132,41.59,31.73
Pomfret,146,83,51.23,29.12
Portland,235,162,48.86,33.68
Preston,122,68,54.22,30.22
Prospect,260,152,50,29.23
Putnam,138,84,47.92,29.17
Redding,547,268,59.2,29
Ridgefield,1235,786,54.6,34.75
Rocky Hill,425,281,50.96,33.69
Roxbury,132,77,56.9,33.19
Salem,149,73,57.75,28.29
Salisbury,144,50,57.37,19.92
Scotland,47,28,43.93,26.17
Seymour,341,193,53.62,30.35
Sharon,120,53,60,26.5
Shelton,1285,615,58.04,27.78
Sherman,170,118,51.52,35.76
Simsbury,1176,932,49.87,39.53
Somers,208,286,36.68,50.44
South Windsor,623,509,48.03,39.24
Southbury,997,622,53.17,33.17
Southington,978,745,47.73,36.36
Sprague,78,41,52.7,27.7
Stafford,198,158,46.05,36.74
Stamford,3099,1582,57.52,29.36
Sterling,64,37,52.46,30.33
Stonington,536,359,52.55,35.2
Stratford,1127,531,58.03,27.34
Suffield,379,383,43.17,43.62
Thomaston,168,141,42.11,35.34
Thompson,177,148,42.24,35.32
Tolland,390,280,47.97,34.44
Torrington,512,489,38.55,36.82
Trumbull,1075,607,54.16,30.58
Union,64,26,59.81,24.3
Vernon,486,415,44.06,37.62
Voluntown,44,35,39.64,31.53
Wallingford,792,534,49.91,33.65
Warren,77,22,54.23,15.49
Washington,190,85,56.89,25.45
Waterbury,743,510,45.14,30.98
Waterford,426,281,49.13,32.41
Watertown,609,427,50.62,35.49
West Hartford,1497,1089,51.44,37.42
West Haven,420,227,52.11,28.16
Westbrook,245,125,57.78,29.48
Weston,538,214,65.21,25.94
Westport,1440,572,65.37,25.96
Wethersfield,633,579,43.96,40.21
Willington,121,113,42.31,39.51
Wilton,1140,593,59.81,31.11
Winchester,198,145,47.6,34.86
Windham,235,139,46.26,27.36
Windsor,495,435,44.12,38.77
Windsor Locks,200,184,43.1,39.66
Wolcott,330,253,45.83,35.14
Woodbridge,345,168,59.48,28.97
Woodbury,530,392,49.21,36.4
Woodstock,283,273,41.74,40.27
