Town,Reported,eligible.voters,voted,absentee,absentee.counted,edr,edr.counted,turnout
Andover,,0,0,0,0,0,0,0.00%
Ansonia,7 of 7 (100%),"1,414",703,22,22,0,0,49.72%
Ashford,1 of 1 (100%),533,295,6,6,0,0,55.35%
Avon,,0,0,0,0,0,0,0.00%
Barkhamsted,1 of 1 (100%),793,434,14,14,0,0,54.73%
Beacon Falls,,0,0,0,0,0,0,0.00%
Berlin,,0,0,0,0,0,0,0.00%
Bethany,,0,0,0,0,0,0,0.00%
Bethel,1 of 1 (100%),"3,205","1,611",0,0,0,0,50.27%
Bethlehem,,0,0,0,0,0,0,0.00%
Bloomfield,5 of 5 (100%),"1,399",713,74,74,0,0,50.96%
Bolton,1 of 1 (100%),947,518,18,18,0,0,54.70%
Bozrah,,0,0,0,0,0,0,0.00%
Branford,8 of 8 (100%),"3,292","1,631",65,65,0,0,49.54%
Bridgeport,24 of 24 (100%),"3,777","1,193",56,55,0,0,31.59%
Bridgewater,1 of 1 (100%),422,256,0,0,0,0,60.66%
Bristol,,0,0,0,0,0,0,0.00%
Brookfield,,0,0,0,0,0,0,0.00%
Brooklyn,,0,0,0,0,0,0,0.00%
Burlington,,0,0,0,0,0,0,0.00%
Canaan,1 of 1 (100%),197,93,4,4,0,0,47.21%
Canterbury,,0,0,0,0,0,0,0.00%
Canton,1 of 1 (100%),"2,226","1,132",40,39,0,0,50.85%
Chaplin,,0,0,0,0,0,0,0.00%
Cheshire,7 of 7 (100%),"4,520","2,316",0,0,0,0,51.24%
Chester,1 of 1 (100%),512,268,11,10,0,0,52.34%
Clinton,1 of 1 (100%),"2,306","1,160",0,0,0,0,50.30%
Colchester,,0,0,0,0,0,0,0.00%
Colebrook,,0,0,0,0,0,0,0.00%
Columbia,1 of 1 (100%),898,504,13,13,0,0,56.12%
Cornwall,1 of 1 (100%),196,108,6,6,0,0,55.10%
Coventry,1 of 1 (100%),"1,725",889,0,0,0,0,51.54%
Cromwell,1 of 1 (100%),"2,140","1,108",0,0,0,0,51.78%
Danbury,,0,0,0,0,0,0,0.00%
Darien,,0,0,0,0,0,0,0.00%
Deep River,,0,0,0,0,0,0,0.00%
Derby,3 of 3 (100%),933,460,43,43,0,0,49.30%
Durham,1 of 1 (100%),"1,499",814,30,30,0,0,54.30%
Eastford,,0,0,0,0,0,0,0.00%
East Granby,,0,0,0,0,0,0,0.00%
East Haddam,,0,0,0,0,0,0,0.00%
East Hampton,,0,0,0,0,0,0,0.00%
East Hartford,,0,0,0,0,0,0,0.00%
East Haven,7 of 7 (100%),"2,975","1,216",66,66,0,0,40.87%
East Lyme,3 of 3 (100%),"2,781","1,435",75,73,0,0,51.60%
Easton,1 of 1 (100%),"1,704",855,20,20,0,0,50.18%
East Windsor,,0,0,0,0,0,0,0.00%
Ellington,2 of 2 (100%),"2,561","1,302",30,30,0,0,50.84%
Enfield,,0,0,0,0,0,0,0.00%
Essex,,0,0,0,0,0,0,0.00%
Fairfield,1 of 11 (9.09%),"11,031","5,361",0,0,0,0,48.60%
Farmington,4 of 4 (100%),"4,585","2,127",97,97,0,0,46.39%
Franklin,1 of 1 (100%),321,173,7,7,0,0,53.89%
