"","COUSUBFP10","COUSUBNS10","GEOID10","NAME10","Count","Blank","Type","perc_urban"
"2",4720,213390,900104720,"Bethel",413,35,"Mixed",91.53
"3",8070,213396,900108070,"Bridgeport",2224,11,"Mixed",99.51
"4",8980,213399,900108980,"Brookfield",378,23,"Mixed",93.92
"5",18500,213415,900118500,"Danbury",1432,100,"Mixed",93.02
"6",18850,213416,900118850,"Darien",682,35,"Mixed",94.87
"7",23890,213427,900123890,"Easton",287,205,"Mixed",28.57
"8",26620,213429,900126620,"Fairfield",1463,41,"Mixed",97.2
"9",33620,213435,900133620,"Greenwich",2075,420,"Mixed",79.76
"10",48620,213463,900148620,"Monroe",563,113,"Mixed",79.93
"11",50580,213468,900150580,"New Canaan",532,16,"Mixed",96.99
"12",50860,213469,900150860,"New Fairfield",375,47,"Mixed",87.47
"13",52980,213475,900152980,"Newtown",976,273,"Mixed",72.03
"14",56060,213481,900156060,"Norwalk",1785,43,"Mixed",97.59
"15",63480,213495,900163480,"Redding",364,249,"Mixed",31.59
"16",63970,213496,900163970,"Ridgefield",733,100,"Mixed",86.36
"17",68170,213504,900168170,"Shelton",933,0,"Urban",100
"18",68310,213505,900168310,"Sherman",205,158,"Mixed",22.93
"19",73070,213511,900173070,"Stamford",1862,93,"Mixed",95.01
"20",74190,213514,900174190,"Stratford",1189,5,"Mixed",99.58
"21",77200,213518,900177200,"Trumbull",1111,3,"Mixed",99.73
"22",83430,213531,900183430,"Weston",289,51,"Mixed",82.35
"23",83500,213532,900183500,"Westport",932,33,"Mixed",96.46
"24",86370,213535,900186370,"Wilton",541,47,"Mixed",91.31
"26",6820,213394,901106820,"Bozrah",189,162,"Mixed",14.29
"27",15910,213409,901115910,"Colchester",519,235,"Mixed",54.72
"28",23400,213426,901123400,"East Lyme",878,180,"Mixed",79.5
"29",29910,213431,901129910,"Franklin",121,119,"Mixed",1.65
"30",33900,213436,901133900,"Griswold",511,313,"Mixed",38.75
"31",34250,213437,901134250,"Groton",1154,179,"Mixed",84.49
"32",42390,213449,901142390,"Lebanon",357,346,"Mixed",3.08
"33",42600,213450,901142600,"Ledyard",852,545,"Mixed",36.03
"34",43230,213451,901143230,"Lisbon",171,148,"Mixed",13.45
"35",44210,213453,901144210,"Lyme",264,235,"Mixed",10.98
"36",48900,213464,901148900,"Montville",712,232,"Mixed",67.42
"37",52350,213473,901152350,"New London",635,4,"Mixed",99.37
"38",55500,213480,901155500,"North Stonington",349,349,"Rural",0
"39",56270,213482,901156270,"Norwich",1077,62,"Mixed",94.24
"40",57040,213483,901157040,"Old Lyme",573,202,"Mixed",64.75
"41",62150,213492,901162150,"Preston",294,210,"Mixed",28.57
"42",66210,213499,901166210,"Salem",202,187,"Mixed",7.43
"43",71670,213510,901171670,"Sprague",146,88,"Mixed",39.73
"44",73770,213513,901173770,"Stonington",854,288,"Mixed",66.28
"45",78600,213521,901178600,"Voluntown",221,221,"Rural",0
"46",80280,213526,901180280,"Waterford",878,166,"Mixed",81.09
"47",1430,213384,901501430,"Ashford",285,285,"Rural",0
"48",9190,213400,901509190,"Brooklyn",250,176,"Mixed",29.6
"49",12130,213403,901512130,"Canterbury",201,197,"Mixed",1.99
"50",13810,213405,901513810,"Chaplin",187,180,"Mixed",3.74
"51",21860,213420,901521860,"Eastford",271,271,"Rural",0
"52",36000,213441,901536000,"Hampton",171,171,"Rural",0
"53",40500,213447,901540500,"Killingly",887,433,"Mixed",51.18
"54",59980,213487,901559980,"Plainfield",523,229,"Mixed",56.21
"55",61030,213490,901561030,"Pomfret",277,271,"Mixed",2.17
"56",62710,213494,901562710,"Putnam",397,153,"Mixed",61.46
"57",1080,213382,901301080,"Andover",117,114,"Mixed",2.56
"58",6260,213393,901306260,"Bolton",201,86,"Mixed",57.21
"59",16400,213411,901316400,"Columbia",174,174,"Rural",0
"60",17800,213413,901317800,"Coventry",423,227,"Mixed",46.34
"61",25360,212330,901325360,"Ellington",432,131,"Mixed",69.68
"62",37910,213445,901337910,"Hebron",321,276,"Mixed",14.02
"63",44910,213456,901344910,"Mansfield",589,326,"Mixed",44.65
"64",67400,213501,901567400,"Scotland",103,103,"Rural",0
"65",73420,213512,901573420,"Sterling",179,179,"Rural",0
"66",75870,213516,901575870,"Thompson",534,383,"Mixed",28.28
"67",86790,213537,901586790,"Windham",616,143,"Mixed",76.79
"68",88190,213541,901588190,"Woodstock",479,471,"Mixed",1.67
"69",69220,212346,901369220,"Somers",350,126,"Mixed",64
"70",72090,212349,901372090,"Stafford",571,352,"Mixed",38.35
"71",76290,212667,901376290,"Tolland",418,188,"Mixed",55.02
"72",77830,213519,901377830,"Union",223,223,"Rural",0
"73",78250,213520,901378250,"Vernon",726,48,"Mixed",93.39
"74",85950,213534,901385950,"Willington",233,214,"Mixed",8.15
"75",2060,213385,900302060,"Avon",624,89,"Mixed",85.74
"76",4300,213388,900304300,"Berlin",653,83,"Mixed",87.29
"77",5910,213392,900305910,"Bloomfield",627,77,"Mixed",87.72
"78",8490,213398,900308490,"Bristol",1214,12,"Mixed",99.01
"79",10100,213401,900310100,"Burlington",319,239,"Mixed",25.08
"80",12270,213404,900312270,"Canton",291,96,"Mixed",67.01
"81",22070,213421,900322070,"East Granby",245,147,"Mixed",40
"82",22630,213424,900322630,"East Hartford",1011,0,"Urban",100
"83",24800,212329,900324800,"East Windsor",305,121,"Mixed",60.33
"84",25990,212332,900325990,"Enfield",937,39,"Mixed",95.84
"85",27600,213430,900327600,"Farmington",776,68,"Mixed",91.24
"86",31240,213432,900331240,"Glastonbury",892,146,"Mixed",83.63
"87",32640,213434,900332640,"Granby",380,193,"Mixed",49.21
"88",37070,213442,900337070,"Hartford",1443,0,"Urban",100
"89",37140,213443,900337140,"Hartland",163,163,"Rural",0
"90",44700,213455,900344700,"Manchester",1345,30,"Mixed",97.77
"91",45820,213457,900345820,"Marlborough",213,104,"Mixed",51.17
"92",50440,213467,900350440,"New Britain",1049,1,"Mixed",99.9
"93",52140,213472,900352140,"Newington",559,0,"Urban",100
"94",60120,213488,900360120,"Plainville",523,0,"Urban",100
