STATEFP10,COUNTYFP10,COUSUBFP10,COUSUBNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CNECTAFP10,NECTAFP10,NCTADVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
09,001,00000,00000000,0900100000,County subdivisions not defined,County subdivisions not defined,00,Z9,G4040,,,,F,0,302060009,+41.0779471,-073.2165184
09,001,04720,00213390,0900104720,Bethel,Bethel town,43,T1,G4040,720,72850,,A,43741119,100805,+41.3697777,-073.3895032
09,001,08070,00213396,0900108070,Bridgeport,Bridgeport town,43,T5,G4040,720,71950,,C,41372169,8719037,+41.1873858,-073.1957339
09,001,08980,00213399,0900108980,Brookfield,Brookfield town,43,T1,G4040,720,72850,,A,51211648,1543913,+41.4698845,-073.3936666
09,001,18500,00213415,0900118500,Danbury,Danbury town,43,T5,G4040,720,72850,,C,108499386,5829369,+41.4018389,-073.4722848
09,001,18850,00213416,0900118850,Darien,Darien town,43,T1,G4040,720,71950,,A,32777323,28024048,+41.0521498,-073.4797138
09,001,23890,00213427,0900123890,Easton,Easton town,43,T1,G4040,720,71950,,A,71013698,3217796,+41.2649447,-073.3004792
09,001,26620,00213429,0900126620,Fairfield,Fairfield town,43,T1,G4040,720,71950,,A,77447647,3827049,+41.1759399,-073.2720460
09,001,33620,00213435,0900133620,Greenwich,Greenwich town,43,T1,G4040,720,71950,,A,123340560,50949017,+41.0434601,-073.6284133
09,001,48620,00213463,0900148620,Monroe,Monroe town,43,T1,G4040,720,71950,,A,67527745,519191,+41.3392358,-073.2228275
09,001,50580,00213468,0900150580,New Canaan,New Canaan town,43,T1,G4040,720,71950,,A,57484075,851634,+41.1610538,-073.5011837
09,001,50860,00213469,0900150860,New Fairfield,New Fairfield town,43,T1,G4040,720,72850,,A,52944492,12204578,+41.4820807,-073.4876199
09,001,52980,00213475,0900152980,Newtown,Newtown town,43,T1,G4040,720,71950,,A,149335146,3649653,+41.3980947,-073.2931691
09,001,56060,00213481,0900156060,Norwalk,Norwalk town,43,T5,G4040,720,71950,,C,59207053,34948109,+41.0927388,-073.4197955
09,001,63480,00213495,0900163480,Redding,Redding town,43,T1,G4040,720,71950,,A,81582534,1448649,+41.3054148,-073.3925837
09,001,63970,00213496,0900163970,Ridgefield,Ridgefield town,43,T1,G4040,720,71950,,A,89394380,1304069,+41.3062494,-073.5010194
09,001,68170,00213504,0900168170,Shelton,Shelton town,43,T5,G4040,720,71950,,C,79320157,3307178,+41.3045153,-073.1390410
09,001,68310,00213505,0900168310,Sherman,Sherman town,43,T1,G4040,720,72850,,A,56699452,3915526,+41.5811909,-073.5014683
09,001,73070,00213511,0900173070,Stamford,Stamford town,43,T5,G4040,720,71950,,C,97483371,37309907,+41.0798566,-073.5460279
09,001,74190,00213514,0900174190,Stratford,Stratford town,43,T1,G4040,720,71950,,A,45275275,6310476,+41.2054753,-073.1281520
09,001,77200,00213518,0900177200,Trumbull,Trumbull town,43,T1,G4040,720,71950,,A,60405988,623554,+41.2728914,-073.2118988
09,001,83430,00213531,0900183430,Weston,Weston town,43,T1,G4040,720,71950,,A,51278336,2266804,+41.2281028,-073.3667574
09,001,83500,00213532,0900183500,Westport,Westport town,43,T1,G4040,720,71950,,A,51690333,34955867,+41.1220019,-073.3434064
09,001,86370,00213535,0900186370,Wilton,Wilton town,43,T1,G4040,720,71950,,A,69424550,1276093,+41.2065319,-073.4376073
09,011,00000,00000000,0901100000,County subdivisions not defined,County subdivisions not defined,00,Z9,G4040,,,,F,0,87264467,+41.2546899,-072.2261939
09,011,06820,00213394,0901106820,Bozrah,Bozrah town,43,T1,G4040,,76450,,A,51708108,723334,+41.5450583,-072.1752280
09,011,15910,00213409,0901115910,Colchester,Colchester town,43,T1,G4040,735,73450,,A,126865603,1865056,+41.5573768,-072.3442483
09,011,23400,00213426,0901123400,East Lyme,East Lyme town,43,T1,G4040,,76450,,A,88049933,20714343,+41.3567172,-072.2301310
09,011,29910,00213431,0901129910,Franklin,Franklin town,43,T1,G4040,,76450,,A,50476265,205575,+41.6212115,-072.1426091
09,011,33900,00213436,0901133900,Griswold,Griswold town,43,T1,G4040,,76450,,A,89889555,6111597,+41.5847725,-071.9210907
09,011,34250,00213437,0901134250,Groton,Groton town,43,T1,G4040,,76450,,A,80369360,36911361,+41.3475735,-072.0313358
09,011,42390,00213449,0901142390,Lebanon,Lebanon town,43,T1,G4040,735,73450,,A,140113256,2986571,+41.6329550,-072.2400896
09,011,42600,00213450,0901142600,Ledyard,Ledyard town,43,T1,G4040,,76450,,A,98986734,4617647,+41.4311315,-072.0203029
09,011,43230,00213451,0901143230,Lisbon,Lisbon town,43,T1,G4040,,76450,,A,42182968,1036105,+41.6027656,-072.0122611
09,011,44210,00213453,0901144210,Lyme,Lyme town,43,T1,G4040,,76450,,A,82466369,6806917,+41.3986146,-072.3315456
09,011,48900,00213464,0901148900,Montville,Montville town,43,T1,G4040,,76450,,A,108660948,5787914,+41.4638999,-072.1555701
09,011,52350,00213473,0901152350,New London,New London town,43,T5,G4040,,76450,,C,14543478,12925933,+41.3306073,-072.0939176
09,011,55500,00213480,0901155500,North Stonington,North Stonington town,43,T1,G4040,,76450,,A,140501862,1868236,+41.4711838,-071.8723695
09,011,56270,00213482,0901156270,Norwich,Norwich town,43,T5,G4040,,76450,,C,72680157,3483806,+41.5478603,-072.0894880
09,011,57040,00213483,0901157040,Old Lyme,Old Lyme town,43,T1,G4040,,76450,,A,59609570,15034710,+41.3123196,-072.3057421
09,011,62150,00213492,0901162150,Preston,Preston town,43,T1,G4040,,76450,,A,79810974,2398364,+41.5186523,-072.0065973
