State,2011,2013
United States,16.2,14.8
Alabama,12.3,13.5
Alaska,15.3,14.7
Arizona,,
Arkansas,16.7,17.6
California,,
Colorado,14.4,
Connecticut,16.3,17.5
Delaware,,13.4
District of Columbia,,
Florida,12.4,12.3
Georgia,13.6,13.9
Hawaii,14.9,15.6
Idaho,17,18.8
Illinois,16,16.9
Indiana,18.7,
Iowa,16.8,
Kansas,15.5,16.9
Kentucky,17.4,13.2
Louisiana,18,16.9
Maine,19.7,20.6
Maryland,14.2,14
Massachusetts,,13.8
Michigan,18,18.8
Minnesota,,
Mississippi,12.5,11.9
Missouri,,
Montana,19.2,18.1
Nebraska,15.8,15.7
Nevada,,15
New Hampshire,21.6,18.1
New Jersey,15.6,14.8
New Mexico,13.2,13.1
New York,16.2,15.3
North Carolina,15.7,12.5
North Dakota,17.4,17.1
Ohio,14.7,15.1
Oklahoma,15.6,14.3
Oregon,,
Pennsylvania,,
Rhode Island,15.3,14.3
South Carolina,15.6,13.8
South Dakota,19.6,17.8
Tennessee,13.9,15.5
Texas,13,13.8
Utah,16.6,16.9
Vermont,15.2,18
Virginia,14.8,14.5
Washington,,
West Virginia,15.5,17.2
Wisconsin,16.6,17.6
Wyoming,18.7,16.1
