"","fips","polyname"
"1",1001,"alabama,autauga"
"2",1003,"alabama,baldwin"
"3",1005,"alabama,barbour"
"4",1007,"alabama,bibb"
"5",1009,"alabama,blount"
"6",1011,"alabama,bullock"
"7",1013,"alabama,butler"
"8",1015,"alabama,calhoun"
"9",1017,"alabama,chambers"
"10",1019,"alabama,cherokee"
"11",1021,"alabama,chilton"
"12",1023,"alabama,choctaw"
"13",1025,"alabama,clarke"
"14",1027,"alabama,clay"
"15",1029,"alabama,cleburne"
"16",1031,"alabama,coffee"
"17",1033,"alabama,colbert"
"18",1035,"alabama,conecuh"
"19",1037,"alabama,coosa"
"20",1039,"alabama,covington"
"21",1041,"alabama,crenshaw"
"22",1043,"alabama,cullman"
"23",1045,"alabama,dale"
"24",1047,"alabama,dallas"
"25",1049,"alabama,de kalb"
"26",1051,"alabama,elmore"
"27",1053,"alabama,escambia"
"28",1055,"alabama,etowah"
"29",1057,"alabama,fayette"
"30",1059,"alabama,franklin"
"31",1061,"alabama,geneva"
"32",1063,"alabama,greene"
"33",1065,"alabama,hale"
"34",1067,"alabama,henry"
"35",1069,"alabama,houston"
"36",1071,"alabama,jackson"
"37",1073,"alabama,jefferson"
"38",1075,"alabama,lamar"
"39",1077,"alabama,lauderdale"
"40",1079,"alabama,lawrence"
"41",1081,"alabama,lee"
"42",1083,"alabama,limestone"
"43",1085,"alabama,lowndes"
"44",1087,"alabama,macon"
"45",1089,"alabama,madison"
"46",1091,"alabama,marengo"
"47",1093,"alabama,marion"
"48",1095,"alabama,marshall"
"49",1097,"alabama,mobile"
"50",1099,"alabama,monroe"
"51",1101,"alabama,montgomery"
"52",1103,"alabama,morgan"
"53",1105,"alabama,perry"
"54",1107,"alabama,pickens"
"55",1109,"alabama,pike"
"56",1111,"alabama,randolph"
"57",1113,"alabama,russell"
"58",1115,"alabama,st clair"
"59",1117,"alabama,shelby"
"60",1119,"alabama,sumter"
"61",1121,"alabama,talladega"
"62",1123,"alabama,tallapoosa"
"63",1125,"alabama,tuscaloosa"
"64",1127,"alabama,walker"
"65",1129,"alabama,washington"
"66",1131,"alabama,wilcox"
"67",1133,"alabama,winston"
"68",4001,"arizona,apache"
"69",4003,"arizona,cochise"
"70",4005,"arizona,coconino"
"71",4007,"arizona,gila"
"72",4009,"arizona,graham"
"73",4011,"arizona,greenlee"
"74",4012,"arizona,la paz"
"75",4013,"arizona,maricopa"
"76",4015,"arizona,mohave"
"77",4017,"arizona,navajo"
"78",4019,"arizona,pima"
"79",4021,"arizona,pinal"
"80",4023,"arizona,santa cruz"
"81",4025,"arizona,yavapai"
"82",4027,"arizona,yuma"
"83",5001,"arkansas,arkansas"
"84",5003,"arkansas,ashley"
"85",5005,"arkansas,baxter"
"86",5007,"arkansas,benton"
"87",5009,"arkansas,boone"
"88",5011,"arkansas,bradley"
"89",5013,"arkansas,calhoun"
"90",5015,"arkansas,carroll"
"91",5017,"arkansas,chicot"
"92",5019,"arkansas,clark"
"93",5021,"arkansas,clay"
"94",5023,"arkansas,cleburne"
"95",5025,"arkansas,cleveland"
"96",5027,"arkansas,columbia"
"97",5029,"arkansas,conway"
"98",5031,"arkansas,craighead"
"99",5033,"arkansas,crawford"
"100",5035,"arkansas,crittenden"
"101",5037,"arkansas,cross"
"102",5039,"arkansas,dallas"
"103",5041,"arkansas,desha"
"104",5043,"arkansas,drew"
"105",5045,"arkansas,faulkner"
"106",5047,"arkansas,franklin"
"107",5049,"arkansas,fulton"
"108",5051,"arkansas,garland"
"109",5053,"arkansas,grant"
