"","State","Hours"
"1","Alabama",63.0856
"2","Alaska",74.5812
"3","Arizona",67.6278
"4","Arkansas",52.2136
"5","California",89.4424
"6","Colorado",80.0759
"7","Connecticut",81.9576
"8","Delaware",86.4002
"9","Florida",79.3451
"10","Georgia",75.8277
"11","Hawaii",123.5706
"12","Idaho",60.6649
"13","Illinois",80.5498
"14","Indiana",64.6624
"15","Iowa",60.384
"16","Kansas",64.1193
"17","Kentucky",60.6003
"18","Louisiana",71.4103
"19","Maine",72.8815
"20","Maryland",106.3409
"21","Massachusetts",82.9524
"22","Michigan",57.1189
"23","Minnesota",61.8757
"24","Mississippi",63.6569
"25","Missouri",60.7934
"26","Montana",57.458
"27","Nebraska",49.7851
"28","Nevada",70.518
"29","New Hampshire",91.3348
"30","New Jersey",104.5547
"31","New Mexico",69.3288
"32","New York",100.9037
"33","North Carolina",69.824
"34","North Dakota",66.951
"35","Ohio",55.2235
"36","Oklahoma",61.1771
"37","Oregon",68.0385
"38","Pennsylvania",81.4335
"39","Rhode Island",65.0382
"40","South Carolina",67.7233
"41","South Dakota",50.1464
"42","Tennessee",66.9892
"43","Texas",77.8065
"44","Utah",72.914
"45","Vermont",69.0683
"46","Virginia",104.695
"47","Washington",77.6649
"48","West Virginia",49.0561
"49","Wisconsin",68.7629
"50","Wyoming",66.9734
