"","State","Housing Wage"
"1","Alabama",13.9291
"2","Alaska",23.2493
"3","Arizona",17.1757
"4","Arkansas",13.256
"5","California",28.5885
"6","Colorado",21.1244
"7","Connecticut",24.7211
"8","Delaware",21.701
"9","Florida",19.9649
"10","Georgia",16.302
"11","Hawaii",34.2232
"12","Idaho",14.2211
"13","Illinois",19.984
"14","Indiana",14.8404
"15","Iowa",14.0303
"16","Kansas",15.0102
"17","Kentucky",14.0955
"18","Louisiana",15.8131
"19","Maine",17.0449
"20","Maryland",26.5302
"21","Massachusetts",25.9068
"22","Michigan",15.6223
"23","Minnesota",17.7599
"24","Mississippi",14.0713
"25","Missouri",14.9796
"26","Montana",14.5968
"27","Nebraska",14.4508
"28","Nevada",18.2628
"29","New Hampshire",21.0889
"30","New Jersey",26.5153
"31","New Mexico",16.0598
"32","New York",26.6867
"33","North Carolina",15.3168
"34","North Dakota",15.6561
"35","Ohio",14.4519
"36","Oklahoma",14.3251
"37","Oregon",19.3836
"38","Pennsylvania",18.269
"39","Rhode Island",19.0573
"40","South Carolina",14.8367
"41","South Dakota",13.765
"42","Tennessee",14.9881
"43","Texas",17.6014
"44","Utah",16.3192
"45","Vermont",21.1282
"46","Virginia",22.4399
"47","Washington",23.1341
"48","West Virginia",13.1681
"49","Wisconsin",15.9207
"50","Wyoming",15.6197
