"","State","metro","two.bed.cost","income.two.bed"
"1","Alabama","Anniston-Oxford",635,25480
"2","Alabama","Auburn-Opelika",569,29920
"3","Alabama","Birmingham-Hoover",569,33600
"4","Alabama","Chilton County",1208.96,22760
"5","Alabama","Columbus",1123.84,31080
"6","Alabama","Daphne-Fairhope-Foley",1292,34920
"7","Alabama","Decatur",1230,25280
"8","Alabama","Dothan",1012,25880
"9","Alabama","Florence-Muscle Shoals",916,24760
"10","Alabama","Gadsden",1503,25440
"11","Alabama","Henry County",1292,23200
"12","Alabama","Huntsville",1369,29080
"13","Alabama","Mobile",1194,31520
"14","Alabama","Montgomery",1090,31520
"15","Alabama","Pickens County",1092,22760
"16","Alabama","Tuscaloosa",1230,32160
"17","Alabama","Walker County",895,25000
"18","Alaska","Anchorage",1292,51680
"19","Alaska","Fairbanks",1230,49200
"20","Alaska","Matanuska-Susitna Borough",1012,40480
"21","Arizona","Flagstaff",1135,45400
"22","Arizona","Lake Havasu City-Kingman",754,30160
"23","Arizona","Phoenix-Mesa-Scottsdale",914,36560
"24","Arizona","Prescott",838,33520
"25","Arizona","Sierra Vista-Douglas",802,32080
"26","Arizona","Tucson",862,34480
"27","Arizona","Yuma",822,32880
"28","Arkansas","Fayetteville-Springdale-Rogers",709,28360
"29","Arkansas","Fort Smith",658,26320
"30","Arkansas","Grant County",617,24680
"31","Arkansas","Hot Springs",740,29600
"32","Arkansas","Jonesboro",647,25880
"33","Arkansas","Little River County",617,24680
"34","Arkansas","Little Rock-North Little Rock-Conway",768,30720
"35","Arkansas","Memphis",827,33080
"36","Arkansas","Pine Bluff",651,26040
"37","Arkansas","Poinsett County",617,24680
"38","Arkansas","Texarkana",712,28480
"39","California","Bakersfield",826,33040
"40","California","Chico",907,36280
"41","California","El Centro",836,33440
"42","California","Fresno",862,34480
"43","California","Hanford-Corcoran",818,32720
"44","California","Los Angeles-Long Beach",1490,59600
"45","California","Madera",942,37680
"46","California","Merced",784,31360
"47","California","Modesto",936,37440
"48","California","Napa",1500,60000
"49","California","Oakland-Fremont",2103,84120
"50","California","Oxnard-Thousand Oaks-Ventura",1602,64080
"51","California","Redding",871,34840
"52","California","Riverside-San Bernardino-Ontario ",1187,47480
"53","California","Sacramento--Roseville--Arden-Arcade",1026,41040
"54","California","Salinas",1399,55960
"55","California","San Benito County",1353,54120
"56","California","San Diego-Carlsbad",1499,59960
"57","California","San Francisco",2289,91560
"58","California","San Jose-Sunnyvale-Santa Clara",1994,79760
"59","California","San Luis Obispo-Paso Robles-Arroyo Grande",1310,52400
"60","California","Oranga County",1672,66880
"61","California","Santa Cruz-Watsonville",1604,64160
"62","California","Santa Maria-Santa Barbara",1451,58040
"63","California","Santa Rosa",1414,56560
"64","California","Stockton-Lodi",967,38680
"65","California","Vallejo-Fairfield",1284,51360
"66","California","Visalia-Porterville",758,30320
"67","California","Yolo",1164,46560
"68","California","Yuba City",861,34440
"69","Colorado","Boulder",1381,55240
"70","Colorado","Colorado Springs",891,35640
"71","Colorado","Denver-Aurora-Lakewood ",1227,49080
"72","Colorado","Fort Collins",975,39000
"73","Colorado","Grand Junction",797,31880
"74","Colorado","Greeley",812,32480
"75","Colorado","Pueblo",782,31280
"76","Colorado","Teller County",919,36760
"77","Connecticut","Bridgeport",1207,48280
"78","Connecticut","Colchester-Lebanon",1199,47960
"79","Connecticut","Danbury",1775,71000
"80","Connecticut","Hartford-West Hartford-East Hartford ",1210,48400
"81","Connecticut","Milford-Ansonia-Seymour",1274,50960
"82","Connecticut","New Haven-Meriden",1260,50400
"83","Connecticut","Norwich-New London",1119,44760
"84","Connecticut","Southern Middlesex County",1324,52960
"85","Connecticut","Stamford-Norwalk",1932,77280
"86","Connecticut","Waterbury",990,39600
"87","Delaware","Dover †",952,38080
"88","Delaware","Philadelphia-Camden-Wilmington ",1210,48400
"89","Delaware","Sussex County",1012,40480
"90","Florida","Baker County",724,28960
"91","Florida","Cape Coral-Fort Myers",911,36440
"92","Florida","Crestview-Fort Walton Beach-Destin",930,37200
"93","Florida","Deltona-Daytona Beach-Ormond Beach",896,35840
"94","Florida","Fort Lauderdale",1253,50120
"95","Florida","Gainesville",887,35480
"96","Florida","Gulf County",738,29520
"97","Florida","Homosassa Springs",776,31040
"98","Florida","Jacksonville",960,38400
"99","Florida","Lakeland-Winter Haven",901,36040
"100","Florida","Miami-Miami Beach-Kendall",1250,50000
"101","Florida","Naples-Immokalee-Marco Island",1042,41680
"102","Florida","North Port-Sarasota-Bradenton",974,38960
"103","Florida","Ocala",780,31200
"104","Florida","Orlando-Kissimmee-Sanford",1003,40120
"105","Florida","Palm Bay-Melbourne-Titusville",872,34880
"106","Florida","Palm Coast",927,37080
"107","Florida","Panama City-Lynn Haven-Panama City Beach",881,35240
"108","Florida","Pensacola-Ferry Pass-Brent",838,33520
"109","Florida","Port St. Lucie",923,36920
"110","Florida","Punta Gorda",848,33920
"111","Florida","Sebastian-Vero Beach",833,33320
"112","Florida","Sebring",737,29480
"113","Florida","Tallahassee",914,36560
"114","Florida","Tampa-St. Petersburg-Clearwater",992,39680
"115","Florida","The Villages",728,29120
"116","Florida","Wakulla County",798,31920
"117","Florida","Walton County",771,30840
"118","Florida","West Palm Beach-Boca Raton ",1240,49600
"119","Georgia","Albany",713,28520
"120","Georgia","Athens-Clarke County",759,30360
"121","Georgia","Atlanta-Sandy Springs-Roswell",949,37960
