"","State","Renter Wage"
"1","Alabama",11.6412
"2","Alaska",17.7596
"3","Arizona",15.276
"4","Arkansas",11.9575
"5","California",19.2154
"6","Colorado",15.9664
"7","Connecticut",16.2137
"8","Delaware",16.0302
"9","Florida",14.4945
"10","Georgia",14.5802
"11","Hawaii",14.5253
"12","Idaho",11.2254
"13","Illinois",15.2498
"14","Indiana",12.1519
"15","Iowa",11.286
"16","Kansas",12.4185
"17","Kentucky",11.4587
"18","Louisiana",13.4553
"19","Maine",10.3639
"20","Maryland",15.9067
"21","Massachusetts",18.4699
"22","Michigan",12.7218
"23","Minnesota",13.3153
"24","Mississippi",10.6439
"25","Missouri",12.7394
"26","Montana",11.2338
"27","Nebraska",11.5935
"28","Nevada",15.3403
"29","New Hampshire",14.0819
"30","New Jersey",16.9793
"31","New Mexico",12.5297
"32","New York",22.8532
"33","North Carolina",13.2118
"34","North Dakota",15.2237
"35","Ohio",12.1739
"36","Oklahoma",13.4304
"37","Oregon",13.8658
"38","Pennsylvania",13.8015
"39","Rhode Island",12.5922
"40","South Carolina",11.526
"41","South Dakota",10.876
"42","Tennessee",12.9563
"43","Texas",17.0666
"44","Utah",12.3885
"45","Vermont",11.7895
"46","Virginia",16.4535
"47","Washington",16.6863
"48","West Virginia",10.6175
"49","Wisconsin",12.066
"50","Wyoming",14.2825
