"","purpose","total","sum","average","percent"
"1","car",154,1297125,8422.88961038961,1.14
"2","credit_card",3121,50334050,16127.5392502403,23.07
"3","debt_consolidation",7924,123668675,15606.8494447249,58.56
"4","educational",7,50500,7214.28571428571,0.05
"5","home_improvement",819,11910175,14542.3382173382,6.05
"6","house",60,897825,14963.75,0.44
"7","major_purchase",265,2814200,10619.6226415094,1.96
"8","medical",118,1105425,9368.00847457627,0.87
"9","moving",86,658850,7661.04651162791,0.64
"10","other",715,7104250,9936.01398601399,5.28
"11","renewable_energy",10,74150,7415,0.07
"12","small_business",132,1978400,14987.8787878788,0.98
"13","vacation",72,535225,7433.68055555556,0.53
"14","wedding",48,527900,10997.9166666667,0.35
