,code,value,loans,total,average
1,Alaska,29.93,2205,36978050,16770.09
2,Alabama,23.1,11200,164627650,14698.9
3,Arkansas,22.38,6640,93416075,14068.69
4,Arizona,30.32,20412,290110100,14212.72
5,California,33.38,129517,1898145250,14655.57
6,Colorado,35.11,18807,281093375,14946.21
7,Connecticut,37.62,13531,202956750,14999.39
8,District of Columbia,36.91,2432,36888475,15167.96
9,Delaware,26.84,2511,36916100,14701.75
10,Florida,30.63,60935,848989075,13932.7
11,Georgia,28.8,29085,434709600,14946.18
12,Hawaii,32.19,4570,69516300,15211.44
13,Iowa,0.05,14,114075,8148.21
14,Idaho,0.07,12,88350,7362.5
15,Illinois,27.54,35476,539068450,15195.3
16,Indiana,20.9,13789,202493900,14685.18
17,Kansas,27.29,7926,116395875,14685.32
18,Kentucky,19.37,8550,122134075,14284.69
19,Louisiana,22.77,10587,156927675,14822.68
20,Massachusetts,30.53,20593,322884475,15679.33
21,Maryland,35.19,21031,325456675,15475.09
22,Maine,3.95,525,8131825,15489.19
23,Michigan,23.19,22985,326467800,14203.52
24,Minnesota,29.24,15957,228733450,14334.36
25,Missouri,23.43,14207,204867775,14420.2
26,Mississippi,12.76,3819,57048750,14938.14
27,Montana,24.99,2558,35297100,13798.71
28,North Carolina,24.86,24720,361878125,14639.08
29,North Dakota,6.48,479,7447300,15547.6
30,Nebraska,6.25,1176,17155050,14587.63
31,New Hampshire,32.36,4294,63555900,14801.09
32,New Jersey,37.21,33256,515253000,15493.54
33,New Mexico,23.68,4939,73662975,14914.55
34,Nevada,43.83,12443,172459575,13859.97
35,New York,37.52,74086,1076941975,14536.38
36,Ohio,25.56,29631,422675375,14264.63
37,Oklahoma,20.85,8085,120003025,14842.67
38,Oregon,27.44,10893,149352100,13710.83
39,Pennsylvania,24.55,31393,455642875,14514.16
40,Rhode Island,36.89,3893,55052200,14141.33
41,South Carolina,22.02,10639,157688600,14821.75
42,South Dakota,21.27,1815,24896575,13717.12
43,Tennessee,19.68,12887,191981650,14897.31
44,Texas,26.39,71138,1109129575,15591.24
45,Utah,21.29,6264,91856150,14664.14
46,Virginia,31.53,26255,411222050,15662.62
47,Vermont,28.68,1797,25173350,14008.54
48,Washington,27.52,19434,289275875,14885.04
49,Wisconsin,20.1,11574,165405850,14291.16
50,West Virginia,23.7,4386,64272975,14654.12
51,Wyoming,34.72,2028,31072775,15321.88
