"","nces.district.id","education.agency.name","fips.state.code","location.state","average.test.score..math.ela.pooled..in.grade.equiv","grade.slope.pooled..grade.equivalent.std..gs.","cohort.slope.pooled..grade.equivalent.std..gs.","subject.slope.pooled..grade.equivalent.std..gs.","se.mean_poolgs.","grade.slope.SE.pooled..grade.equivalent.std..gs.","cohort.slope.SE.pooled..grade.equivalent.std..gs.","subject.slope.SE.pooled..grade.equivalent.std..gs."
"1",900004,"UNIFIED SCHOOL DISTRICT #2",9,"CT",-4.3008,0.8137,0.1087,-0.064,0.57,0.1423,0.0988,0.3872
"2",900030,"ANDOVER SCHOOL DISTRICT",9,"CT",1.6717,1.1065,0.0919,-0.6424,0.1094,0.0828,0.0512,0.1595
"3",900060,"ANSONIA SCHOOL DISTRICT",9,"CT",-0.3795,0.7556,-0.1307,0.053,0.0519,0.0451,0.0344,0.1005
"4",900070,"AREA COOPERATIVE EDUCATIONAL",9,"CT",-0.4335,0.8918,-0.0429,-0.6605,0.0563,0.048,0.0362,0.1068
"5",900090,"ASHFORD SCHOOL DISTRICT",9,"CT",0.5294,1.0635,-0.0318,-0.5184,0.0723,0.0599,0.0452,0.1366
"6",900120,"AVON SCHOOL DISTRICT",9,"CT",2.5961,1.1557,0.0174,-0.6571,0.0525,0.0451,0.0346,0.1015
"7",900150,"BARKHAMSTED SCHOOL DISTRICT",9,"CT",1.4052,1.0447,0.0656,-0.5258,0.105,0.0783,0.0499,0.1532
"8",900210,"BERLIN SCHOOL DISTRICT",9,"CT",1.4729,1,-0.0544,-0.4254,0.051,0.0439,0.0337,0.0988
"9",900240,"BETHANY SCHOOL DISTRICT",9,"CT",1.4826,1.0373,-0.018,-0.7619,0.1021,0.0762,0.0474,0.1456
"10",900270,"BETHEL SCHOOL DISTRICT",9,"CT",1.6787,0.8847,-0.0359,-0.3454,0.0518,0.045,0.0342,0.1003
"11",900330,"BLOOMFIELD SCHOOL DISTRICT",9,"CT",-0.48,0.9982,0.1659,-0.2974,0.0527,0.0454,0.035,0.1021
"12",900360,"BOLTON SCHOOL DISTRICT",9,"CT",1.6114,0.9956,-0.0666,-0.2158,0.0709,0.0603,0.0447,0.1335
"13",900390,"BOZRAH SCHOOL DISTRICT",9,"CT",0.9021,0.9802,0.0555,-0.607,0.0886,0.0679,0.0518,0.1615
"14",900420,"BRANFORD SCHOOL DISTRICT",9,"CT",1.0573,1.0183,0.0728,-0.3733,0.0503,0.0439,0.0335,0.0977
"15",900450,"BRIDGEPORT SCHOOL DISTRICT",9,"CT",-1.7472,0.9642,-0.0094,-0.2064,0.0454,0.0399,0.0304,0.0887
