"","nces.district.id","education.agency.name","fips.state.code","location.state","spring.of.tested.year","grade","Estimated.District.Mean.in.ela..grade.equivalent.std..gs.","Estimated.District.Mean.SE.in.ela..grade.equivalent.std..gs.","Estimated.District.Mean.in.math..grade.equivalent.std..gs.","Estimated.District.Mean.SE.in.math..grade.equivalent.std..gs."
"1398",900030,"ANDOVER SCHOOL DISTRICT",9,"CT",2009,"03",4.4259,0.2229,3.9887,0.1317
"1399",900060,"ANSONIA SCHOOL DISTRICT",9,"CT",2009,"03",2.6529,0.0434,3.2548,0.029
"1400",900070,"AREA COOPERATIVE EDUCATIONAL",9,"CT",2009,"03",3.0355,0.1804,2.7744,0.0768
"1401",900090,"ASHFORD SCHOOL DISTRICT",9,"CT",2009,"03",3.0081,0.2817,2.0773,0.1974
"1402",900120,"AVON SCHOOL DISTRICT",9,"CT",2009,"03",5.6295,0.0409,4.4115,0.0249
"1403",900150,"BARKHAMSTED SCHOOL DISTRICT",9,"CT",2009,"03",3.8677,0.1494,3.9494,0.0902
"1404",900210,"BERLIN SCHOOL DISTRICT",9,"CT",2009,"03",4.634,0.041,4.2673,0.0376
"1405",900240,"BETHANY SCHOOL DISTRICT",9,"CT",2009,"03",5.2051,0.2302,4.6189,0.1281
"1406",900270,"BETHEL SCHOOL DISTRICT",9,"CT",2009,"03",5.4878,0.0604,5.1157,0.0457
"1407",900330,"BLOOMFIELD SCHOOL DISTRICT",9,"CT",2009,"03",2.7106,0.0665,2.6398,0.0335
"1408",900360,"BOLTON SCHOOL DISTRICT",9,"CT",2009,"03",5.0169,0.2032,5.0795,0.2108
"1409",900390,"BOZRAH SCHOOL DISTRICT",9,"CT",2009,"03",4.2987,0.3526,3.2748,0.2002
"1410",900420,"BRANFORD SCHOOL DISTRICT",9,"CT",2009,"03",4.3199,0.0418,3.5136,0.0296
"1411",900450,"BRIDGEPORT SCHOOL DISTRICT",9,"CT",2009,"03",1.4613,0.0192,1.5448,0.0122
"1412",900510,"BRISTOL SCHOOL DISTRICT",9,"CT",2009,"03",3.8006,0.0312,3.6707,0.0241
