	Location								
	Intersection		Non-Intersection		Unknown		Total		
Age	Intersection Number	Intersection Percent	Nonintersection Number	NonIntersectNum Percent	Unknown Number	Unknown Percent	Total Number	Total Percent	

< 5	0	0.0	1	100.0	0	0.0	1	100.0	
5 - 9	0	-	0	-	0	-	0	-	
10 - 15	0	-	0	-	0	-	0	-	
16 - 20	2	40.0	2	40.0	1	20.0	5	100.0	
21 - 24	1	33.3	1	33.3	1	33.3	3	100.0	
25 - 34	0	0.0	2	100.0	0	0.0	2	100.0	
35 - 44	1	100.0	0	0.0	0	0.0	1	100.0	
45 - 54	2	66.7	1	33.3	0	0.0	3	100.0	
55 - 64	2	33.3	4	66.7	0	0.0	6	100.0	
65 - 74	1	50.0	1	50.0	0	0.0	2	100.0	
> 74	0	0.0	2	66.7	1	33.3	3	100.0	
Unknown	0	-	0	-	0	-	0	-	
Total	9	34.6	14	53.8	3	11.5	26	100.0	
