,age,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,< 5,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
1,5 - 9,1.0,2.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10 - 15,7.0,1.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0
3,16 - 20,1.0,2.0,5.0,3.0,3.0,1.0,0.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,5.0
4,21 - 24,4.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,2.0,1.0,6.0,3.0,0.0,5.0,4.0
5,25 - 34,8.0,9.0,6.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0
6,35 - 44,8.0,5.0,5.0,8.0,5.0,4.0,13.0,6.0,11.0,8.0,7.0,1.0,6.0,4.0,2.0,3.0,6.0,1.0,7.0,3.0,5.0
7,45 - 54,4.0,4.0,6.0,10.0,10.0,10.0,4.0,1.0,10.0,2.0,2.0,8.0,4.0,7.0,8.0,5.0,8.0,3.0,3.0,8.0,7.0
8,55 - 64,6.0,6.0,9.0,2.0,7.0,6.0,7.0,5.0,5.0,3.0,4.0,4.0,7.0,3.0,7.0,5.0,6.0,6.0,11.0,5.0,7.0
9,65 - 74,3.0,7.0,3.0,6.0,3.0,6.0,7.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,9.0,1.0,5.0,2.0,4.0,4.0,7.0
10,75 +,19.0,9.0,10.0,10.0,12.0,14.0,9.0,6.0,9.0,7.0,,,,,,,,,,,
11,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
12,Blank,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
13,Total,63.0,48.0,50.0,53.0,45.0,51.0,48.0,33.0,50.0,35.0,27.0,34.0,38.0,32.0,47.0,26.0,46.0,26.0,43.0,37.0,47.0
14,> 74,,,,,,,,,,,4.0,8.0,7.0,7.0,9.0,3.0,6.0,3.0,6.0,4.0,7.0
